LA SITE REF,NAME AND ADDRESS OF SITE,TOWNSHIP,PLAN OF SITE,GeoX,GeoY,COORDINATE REFERENCE SYSTEM,AREA (HA),LOCAL AUTHORITY,OPEN DATA WEBSITE,OWNERSHIP STATUS,LAND DELIVERABLE?,PLANNING STATUS,IF PERMISSIONED,,DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT,MINIMUM NET DWELLINGS,MAXIMUM NET DWELLINGS,SCALE OF NON HOUSING DEVELOPMENT,DATE ENTERED ON REGISTER,DATE LAST UPDATED 
SH 2077,"New Street Works, New Street, Rochdale",Rochdale,Available within individual site Pdf,389007,414800,British Coordinate Systems,0.11,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,15/01/2015,Full Planning Permission,Conversion to one dwellings and 8 apartments,8,8,N/A,28/11/2017,
SH 2080,"Lomax Transport Services, Trub Farm, Manchester Road, Rochdale",Rochdale,Available within individual site Pdf,388396,409926,British Coordinate Systems,1.34,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",Yes,Permissioned,12/02/2015,Outline Planning Permission,Outline application of 29 dwellings,29,29,N/A,28/11/2017,
SH 2090,"Land At Stratford Avenue, Rochdale",Rochdale,Available within individual site Pdf,389210,412148,British Coordinate Systems,0.07,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 2100,"Land Adj To 12 Wham Street, Heywood",Heywood,Available within individual site Pdf,384538,410806,British Coordinate Systems,0.10,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,31/03/2016,Outline Planning Permission,Outline application for 9 dwellings,9,9,N/A,28/11/2017,
SH 2110,"Land At Keswick Close, Langley",Middleton,Available within individual site Pdf,385868,406645,British Coordinate Systems,1.28,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,17/12/2015,Full Planning Permission,3 storey extra care 88 apartments and 10 bungalows,98,98,"Café, hairdressers, treatment room, car parking, landscaping",28/11/2017,
SH 2112,"Milton St Family And Children Centre, Milton Street, Middleton",Middleton,Available within individual site Pdf,386856,406180,British Coordinate Systems,0.16,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,29/01/2016,Full Planning Permission,Conversion to 8 apartments,8,8,12 car parking spaces and outdoor amenity area to rear of building,28/11/2017,
SH 2119,"Remainder Of Ladybarn Car Park, Harbour Lane, Milnrow",Pennines,Available within individual site Pdf,392602,412387,British Coordinate Systems,0.14,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,
SH 2120,"The Ladybarn, Harbour Lane, Milnrow",Pennines,Available within individual site Pdf,392645,412355,British Coordinate Systems,0.20,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,03/03/2016,Full Planning Permission,Conversion of public house to 7 dwellings,7,7,N/A,28/11/2017,
SH 2131,"Former Dexine Rubber Co. Ltd., Spotland Road, Rochdale",Rochdale,Available within individual site Pdf,388745,413671,British Coordinate Systems,1.62,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,08/12/2015,Other,Full application for 22 apartments and outline application fo 80 dwellings,102,102,N/A,28/11/2017,
SH 2132,"Former Garage Site, Rossall Road, Rochdale",Rochdale,Available within individual site Pdf,390190,41554,British Coordinate Systems,0.11,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,15/03/2016,Full Planning Permission,Erection of 6 dwellings,6,6,N/A,28/11/2017,
SH 2139,"Land At Ramsay Place, Rochdale",Rochdale,Available within individual site Pdf,390216,413592,British Coordinate Systems,0.20,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,03/07/2015,Full Planning Permission,Erection of 12 dwellings,12,12,N/A,28/11/2017,
SH 2140,"Land Between 395&421 Edenfield Road, Rocdale",Rochdale,Available within individual site Pdf,387335,414025,British Coordinate Systems,0.24,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",Yes,Permissioned,02/09/2015,Full Planning Permission,Erection of 10 dwellings,10,10,N/A,28/11/2017,
SH 2147,"Norden Urc Church, Forsyth Street, Rochdale",Rochdale,Available within individual site Pdf,386237,414520,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,15/07/2015,Full Planning Permission,Conversion to 5 apartments,5,5,N/A,28/11/2017,
SH 2150,"Site Of Fomer Rainshore Mill, Over Town Lane, Rochdale",Rochdale,Available within individual site Pdf,385272,415174,British Coordinate Systems,7.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,27/07/2015,Full Planning Permission,Erection of 42 dwellings,42,42,"Parking, new pedestrian and vehicle access and highways works",28/11/2017,
SH 2166,"1-46 The Strand, Kirkholt",Rochdale,Available within individual site Pdf,389741,410848,British Coordinate Systems,1.08,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,08/06/2016,Full Planning Permission,Erection of 16 dwellings,16,16,"New community hub, 8 retail units, associated car parking and alterations to public realm and highways",28/11/2017,
SH 2171,"431 Halifax Road, Wardle",Pennines,Available within individual site Pdf,391244,415260,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,17/02/2017,Full Planning Permission,Conversion of ground floor to 6 apartments ,6,6,N/A,28/11/2017,
SH 2174,"78 Peel Lane, Heywood",Heywood,Available within individual site Pdf,385090,411532,British Coordinate Systems,0.14,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,22/12/2016,Full Planning Permission,One 2/3 storey block containing 7 apartments,7,7,N/A,28/11/2017,
SH 2178,"Boots Company Plc, Mary Street, Heywood",Heywood,Available within individual site Pdf,385415,410669,British Coordinate Systems,1.25,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,26/04/2016,Full Planning Permission,65 residential units including 37 affordable properties.,37,37,N/A,28/11/2017,
SH 2181,"Former Balderstone High School, Queen Victoria Street, Rochdale",Rochdale,Available within individual site Pdf,390162,411438,British Coordinate Systems,4.02,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,06/02/2017,Full Planning Permission,Erection of 143 dwellings,143,143,N/A,28/11/2017,
SH 2193,"Land Adjoining Howard Street And Abbeydale Road And Land Adjoining Howard Street And Redcross Street, Lower Falinge",Rochdale,Available within individual site Pdf,389447,413834,British Coordinate Systems,0.56,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,23/12/2016,Full Planning Permission,Erection of 19 dwellings,19,19,Replacement MUGA pitch,28/11/2017,
SH 2194,"Land At Baytree Lane, Middleton",Middleton,Available within individual site Pdf,388656,405904,British Coordinate Systems,2.62,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,17/01/2017,Full Planning Permission,Erection of 110 dwellings,110,110,N/A,28/11/2017,
SH 2197,"Land At Moorhouse Fold, Milnrow",Pennines,Available within individual site Pdf,392358,412848,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,31/08/2016,Full Planning Permission,Erection of 5 dwellings,5,5,N/A,28/11/2017,
SH 2198,"Land Rudyard Grove, Friars Crescent, Lilac Road, Kildare Crescent, Balderstone Road, Rochdale",Rochdale,Available within individual site Pdf,389954,410654,British Coordinate Systems,2.19,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",Yes,Permissioned,06/03/2017,Full Planning Permission,Erection of 76 dwellings,76,76,N/A,28/11/2017,
SH 2199,"Land Between 9A&23 Milkstone Road, Rochdale",Rochdale,Available within individual site Pdf,389728,412789,British Coordinate Systems,0.19,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,15/07/2016,Full Planning Permission,Erection of 12 apartments,12,12,N/A,28/11/2017,
SH 2200,"Land Bounded By Bethel Street, Earl Street, Taylor Street, Heywood",Heywood,Available within individual site Pdf,385473,410778,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,28/09/2016,Full Planning Permission,3 storey building containing 14 apartments,14,14,N/A,28/11/2017,
SH 2205,"Land To Rear Of 62-82 Bury New Road, Heywood",Heywood,Available within individual site Pdf,382274,410587,British Coordinate Systems,0.52,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,24/06/2016,Full Planning Permission,Erection of 9 dwellings,9,9,N/A,28/11/2017,
SH 2207,"Litho House, Barehill Street, Littleborough",Pennines,Available within individual site Pdf,393671,416488,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,26/08/2016,Full Planning Permission,Conversion of factory to 8 dwellings,8,8,N/A,28/11/2017,
SH 2214,"Proofings Technology Ltd, Hare Hill Road, Littleborough",Pennines,Available within individual site Pdf,393595,416607,British Coordinate Systems,0.76,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,10/02/2017,Full Planning Permission,"Conversion of office to 4 apartments, warehouse to 6 dwellings and enginge house to single dwelling",11,11,N/A,28/11/2017,
SH 2216,"Site Of 25 Holmes Street, Rochdale",Rochdale,Available within individual site Pdf,388867,413392,British Coordinate Systems,1.45,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,05/04/2016,Full Planning Permission,Erection of 5 dwellings,5,5,N/A,28/11/2017,
SH 2217,"Site Of Former Frankfort Mill, Durn Bridge, Halifax Road, Littleborough",Pennines,Available within individual site Pdf,394174,416591,British Coordinate Systems,0.81,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,20/01/2017,Full Planning Permission,Erection of 33 dwellings,33,33,N/A,28/11/2017,
SH 2218,"Spread Eagle, 10 Cheetham Street, Rochdale",Rochdale,Available within individual site Pdf,389760,413675,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,03/02/2017,Full Planning Permission,Conversion of public house to 6 apartments,6,6,3 commercial units,28/11/2017,
SH 2219,"Townhead Offices, Yorkshire Street, Rochdale ",Rochdale,Available within individual site Pdf,389912,413656,British Coordinate Systems,0.27,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,07/09/2016,Full Planning Permission,Conversion to 14 aparments,14,14,N/A,28/11/2017,
SH 2222,"174 Bury Old Road, Heywood",Heywood,Available within individual site Pdf,383796,410596,British Coordinate Systems,0.30,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,28/06/2016,Outline Planning Permission,Outline aplication for 7 dwellings ,7,7,N/A,28/11/2017,
SH 2230,"Nixon Street, Rochdale",Rochdale,Available within individual site Pdf,387760,410979,British Coordinate Systems,5.84,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,13/10/2016,Outline Planning Permission,Outline application for 250 dwellings,250,250,N/A,28/11/2017,
SH 2231,"Phoenix Iron Works, Howarth Street, Littleborough",Pennines,Available within individual site Pdf,393879,416607,British Coordinate Systems,0.26,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,28/06/2016,Outline Planning Permission,Outline application for residential development,9,9,N/A,28/11/2017,
SH 2234,"82-84 Drake Street, Rochdale",Rochdale,Available within individual site Pdf,389889,413163,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,08/08/2016,Other,Change of use to 28 apartments,28,28,N/A,28/11/2017,
SH 2235,"Biwater Treatment Ltd, Gregge Street, Heywood",Heywood,Available within individual site Pdf,386290,410119,British Coordinate Systems,0.47,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,03/11/2016,Other,Prior notification for change of use from office to residential - 59 apartments,59,59,N/A,28/11/2017,
SH 2238,"Dunlop, Royle Barn Road, Castleton, Rochdale",Rochdale,Available within individual site Pdf,388759,411533,British Coordinate Systems,7.15,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Ssite could deliver approximately 200 properties,200,200,Unknown,29/11/2017,
SH 2239,"Riverside Phase 2, John Street, Rochdale",Rochdale,Available within individual site Pdf,389944,413589,British Coordinate Systems,1.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 100 properties,100,100,Unknown,29/11/2017,
SH 2240,"Central Retail Park, Drake Street, Rochdale",Rochdale,Available within individual site Pdf,389962,412979,British Coordinate Systems,2.15,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 120 properties,120,120,Unknown,29/11/2017,
SH 2243,"Remainder Of Dale Mill, Chapel Street, Milnrow",Pennines,Available within individual site Pdf,392833,412651,British Coordinate Systems,0.57,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,N/A,N/A,Site could deliver approximately 68 properties,68,68,Unknown,29/11/2017,
SH 2244,"Land At Newby Drive, Langley",Middleton,Available within individual site Pdf,386548,407146,British Coordinate Systems,0.65,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 20 properties,20,20,Unknown,29/11/2017,
SH 2251,"Former Kyp, Hamer Lane / Belfield Road, Rochdale",Rochdale,Available within individual site Pdf,390713,414041,British Coordinate Systems,0.41,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Not Permissioned,N/A,N/A,Site could deliver approximately 16 properties,16,16,Unknown,29/11/2017,
