OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,440,1 Pullens Lane,51.756807,-1.227923,https://www.oxford.gov.uk/downloads/file/4177/site_440_-_1_pullens_lane,0.42,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,,,,,"The site is  allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2017-10-30,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,446,"7 Jack Straw's Lane, Oxford, OX3 0DL, (Bryan Gelder Joinery)",51.763569,-1.234121,https://www.oxford.gov.uk/downloads/file/4175/site_446_-_7_jack_straws_lane,0.19,not owned by a public authority,pending decision,,,http://public.oxford.gov.uk/online-applications/,,,,,"Application 19/00779/FUL for the redevelopment of the site including erection of 5 c3 dwellings, 161 student rooms and 108 sqm B1a office space. The site is identified within the HELAA as having potential for housing. The loss of a non-protected employment site would need to be considered against Local Plan policies.",2017-10-30,2019-12-09,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,458,"4-8 Botley Road, Oxford",51.752196,-1.270584,https://www.oxford.gov.uk/downloads/file/4183/site_458_-_4-8_botley_road,0.1,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,yes,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-30,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,493,"Site at corner of Hayfield Road and Aristotle Lane, Oxford",51.767304,-1.268091,https://www.oxford.gov.uk/downloads/file/4172/site_493_-_corner_of_hayfield_road_and_aristotle_lane,0.19,not owned by a public authority,permissioned,full planning permission,2018-09-10,http://public.oxford.gov.uk/online-applications/,,,,,This site has been removed from the register as it falls below the size threshold. ,2017-10-30,2019-12-09,2020-03-31
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,65,West Wellington Square,51.757645,-1.2623227,https://www.oxford.gov.uk/downloads/file/4204/site_065_-_west_wellington_square,0.88,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,Yes,18.0,18.0,,"The site is allocated in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,70,Island Site,51.753045,-1.2661672,https://www.oxford.gov.uk/downloads/file/7137/site_070_-_island_site,0.69,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,40.0,40.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,111,Oxford Stadium,51.726452,-1.2000811,https://www.oxford.gov.uk/downloads/file/7145/site_111_-_oxford_stadium,3.37,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,100.0,100.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,354,Barton Community Centre and Underhill Circus Shops,51.767889,-1.1963868,https://www.oxford.gov.uk/downloads/file/7146/site_354_-_barton_community_centre_and_underhill_circus,0.61,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,Yes,36.0,36.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,516,Former Powells Timber Yard,51.738911,-1.2222111,https://www.oxford.gov.uk/downloads/file/7129/site_516_-_former_powells_timber_yard,0.34,not owned by a public authority,permissioned,full planning permission,2017-09-21,http://public.oxford.gov.uk/online-applications/,Yes,36.0,36.0,,"This is a brownfield site with full planning permission, not yet implemented.  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,560,Headington Hill Site and Clive Booth Village,51.757468,-1.2334156,https://www.oxford.gov.uk/downloads/file/7132/site_560_-_headington_hill_hall_and_clive_booth_student_village,10.05,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,246.0,246.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,569,Green Templeton College,51.7611,-1.2636852,https://www.oxford.gov.uk/downloads/file/7141/site_569_-_green_templeton_college,1.59,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,28.0,28.0,,This site is identified as being suitable for housing in the HELAA.,2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,570,Rewley Abbey Court ,51.754637,-1.2678176,https://www.oxford.gov.uk/downloads/file/7138/site_570_-_rewley_abbey_court,0.3,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,20.0,20.0,,This site is identified as being suitable for housing in the HELAA.,2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,574,Manzil Way Resource Centre,51.7475,-1.2316293,https://www.oxford.gov.uk/downloads/file/7143/site_574_-_manzil_resource_centre,0.75,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,30.0,30.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,579,Radcliffe Observatory Quarter,51.761003,-1.2626803,https://www.oxford.gov.uk/downloads/file/4187/site_027_-_john_radcliffe_hospital,4.29,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,48.0,48.0,,"The site is allocated in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,580,Summertown House,51.785117,-1.2698936,https://www.oxford.gov.uk/downloads/file/7133/site_580_-_summertown_house,0.29,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,20.0,20.0,,"The site is allocated in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,586,Osney Mead ,51.748293,-1.2745929,https://www.oxford.gov.uk/downloads/file/7128/site_592_-_st_catherines_college,17.4,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No ,247.0,247.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,21,Faculty of Music,51.748803,-1.2559962,https://www.oxford.gov.uk/downloads/file/7144/site_021_-_faculty_of_music,0.33,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,40.0,40.0,,"The site is allocated in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,42,Nuffield Orthopaedic Centre ,51.760306,-1.2153196,https://www.oxford.gov.uk/downloads/file/7140/site_042_-_nuffield_orthopaedic_centre,8.38,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,25.0,25.0,,"The site is allocated in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,54,"Ruskin College Campus, Dunstan Road ",51.766463,-1.2148261,https://www.oxford.gov.uk/downloads/file/7134/site_054_-_ruskin_college_campus,1.86,not owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,28.0,28.0,,"The site is allocated in the Sites and Housing Plan adopted in February 2013.  The site is also allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,603,Gibbs Crescent ,51.748679,-1.2692928,https://www.oxford.gov.uk/downloads/file/7142/site_603_-_gibbs_crescent,0.97,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,Yes,62.0,62.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
http://opendatacommunities.org/id/geography/administration/nmd/E07000178,604,"Royal British Legion, Lakefield Road ",51.717898,-1.2196738,https://www.oxford.gov.uk/downloads/file/7130/site_604_-_royal_british_legion_lakefield_road,0.315,owned by a public authority,not permissioned,,,http://public.oxford.gov.uk/online-applications/,No,20.0,20.0,,"The site is allocated in the emerging Local Plan 2036, which is currently undergoing an examination in public (consultation on proposed modifications following hearings).  ",2020-03-31,,
