OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Polygon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,160148,170652,15 Drayton Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538915,187345,0.06,not owned by a public authority,yes,permissioned,full planning permission,43392,,,7,"Construction of two storey building including room in the roof with four rear dormer windows and six roof lights at front to provide 7 self-contained flats (2 x 3 bed, 2 x 2 bed, 2 x 1 bes & 1 studio). Provision of 4 car parking spaces, bin store and cycle store at front.",,,,,,,,43075,43445,"Polygon ((538896.53341302205808461 187344.96457005821866915, 538900.91351781284902245 187348.8746347221895121, 538908.41370420274324715 187357.46478457626653835, 538914.42385153216309845 187363.79489323298912495, 538920.44395778351463377 187358.87476954655721784, 538924.42402477341238409 187354.73466945055406541, 538926.46405742946080863 187352.15460868825903162, 538928.17408154625445604 187349.10453943366883323, 538929.11408947000745684 187345.97447135060792789, 538904.27353640424553305 187335.03433660644805059, 538902.00349727435968816 187337.14438850636361167, 538899.50345511990599334 187339.72445095516741276, 538897.71342821337748319 187342.46451410325244069, 538896.53341302205808461 187344.96457005821866915))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,153860,,245 Wood Street,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538629.4286,189174.732,0.156681172,not owned by a public authority,yes,permissioned,full planning permission,42803,,,29,"Demolition of existing building and construction of three blocks (A, B& C) ranging 2 to 7 storeys in height to provide 29 residential units (7 x 1 bed, 15 x 2 bed, 5 x 3 bed self-contained flats and 2 x 2 bedroom dwelling houses) with 179sqm community space at ground floor level",,,,,,,,43445,43445,"Polygon ((538610.01433025591541082 189207.08407287817681208, 538620.17456475552171469 189213.8141745631583035, 538623.15349656785838306 189209.07621585289598443, 538625.42464252072386444 189205.46398286893963814, 538636.42480250366497785 189187.16356460156384856, 538639.67487732204608619 189189.26359603751916438, 538648.92939804820343852 189173.32936922070803121, 538657.82513742172159255 189158.01288411300629377, 538650.77608686906751245 189156.26068079879041761, 538631.47456926619634032 189151.46284556400496513, 538628.82452463754452765 189154.2129120776662603, 538619.81431872968096286 189148.80283342895563692, 538615.84656607848592103 189154.90199125773506239, 538609.22771631204523146 189165.0612375385244377, 538608.8597462207544595 189165.62603337355540134, 538607.03734429879114032 189168.46198217233177274, 538605.52410589344799519 189171.21334864117670804, 538624.52454301074612886 189183.41353083832655102, 538618.8744599218480289 189192.56374052108731121, 538613.22437719977460802 189201.81395227112807333, 538610.01433025591541082 189207.08407287817681208))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,164164,,37 Sutherland Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,536087.3006,189765.8414,0.1735609,not owned by a public authority,yes,permissioned,full planning permission,43173,,,28,"Demolition of existing buildings, construction of 5-storey replacement building and three storey side extension to Sutherland house in connection with the redevelopment of the site to provide 28 residential units (10 x 1 bedroom, 15 x 2 bedroom, 3 x 3 bedroom)and 439 sq.m of ground floor commercial floor space (Use Class B1), together with associated car parking, cycle parking and landscaping.",,,,,,,,43445,43445,"Polygon ((536075.17823913146276027 189788.73367895314004272, 536080.27335942140780389 189787.22448015588452108, 536083.04638131312094629 189786.78186744538834319, 536098.22458457504399121 189785.28523007285548374, 536119.30763804248999804 189783.2242389953462407, 536119.17500472511164844 189781.88508298498345539, 536118.49854404199868441 189774.06791097589302808, 536116.02048893482424319 189748.36670294977375306, 536111.11496052867732942 189750.10249296188703738, 536101.28003018337767571 189752.36343835125444457, 536091.68092239380348474 189754.09534513438120484, 536081.87413924443535507 189755.93468396476237103, 536075.80625148955732584 189753.54840598159353249, 536070.62389316724147648 189752.18464780657086521, 536070.6738918146584183 189751.53463419951731339, 536068.09369532985147089 189751.15186747393454425, 536061.57369894231669605 189750.18463971326127648, 536061.52369369007647038 189749.03461614798288792, 536025.22291270713321865 189740.4845727818319574, 536029.3913859372260049 189755.0244030250760261, 536029.42305319500155747 189755.13485990621848032, 536035.02316278289072216 189753.48480528371874243, 536034.82315590081270784 189752.73479052953189239, 536036.02317921339999884 189752.33477786678122357, 536035.87317318038549274 189751.53476189484354109, 536038.17321865819394588 189750.98474209755659103, 536038.82323813554830849 189752.63477378623792902, 536039.9732607826590538 189752.33476337126921862, 536041.92329884925857186 189751.73474382632412016, 536050.82347346458118409 189749.23465954186394811, 536051.57349739200435579 189751.53470428544096649, 536055.12356666452251375 189750.43466854380676523, 536056.57361275283619761 189754.83475408714730293, 536062.22372300631832331 189753.08469721570145339, 536071.35844130825717002 189754.50948156786034815, 536071.67393961851485074 189758.93478334625251591, 536072.37395389028824866 189758.88477974408306181, 536072.94121336529497057 189764.71598511334741488, 536074.32717082521412522 189778.96308531519025564, 536075.17823913146276027 189788.73367895314004272))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,173059,,480-510 Larkshall Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538543.8891,191825.6533,0.277015849,not owned by a public authority,yes,permissioned,other,43019,,,42,Prior Approval - Change of Use from office (Class B1) to residential dwelling (Class C3) (42 units),,,,,,,,43445,43445,"Polygon ((538547.22969208646100014 191867.41313035029452294, 538567.02539745380636305 191864.21372184311621822, 538561.61293957300949842 191825.1083127991296351, 538563.04296789190266281 191824.77830073633231223, 538556.13262786029372364 191771.01721590908709913, 538543.3824613323668018 191782.5757269004243426, 538537.60412090562749654 191793.93978793252608739, 538531.90264448418747634 191805.15268320040195249, 538528.31154272344429046 191812.21517806345946155, 538518.17156886565499008 191832.15711178054334596, 538512.59972575982101262 191843.11506171786459163, 538508.95194454584270716 191850.28902608924545348, 538522.93225941201671958 191857.41912201332161203, 538527.93232816003728658 191848.01890954130794853, 538543.93264094868209213 191843.21875168377300724, 538544.99938661104533821 191851.04675889114150777, 538547.22969208646100014 191867.41313035029452294))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,181889,,526 High Rd Leytonstone,https://maps.london.gov.uk/brownfield-site-register,OSGB36,539400.7927,186782.7376,0.065034513,not owned by a public authority,yes,permissioned,other,43286,,,9,Prior Approval - Change of Use from Offices (Class B1) to residential (Class C3)with 9 x 1 bed units,,,,,,,,43445,43445,"Polygon ((539390.21080568002071232 186803.83637694735080004, 539428.17412507580593228 186768.23367970727849752, 539427.45804123231209815 186767.72861648252001032, 539383.16343361837789416 186776.94694403727771714, 539390.21080568002071232 186803.83637694735080004))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,173437,,60-74 Sewardstone Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,537635.4812,194828.788,0.222918749,not owned by a public authority,yes,permissioned,full planning permission,43118,,,17,"Reconfiguration and extension of the first floor to create 7 x 2 bedroom units and 2 x 1 bedroom units. Construction of additional storey to provide 8 x 3 bedroom maisonettes (creating 9 additional units and 17 in total). Provision of a first floor shared communal amenity space, 23 new parking spaces, 48 cycle storage spaces and oneloading bay. Amalgamation, change of use and extension of three existing commercial units at ground floor level to provide a large food retail (Class A1) unit. Extension and change of use of theremaining ground floor retail units (Class A1) to a flexible Class A1/A2/A3 use. New ground floor refuse and recycling.",,,,,,,,43445,43445,"Polygon ((537620.67466593952849507 194864.63453633652534336, 537621.49498009134549648 194863.83009142693481408, 537622.30920694151427597 194862.72506927317590453, 537623.23975191300269216 194861.44556993723381311, 537624.34477406681980938 194859.99159341913764365, 537625.39163715986069292 194858.07234441523905843, 537625.85690964560490102 194856.21125447205849923, 537626.03138682781718671 194855.16439137904671952, 537628.72479767713230103 194855.23431265546241775, 537632.25486973347142339 194855.00429494550917298, 537633.32491910725366324 194862.43444446043577045, 537651.92524632648564875 194846.93405607098247856, 537657.32534352829679847 194843.03395570203429088, 537660.32539814116898924 194841.03390338376630098, 537659.7753794405143708 194839.03386409842642024, 537659.77537833922542632 194838.73385790537577122, 537659.7253763887565583 194838.48385292565217242, 537659.62537175370380282 194837.78383883571950719, 537659.10533829056657851 194831.59371290891431272, 537658.90833534591365606 194829.28072702948702499, 537658.77121457713656127 194827.68969508746522479, 537657.4708540877327323 194812.85081762418849394, 537656.47517380572389811 194801.58310279552824795, 537654.17512814234942198 194802.08312156389001757, 537653.72511939995456487 194802.23312631365843117, 537652.77510069857817143 194802.48313496331684291, 537650.6644519807305187 194802.75920902821235359, 537647.22120633418671787 194803.07368563822819851, 537644.35478595364838839 194803.31010203741607256, 537635.68205195886548609 194804.02541112329345196, 537630.47464714071247727 194804.38325607200386003, 537629.77463268477004021 194804.38325863925274462, 537627.62458901770878583 194804.58327066397760063, 537627.59893563436344266 194804.04504510297556408, 537627.58350676065310836 194803.45189904212020338, 537627.57635061186738312 194802.90801880139042623, 537622.73935191740747541 194803.16739548809709959, 537620.12105231615714729 194803.25713276388705708, 537618.16898233944084495 194803.45895806583575904, 537616.83930914523079991 194803.71486493811244145, 537615.67434039432555437 194804.0833042076556012, 537614.54707097040954977 194804.62038393772672862, 537613.66055052948649973 194805.25288401389843784, 537612.95018580020405352 194806.05228154905489646, 537612.39348565309774131 194807.00961032847408205, 537612.06342180515639484 194808.3463005252124276, 537611.9742845413275063 194809.68343344196910039, 537612.21791433659382164 194811.80422066547907889, 537613.35698421066626906 194822.82517422788077965, 537613.72552924521733075 194825.84180526304407977, 537615.45356286165770143 194837.73772441601613536, 537615.81340392609126866 194840.01761827923473902, 537617.74177998048253357 194850.62506996569572948, 537619.07460517971776426 194857.08438628847943619, 537620.28422407433390617 194863.05987487683887593, 537620.67466593952849507 194864.63453633652534336))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,180621,,Central House 189-203 Hoe Street,https://maps.london.gov.uk/brownfield-site-register,OSGB36,537388.7127,189051.8415,0.091331218,not owned by a public authority,yes,permissioned,other,43210,,,17,Prior Approval - Change of Use from office use (Class B1(a)) to create17 x residential units (Class C3).,,,,,,,,43445,43445,"Polygon ((537356.99789680389221758 189054.61552270920947194, 537358.14792165206745267 189054.91552468296140432, 537372.54823478951584548 189059.21556063572643325, 537373.34825222683139145 189059.46556286269333214, 537389.34859987185336649 189064.16560120438225567, 537396.99876573297660798 189066.31561752880224958, 537396.74876350630074739 189067.11563496681628749, 537401.99887723883148283 189068.56564564484870061, 537403.06888608681038022 189064.95556716987630352, 537408.74900965311098844 189066.66558163671288639, 537414.98906140879262239 189045.65512487653177232, 537416.44907508080359548 189041.16502680024132133, 537405.09882786136586219 189037.66499617567751557, 537404.44882563129067421 189040.71506154269445688, 537403.41659580543637276 189044.00220454900409095, 537402.04416042764205486 189048.37273448420455679, 537399.912302989163436 189055.1595350582501851, 537399.29877946677152067 189057.11541910673258826, 537395.11769069021102041 189055.86218957955134101, 537385.0584697435842827 189052.84538318525301293, 537379.94835860817693174 189051.31537034455686808, 537382.61716422263998538 189042.50607725689769723, 537385.79840858583338559 189032.01495032652746886, 537381.17469917039852589 189030.65194032553699799, 537380.49829657305963337 189031.31495532050030306, 537356.99789680389221758 189054.61552270920947194))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,153261,,Former Cinema  Buxton Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,536539.22,188921.3617,0.183730322,not owned by a public authority,yes,permissioned,full planning permission,42723,,,48,"Residential development - Demolition of existing cinema and bingo hall and construction of a five storey building to provide 48 residential units (12 x 1 bed, 25 x 2 bed and 11 x 3 bed). Provision of four carparking spaces for disabled person, bin store and cycle store area.",,,,,,,,43445,43445,"Polygon ((536500.63586506515275687 188917.81460220011649653, 536500.57971681572962552 188919.61587748897727579, 536501.67974136536940932 188920.11588377738371491, 536507.67987223714590073 188922.01590099732857198, 536513.93683674233034253 188925.10610918834572658, 536522.23344291583634913 188929.20366165714222006, 536539.10217968991491944 188937.60190825723111629, 536552.33087571966461837 188944.21619559993268922, 536558.98102515109349042 188947.51623934385133907, 536560.38104543811641634 188945.16618567833211273, 536564.98110740422271192 188936.16598294593859464, 536567.18113742291461676 188931.96588814229471609, 536573.95473579422105104 188918.90634686176781543, 536571.66781961836386472 188917.92193388554733247, 536567.22805526526644826 188915.87616452595102601, 536564.04739860363770276 188914.47970571453333832, 536562.05920789914671332 188913.62763261931831948, 536558.95013751834630966 188912.29518738825572655, 536556.35385547648184001 188911.17089002259308472, 536552.44074209232348949 188909.47614317788975313, 536548.58066471852362156 188907.81545768352225423, 536547.1306320239091292 188907.06544751767069101, 536546.83062546199653298 188906.96544655336765572, 536546.0306074742693454 188906.56544122827472165, 536544.48591244267299771 188905.78085261990781873, 536537.38041457801591605 188902.6753926386591047, 536537.57041677692905068 188902.20538223627954721, 536533.38032240094617009 188900.06535341811832041, 536529.72753151622600853 188898.07013404095778242, 536527.33018627716228366 188897.01531263370998204, 536525.63016218005213886 188900.01538082375191152, 536519.68008352781180292 188912.06565149227390066, 536504.62974650936666876 188904.91555906861322001, 536500.74433704291004688 188914.50241116792312823, 536500.63586506515275687 188917.81460220011649653))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,181707,,Lemna Road (Job Centre Plus in Leytonstone),https://maps.london.gov.uk/brownfield-site-register,OSGB36,539504.7471,187588.2585,0.250893208,not owned by a public authority,yes,permissioned,other,43327,,,30,Prior Approval - Change of Use from office (Class B1) to residential (Class C3) to create 30 residential units.,,,,,,,,43445,43445,"Polygon ((539540.26763902674429119 187599.4474624844151549, 539499.16661412641406059 187551.42662174580618739, 539470.45610916812438518 187575.37022152013378218, 539470.34311941172927618 187578.79729269834933802, 539511.21713434066623449 187625.37810453557176515, 539540.26763902674429119 187599.4474624844151549))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,171355,,Selbourne Walk (The Mall),https://maps.london.gov.uk/brownfield-site-register,OSGB36,537020.8288,189004.7416,2.807850753,not owned by a public authority,yes,permissioned,other ,43292,,,502,"Full planning and outline planning permission for the redevelopment of The Mall, Walthamstow, including changes to the adjoining town square, including: (a) Full planning permission for: 1. Part demolition of the Mall, and its replacement and extension by 11,968 sqm to be used for Use Classes A1, A3, D2; 2. Creation of 42 residential units, in Use Class C3 upto a maximum height of 49m AOD; 3. Redesign of Town Square, including new children’s play space, landscaping (hard and soft) and lighting; 4. Re-design of the access arrangements to the Mall; 5. Creation of new entrance and associated works for residential buildings at ground
floor level fronting onto the Town Square; 6. Extension to the basement car parking area of the Mall by 318 sqm and approx. 33 car parking space; 7. Re-design of the servicing arrangements for the Mall; 8. Provision of new plant and renewable energy equipment; 9. All associated and ancillary engineering works and operations. (b) Outline planning permission (with all matters reserved for later determination) for: 1. Provision of up to 460 residential dwellings (in use class C3) in a collection of buildings sitting above the podium created by the development the subject of the full planning permission, ranging in height up to 132.5m AOD, in accordance with the approved Development Parameters; 2. Provision of podium hard and soft landscaping areas, including play space; 3. Provision of associated services, including waste, refuse, cycle storage, and
lighting; 4. Creation of new entrance and servicing areas and associated works for residential buildings at ground floor level fronting Selborne Road; 5. Provision of new plant and renewable energy equipment;
6. All associated and ancillary engineering works and operations.",,,,,,,,43445,43445,"Polygon ((536909.23814478574786335 188916.7143180922139436, 536907.63812862534541637 188921.31441895267926157, 536885.08790423581376672 188987.06585946120321751, 536885.93792288901749998 188987.36586253769928589, 536884.43791704985778779 188994.21600949636194855, 536884.08791569352615625 188995.8160438213380985, 536887.43799184286035597 188997.71607076324289665, 536896.68820248660631478 189003.06614729948341846, 536908.63847438944503665 189009.91624490299727768, 536912.93857272481545806 189012.51628281659213826, 536915.48863033601082861 189013.86630133638391271, 536918.23869226058013737 189015.26632015634095296, 536923.18880383495707065 189017.81635465199360624, 536926.68888216442428529 189019.46637588145677, 536927.53890100121498108 189019.81637999013764784, 536930.13895927800331265 189021.06639625981915742, 536931.43898795766290277 189021.56640181568218395, 536932.73901682090945542 189022.11640840221662074, 536934.03904550045263022 189022.61641395871993154, 536936.53910079482011497 189023.61642543453490362, 536946.68932617059908807 189027.91647698462475091, 536957.43955861567519605 189030.76649639278184623, 536964.63971775327809155 189033.61652882443740964, 536963.18970047065522522 189037.06660538824507967, 536958.73964894283562899 189048.06684887234587222, 536953.83959436067380011 189060.7671291126171127, 536955.93963882641401142 189061.06712760054506361, 536958.83966623619198799 189052.21693420404335484, 536959.88968920288607478 189052.56693757860921323, 536979.19011178228538483 189059.11700201587518677, 536982.39018171513453126 189060.16701195610221475, 536985.54025079892016947 189061.26702311268309131, 536997.89052142133004963 189065.51706555741839111, 536998.99053239391651005 189062.31699544016737491, 537001.09057796048000455 189062.91700012434739619, 537001.690591084305197 189063.11700205242959782, 537006.5906985072651878 189064.81701917602913454, 537011.74081145960371941 189066.61703744891565293, 537014.44083785824477673 189058.6168623372213915, 537026.34109827072825283 189062.61690127197653055, 537032.24122726090718061 189064.56691989046521485, 537037.9913529702462256 189066.46693802531808615, 537049.2916002586716786 189070.26697502954630181, 537065.2419492572080344 189075.61702698015142232, 537066.44196779897902161 189073.91698747099144384, 537067.89198196225333959 189069.61689335340633988, 537077.29218781425151974 189072.81692494079470634, 537079.79224255820736289 189073.66693331737769768, 537089.74246068496722728 189077.11696805211249739, 537098.44265208183787763 189080.31700220471248031, 537097.24265775922685862 189088.61717800819315016, 537101.34274719445966184 189089.91718980652512982, 537104.09280710085295141 189090.76719726889859885, 537105.39284036739263684 189092.51722863642498851, 537105.19284027407411486 189093.61725208291318268, 537102.1428218767978251 189105.7675141801009886, 537105.84290286852046847 189107.01752641494385898, 537103.54288051021285355 189113.86767631117254496, 537121.7432789069134742 189120.0177365227136761, 537121.99328186770435423 189119.41772321437019855, 537122.7932994884904474 189119.71772647526813671, 537128.34340363740921021 189116.86764725320972502, 537128.99340972071513534 189114.86760356870945543, 537129.64342406042851508 189115.11760634643724188, 537134.39347077370621264 189101.11729981028474867, 537143.79356231866404414 189073.16668813861906528, 537142.09351455373689532 189069.71662313572596759, 537143.14352467702701688 189066.56655423174379393, 537144.29353631497360766 189063.26648186554666609, 537139.99341651261784136 189054.81632315064780414, 537133.64327749598305672 189052.66630205634282902, 537126.19306842738296837 189037.61601860570954159, 537121.49293651222251356 189028.11583967501064762, 537117.34284567774739116 189026.71582599391695112, 537114.04277331288903952 189025.56581435591215268, 537115.49278747639618814 189021.26572023867629468, 537120.44289611501153558 189023.01573821168858558, 537126.64301295240875334 189019.9656524769961834, 537129.84304582269396633 189010.91545384959317744, 537125.742931067943573 189002.71529956127051264, 537119.89280292682815343 189000.71527972811600193, 537117.34274696698412299 188999.81527050118893385, 537119.19276608771178871 188994.61515633173985407, 537121.59281858312897384 188995.41516404517460614, 537122.54283930128440261 188995.7151667547877878, 537125.39289264916442335 188994.21512531983898953, 537127.09290958987548947 188989.26501686335541308, 537131.54295451182406396 188976.46473620808683336, 537133.8429779710713774 188969.91459251003107056, 537130.3929037933703512 188969.11458864877931774, 537124.09276819485239685 188967.61458079086150974, 537106.0423798686824739 188963.36455926502821967, 537101.84228965325746685 188962.41455505898920819, 537098.19221116206608713 188961.56455089995870367, 537092.2220824146643281 188960.0745420390740037, 537087.69198534789029509 188959.11453883687499911, 537061.09141330956481397 188952.91450841567711905, 537026.24066357070114464 188944.71446696930797771, 537010.89033320103771985 188941.06444792076945305, 537008.89029446989297867 188941.76446971524273977, 537006.24023644521366805 188940.86446085327770561, 537006.44023874029517174 188940.36444979446241632, 537005.9402236450696364 188939.06442478304961696, 537003.14016178878955543 188937.96441234380472451, 537001.6901334977010265 188938.4144269583048299, 537000.89012266544159502 188939.96446190000278875, 536996.59002855024300516 188938.51444773707771674, 536997.04003325570374727 188937.26442027109442279, 536996.24001159868203104 188935.86439429753227159, 536993.48995132534764707 188934.91438477009069175, 536992.03992413508240134 188935.66440557938767597, 536986.60980518092401326 188933.80438709526788443, 536984.75976462999824435 188933.16438066842965782, 536983.93974153243470937 188931.4843489850172773, 536981.19968311698175967 188930.98434871376957744, 536978.55962584901135415 188930.23434291244484484, 536968.18940448062494397 188928.26434028591029346, 536950.63902721321210265 188924.21432105312123895, 536950.33902487135492265 188925.26434383552987128, 536942.83886063972022384 188922.71431869844673201, 536939.03877868410199881 188921.76431302382843569, 536928.68855706811882555 188919.614306605537422, 536928.03854548034723848 188920.11431931599508971, 536927.43853987893089652 188921.96435972006293014, 536925.23849243088625371 188921.41435643791919574, 536919.6383707367349416 188919.76434291043551639, 536918.5383469209773466 188919.46434075344586745, 536910.98818275786470622 188917.21432199655100703, 536909.23814478574786335 188916.7143180922139436, 536909.23814478574786335 188916.7143180922139436))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,173950,,"SNA Motors, 2 Skeltons Lane",https://maps.london.gov.uk/brownfield-site-register,OSGB36,538081.3745,187770.6913,0.052323188,not owned by a public authority,yes,permissioned,full planning permission,43262,,,8,"Demolition of existing buildings and construction of 2 x 3 storey and 1 x 2 storey buildings to provide eight residential units (4 x 1 bedroom, 2 x 2 bedrooms, and 2 x 3 bedroom flats) and commercial unit (Class A2/B1) at ground floor levels with associated landscaping, cycle and bin storage.",,,,,,,,43445,43445,"Polygon ((538066.60788934805896133 187784.58669328840915114, 538081.52820572815835476 187786.84668520768173039, 538082.91820580814965069 187779.04651903780177236, 538083.88820943504106253 187774.57642317580757663, 538084.91821591532789171 187770.54633617773652077, 538085.32667462155222893 187768.21655848095542751, 538085.72821568802464753 187765.92623780289432034, 538110.55873394978698343 187767.43617786798859015, 538110.60568882909137756 187766.47353025429765694, 538110.65872775809839368 187765.18613104004180059, 538110.5087226425530389 187764.6361202328116633, 538109.00868634786456823 187763.1860957948374562, 538108.95868476491887122 187763.03609288152074441, 538108.60867698723450303 187762.88609106797957793, 538108.02133519051130861 187762.76320248193223961, 538101.31371867738198489 187762.20433833825518377, 538084.8171938342275098 187760.23001128024770878, 538079.12098568992223591 187759.57928033426287584, 538071.45789408858399838 187758.5861386006581597, 538066.60788934805896133 187784.58669328840915114))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/waltham-forest,London Borough of Waltham Forest,162568,,Tyndall Gardens 60 Tyndall Road,https://maps.london.gov.uk/brownfield-site-register,OSGB36,538189.9281,186719.2359,0.214880952,not owned by a public authority,yes,permissioned,full planning permission,43007,,,14,Demolition of existing three storey building and the erection of a new part two/part three storey building creating 14 x 4 bedroom family houses and relocation of existing substation.,,,,,,,,43445,43445,"Polygon ((538206.85701611544936895 186757.36496750917285681, 538226.85736194381024688 186739.06451623945031315, 538173.10603942873422056 186681.11351684469264001, 538153.00569171842653304 186699.46396951313363388, 538165.04844481823965907 186712.46581513635464944, 538206.85701611544936895 186757.36496750917285681))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
