OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoX,GeoY,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,End Date,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,5/LPA/21,"Court Street, Trowbridge",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,385557,157757,1.36,mixed ownership,not permissioned,,,,yes,112,112,,WW Local Plan H4Ea,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,5/LPA/38,"Land at the Market Place/East Street, Warminster",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,387560,144983,2.94,mixed ownership,not permissioned,,,,yes,30,30,,WW Local Plan H4H,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/NW25,"Hooks Hill, Purton",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,408983,187649,0.57,not owned by a public authority,not permissioned,,,,yes,15,15,,Purton Neighbourhood Plan,01/12/2018,01/12/2018,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/E09,"Garage and Old Dairy, New Park Street, Devizes",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,400494,161682,0.19,not owned by a public authority,not permissioned,,,,yes,5,5,,Devizes Neighbourhood Plan - Delivery Period 2019-2026. ,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/E11,"Magistrates Court, Elcombe Gardens, Devizes",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,400133,161588,0.29,mixed ownership,not permissioned,,,,yes,8,8,,Devizes Neighbourhood Plan - Delivery Period 2019-2026. ,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/E12,"Former Cross Manufacturing Premises, Devizes",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,399033,161351,0.54,not owned by a public authority,not permissioned,,,,yes,13,13,,Devizes Neighbourhood Plan - Delivery Period 2019-2026. ,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/E13,"Whole of Garden Trading Est, Devizes",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,401507,162364,1.7,not owned by a public authority,not permissioned,,,,yes,38,38,,Devizes Neighbourhood Plan - Delivery Period 2019-2026. ,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/E03,"Stonebridge House, Nursteed Road, Devizes",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,401656,160639,0.6,not owned by a public authority,not permissioned,,,,yes,14,14,,Devizes Neighbourhood Plan - Delivery Period 2014-2019.,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/NW04,"Briar Leaze, Compton Bassett",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,403801,172330,1.39,not owned by a public authority,not permissioned,,,,yes,7,7,,Compton Bassett Neighbourhood Plan,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/NW05,"The Tannery, Holt",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,386080,162048,1.6,not owned by a public authority,not permissioned,,,,yes,66,66,,Holt Neighbourhood Plan (Prop Dev of 66 has come from withdrawn app 16/01306/OUT),01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/NW19,"Broadfield Farm, Great Somerford",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,396462,182507,1,not owned by a public authority,not permissioned,,,,yes,18,18,,Great Somerford Neighbourhood Plan,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,NP/E30,"Wildmans Garage, Urchfont",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,404138,157022,0.2,not owned by a public authority,not permissioned,,,,yes,5,5,,Urchfont Wedhampton and Lydeway Neighbourhood Plan ,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,3383,"Land at ex-depot, Imber Pl, Tilshead",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,403757,148110,0.57,not owned by a public authority,not permissioned,,,,yes,24,24,,SHELAA,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,3420,"Land at McDonogh Court, Polebarn Road, Trowbridge",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,386045,157924,0.31,not owned by a public authority,pending decision,,,,yes,14,14,,SHELAA,01/12/2018,01/12/2018,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,351,"Builders Yard East Sands, Burbage",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,423661,161034,0.29,not owned by a public authority,not permissioned,,,,yes,10,10,,SHELAA,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,569,Marlborough Resource Centre,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,419095,168427,1.02,mixed ownership,not permissioned,,,,yes,64,64,,SHELAA,01/12/2017,01/12/2017,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/06366/FUL,"Little Manor Nursing Home, Manor Farm Road, Milford, Salisbury, SP1 2RS",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,415495,129847,0.19,not owned by a public authority,permissioned,full planning permission,19/11/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,6,6,,"External and internal alterations / refurbishments of the historic, grade 2 listed part of a 24 bed residential care home. (Little Manor.) Together with the demolition of the recent (non-historically-significant) extensions to the rear, and construction of a Care Quality Commission (CQC) compliant replacement extension, increasing the capacity to 30 beds. Demolition of two small ancillary buildings. Associated landscaping works (Resubmission of 17/11250/FUL)",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,17/06320/FUL,"Land at the Corner of Northgate Street and New Park Street, Devizes, Wiltshire, SN10 1JJ",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,400257,161640,0.11,not owned by a public authority,permissioned,full planning permission,09/07/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,19,19,,"Demolition of existing vacant former joinery workshop and warehouse building (B2/ B8 Use) and replacement with 19 residential flats (C3 Use), 21 parking spaces and associated works.",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03223/FUL,"Browfort Campus, Bath Road, Devizes, Wiltshire, SN10 2AP",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,399682,161773,2.1,not owned by a public authority,permissioned,full planning permission,13/07/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,6,6,,Erection of six age exclusive chalet bungalows with car parking,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/05546/LBC,"Community Centre, Southbroom School House, Estcourt Street, Devizes, Wiltshire, SN10 1LW",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,401050,161553,0.08,not owned by a public authority,permissioned,full planning permission,01/10/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,6,6,,"Proposed redevelopment of the existing Old Southbroom School Buildings to provide 6 new residential dwellings comprising 1x2P Studio, 2x2B3P and 2x2B4P apartments and 1x2B4P town house with associated external works, to include conversion of the existing redundant WC block into bike and bin storage (Resubmission of 17/09521/LBC)",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/02400/FUL,"Former Naafi, Station Road, Tidworth, Salisbury, SP9 7NR",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,423861,148475,0.62,not owned by a public authority,permissioned,full planning permission,05/12/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,8,8,,"Construction of hardware and DIY store (with associated warehousing and open storage) and 8 residential units, with associated landscaping and parking.",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/04915/OUT,"13 A Windsor Road, Salisbury, Wiltshire, SP2 7DX",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,413576,130262,0.06,not owned by a public authority,permissioned,outline planning permission,07/08/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,6,6,,"The erection of 6 residential flats, associated parking and hard and soft landscaping (Outline application relating to access and layout)",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,17/10031/FUL,Floors 1 And 2 Above 46 And 47 Market Place Chippenham Wiltshire ,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,392157,173280,0.03,not owned by a public authority,permissioned,full planning permission,11/05/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,7,7,,Proposed conversion of vacant office space within the property 46/ 47 Market Place on the first and second floor into mix of 1 & 2 bedroomed flats and a studio flat,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,17/05828/FUL,Former Wiltshire College Cocklebury Road Chippenham Wiltshire ,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,392275,173712,0.95,not owned by a public authority,permissioned,full planning permission,27/06/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,140,140,,"Demolition of Existing Buildings and the Erection of a 140 Unit Extra Care Facility (C2), Retail on ground floor.",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/00303/FUL,The Crown Hotel Timbrell Street Trowbridge BA14 8PP,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,385797,158401,0.08,not owned by a public authority,permissioned,full planning permission,21/06/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,8,8,,"Proposed Conversion of Former Hotel to form 5no. One Bedroom apartments & 3,p. Studio Flats ",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03020/FUL,"Court Mills Youth And Community Centre
Polebarn Road
Trowbridge
Wiltshire
BA14 7EG",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,385966,157784,0.21,not owned by a public authority,permissioned,full planning permission,19/06/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,7,7,,Proposed conversion and change of use of vacant Grade 2 Listed Building to 7 3 & 4 bedroom town houses together with parking and ancillary works including demoliton of single storey rear extension.,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,17/09445/FUL,Land at Hungerdown Lane/Bristol Road Chippenham,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,390538,174144,2.37,mixed ownership ,permissioned,full planning permission,21/05/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,35,35,,"Construction of 35 100% Affordable Dwellings with Associated Car Parking, Hard and Soft Landscaping, and a New Lidl Neighbourhood Discount Foodstore, with Associated Car Parking, Landscaping and Access Arrangements",01/03/2020,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/01374/FUL,"Former West End Social Club Audley Road Chippenham 
Audley Road
Chippenham
Wiltshire
SN14 0EP",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,391514,173736,0.26,not owned by a public authority,permissioned,full planning permission,23/08/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,5,5,,Convert Part of Former West End Social Club to Accommodate 5No New Flats,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/08076/FUL,301 Hungerdown Lane Chippenham,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,390495,173566,0.16,not owned by a public authority,permissioned,full planning permission,19/12/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,12,12,,Change of Use (A1 to C3) ground/part first floor as shown & further works to include adaptations and pitched roof providing total 12 flats,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/04008/FUL,"Westbury Leigh Baptist Church Westbury Leigh Westbury 
Westbury Leigh
Westbury
BA13 3SU",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,386002,149835,0.12,not owned by a public authority,permissioned,full planning permission,02/08/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,5,5,,Change of Use from D1 to C3. Conversion of the rear of the site (Sunday School) into four 1 Bedroom apartments and the front of the site (Chapel) into a 3 Bedroom house. Associated internal alterations. Also to include alterations to the block work walls at the front of the site between the listed gate piers to create additional parking.,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/05238/FUL,"Land Rear Of 56 To 58
New Road
Chippenham
SN15 1ES",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,391829,173520,0.05,not owned by a public authority,permissioned,full planning permission,25/10/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,8,8,,Erection of 8 no. flats.,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,17/00518/LBC,"Clarks Mill and Mill House Stallard Street Trowbridge Wiltshire 
Stallard Street
Trowbridge
Wiltshire
BA14 8HH",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,385348,157932,0.33,not owned by a public authority,permissioned,full planning permission,16/08/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,14,14,,"Retention of ground floor offices in Clarks Mill along with the conversion of 1st, 2nd and 3rd floors with the alteration of roof space to create a new 4th floor, totalling 14 apartments and conversion and first floor extension of Mill House to create 4 dwellings",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/06262/FUL,Union House Union Street Trowbridge BA14 8RY,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,385749,158255,0.07,not owned by a public authority,permissioned,full planning permission,07/09/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,7,7,,"Ground, second and third floor extensions at Union House comprising 7no. self-contained flats.",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/06217/FUL,"Ravenscroft, 44 Hilperton Road, Trowbridge, BA14 7JQ",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,386568,158375,0.36,not owned by a public authority,permissioned,full planning permission,24/01/2019,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,10,10,,To change the use of Care Home (C2) to 3no. dwelling houses and 6no. flats including additions and alterations to extend bungalow to front elevation and forming rooms within roof space.,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/06442/FUL,"Land at Grove Farm
Bincknoll Lane
Royal Wootton Bassett
Swindon
Wiltshire
SN4 8BD",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,407632,182430,0.51,not owned by a public authority,permissioned,full planning permission,07/02/2019,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,13,13,,Residential Redevelopment to Provide 10 No New Dwellings,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/00456/FUL,"Land West of White Horse Veterinary Clinic
Chippenham Road
Lyneham
SN15 4PA",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,401928,179370,0.36,not owned by a public authority,permissioned,full planning permission,22/02/2019,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,13,13,,Change of use of land for 12 additional residential park homes at Willmotts Garage (Lyneham) for extension of the Greenfields Estate and associated works.,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/02408/FUL,"The Old Tannery Site
The Midlands
Holt
Wiltshire
BA14 6BB",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,386076,162076,2.1,not owned by a public authority,permissioned,full planning permission,26/03/2019,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,44,44,,"Demolition of modern industrial buildings. Conversion and alteration of curtilage listed buildings to offices, workshops and flexible multi-purpose space (Class B1). Alterations to and retention of existing caretaker's flat. Erection of 44 No. dwellings (Class C3); and associated access, drainage and landscaping works.",01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,16/02609/OUT,Cotswold Community School Cotswold Community Ashton Keynes Wiltshire ,https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,403471,195543,16.46,not owned by a public authority,permissioned,outline planning permission,02/06/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,75,75,,Outline Application for the Redevelopment of the Cotswold Community to Provide 75 Dwellings & Associated Works Including Replacement of 27 Existing Dwellings and the Conversion of Existing Listed Buildings.,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,18/03528/OUT,"The Old Glove Factory Land Adjacent 25 Brockleaze Neston
SN13 9TJ",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,386719,168183,0.46,not owned by a public authority,permissioned,outline planning permission,20/09/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,6,6,,The erection of up to 7no. dwellings inclusive of 1no. conversion and 1no. conversion/rebuild',01/12/2017,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,N16.7507,Dogridge Garage Site (2),https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,408118,187453,0.055418808,not owned by a public authority,permissioned,,01/11/2018,http://planning.wiltshire.gov.uk/Northgate/PlanningExplorer/ApplicationSearch.aspx,yes,8,8,,Purton Neighbourhood Plan,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,3604,"Caravan Park (Former Hotel), Hilmarton",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,401892,175258,0.6,not owned by a public authority,not permissioned,,,,Yes,3,9,,SHELAA,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/unitary-authority/wiltshire,3607,"Burdensball Fm, Queen St, Wilton",https://wiltscouncil.maps.arcgis.com/apps/webappviewer/index.html?id=74a353612a934bd48fee1f2bc564cdd8,409909,131647,0.87,not owned by a public authority,not permissioned,,,,Yes,15,15,,SHELAA,01/03/2020,01/03/2020,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!
