OrganisationURI,SiteReference,SiteNameAddress,SiteplanURL,GeoY,GeoX,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,End Date
http://opendatacommunities.org/id/london-borough-council/brent,BR00120,"253A Ealing Road, HA0 1ET",https://maps.london.gov.uk/brownfield-site-register,-0.298089016,51.53824932,0.22,not owned by a public authority,permissioned,Full planning permission,21/02/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,20,20,,17/1104,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00121,"60Neasden Lane, NW10 2UW",https://maps.london.gov.uk/brownfield-site-register,-0.247791316,51.55590815,1.58,not owned by a public authority,permissioned,Full planning permission,16/08/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,121,121,,17/2477,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00122,"6 & 6a Coombe Road, NW10 0EB",https://maps.london.gov.uk/brownfield-site-register,-0.259947487,51.56434393,0.42,not owned by a public authority,permissioned,Full planning permission,04/03/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,42,42,,18/2984,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00123,"39a-B  41  43-47 & Car Park Villiers Rd R/O 43-47 Dudden Hill Lane, NW10 2ET",https://maps.london.gov.uk/brownfield-site-register,-0.239913932,51.54995419,0.176,owned by a public authority,permissioned,Full planning permission,17/10/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,24,24,,19/1095,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00124,"Preston Library, Carlton Avenue East, HA9 8PL",https://maps.london.gov.uk/brownfield-site-register,-0.295742352,51.57019253,0.2,owned by a public authority,permissioned,Full planning permission,30/08/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,12,12,,19/1305,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00125,"1050 Harrow Road, NW10 5NL",https://maps.london.gov.uk/brownfield-site-register,-0.231140881,51.53145942,0.041,not owned by a public authority,permissioned,Full planning permission,11/10/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,19/2662,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00126,"Garages Rear Of Rayners Close, HA0 2JU",https://maps.london.gov.uk/brownfield-site-register,-0.303341701,51.5548176,0.067,not owned by a public authority,permissioned,Full planning permission,08/10/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,19/2371,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00127,"87 A-C & 89 Kilburn High Road, NW6 6JE",https://maps.london.gov.uk/brownfield-site-register,-0.193770835,51.5379852,0.01,not owned by a public authority,permissioned,Full planning permission,22/01/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,18/3964,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00128,"15, 17, 19 Burnley Road, NW10 1ED",https://maps.london.gov.uk/brownfield-site-register,-0.242855027,51.55298377,0.031,not owned by a public authority,permissioned,Other,19/12/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,18/4074,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00129,"998-1004 Harrow Road, NW10 5NT",https://maps.london.gov.uk/brownfield-site-register,-0.228847833,51.5307324,0.045,mixed ownership,permissioned,Full planning permission,21/02/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,18/4798,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00130,"51-63 High Road, NW10 2SU",https://maps.london.gov.uk/brownfield-site-register,-0.227021616,51.54729612,0.114,not owned by a public authority,permissioned,Full planning permission,12/04/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,18/4903,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00131,"Land At 63 And 65 Dudden Hill Lane, NW10 1BD",https://maps.london.gov.uk/brownfield-site-register,-0.240124799,51.55046993,0.18,not owned by a public authority,permissioned,Full planning permission,30/05/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,7,7,,19/0885,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00132,"189 High Road, NW10 2SD",https://maps.london.gov.uk/brownfield-site-register,-0.234393293,51.54725441,0.02,not owned by a public authority,permissioned,Full planning permission,22/05/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,19/0987,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00133,"Garages, 19 Elmwood Crescent Hindhurst Court Hay Lane, NW9 9AB",https://maps.london.gov.uk/brownfield-site-register,-0.261890672,51.58866134,0.21,owned by a public authority,permissioned,Full planning permission,12/06/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,19/1253,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00134,"1-14 Inc 38 Kenny House Birse Crescent, NW10 1SF",https://maps.london.gov.uk/brownfield-site-register,-0.252434191,51.55972718,0.024,not owned by a public authority,permissioned,Full planning permission,19/09/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,19/1368,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00135,"114 Church Road, NW10 9PL",https://maps.london.gov.uk/brownfield-site-register,-0.251487167,51.54568474,0.036,not owned by a public authority,permissioned,Full planning permission,16/08/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,19/1884,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00136,"Empire House, Empire Way, HA9 0EW",https://maps.london.gov.uk/brownfield-site-register,-0.282534983,51.56148426,0.1,not owned by a public authority,permissioned,Full planning permission,18/10/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,19/1973,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00137,"68 & 70 Ealing Road, HA0 4TH",https://maps.london.gov.uk/brownfield-site-register,-0.298241494,51.54961797,0.118,not owned by a public authority,permissioned,Full planning permission,14/03/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,1,1,,18/3935. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00138,"85-87 Salusbury Road, NW6 6NH",https://maps.london.gov.uk/brownfield-site-register,-0.205120825,51.53574937,0.035,not owned by a public authority,permissioned,Full planning permission,24/12/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,2,2,,18/4100,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00139,"32 Balnacraig Avenue, NW10 1TH",https://maps.london.gov.uk/brownfield-site-register,-0.250708198,51.55733646,0.468,not owned by a public authority,permissioned,Full planning permission,27/06/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,18/4169. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00140,"202 &202a-C Inc High Street, NW10 4SY",https://maps.london.gov.uk/brownfield-site-register,-0.242101202,51.53400717,0.02,not owned by a public authority,permissioned,Full planning permission,20/09/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,3,3,,19/0078,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00141,"Harrowdene House 86 Harrowdene Road, HA0 2JF",https://maps.london.gov.uk/brownfield-site-register,-0.3040569,51.55886565,0.11,not owned by a public authority,permissioned,Full planning permission,10/05/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,19/0190. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00142,"1Kings Drive, HA9 9HP",https://maps.london.gov.uk/brownfield-site-register,-0.274239749,51.56718053,0.068,not owned by a public authority,permissioned,Full planning permission,04/04/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,19/0462. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00143,"23 Forty Lane, HA9 9EU",https://maps.london.gov.uk/brownfield-site-register,-0.269398977,51.56546367,0.095,not owned by a public authority,permissioned,Full planning permission,26/07/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,19/0836. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00144,"19 & 19a Napier Road, HA0 4UA",https://maps.london.gov.uk/brownfield-site-register,-0.301068721,51.55116067,0.054,not owned by a public authority,permissioned,Full planning permission,02/05/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,3,3,,19/0881. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00145,"801 Harrow Road, HA0 2LP",https://maps.london.gov.uk/brownfield-site-register,-0.317539688,51.55589422,0.029,not owned by a public authority,permissioned,Full planning permission,23/07/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,19/1323. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00146,"109 Park Avenue North, NW10 1HT",https://maps.london.gov.uk/brownfield-site-register,-0.230631975,51.55423897,0.039,not owned by a public authority,permissioned,Full planning permission,29/08/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,19/1775. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00147,"19-24 Inc Lawns Court The Avenue, HA9 9PN",https://maps.london.gov.uk/brownfield-site-register,-0.284018605,51.56806126,0.034,mixed ownership,permissioned,Full planning permission,16/10/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,3,3,,19/1816. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00148,"126 Preston Road, HA9 8NL",https://maps.london.gov.uk/brownfield-site-register,-0.29436714,51.56760974,0.065,not owned by a public authority,permissioned,Full planning permission,12/08/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,19/2045. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00149,"143 & 145 Park Lane, HA9 7SD",https://maps.london.gov.uk/brownfield-site-register,-0.29161688,51.55667092,0,not owned by a public authority,permissioned,Full planning permission,07/08/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,3,3,,19/2082. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00150,"7 Sudbury Hill Close, HA0 2QR",https://maps.london.gov.uk/brownfield-site-register,-0.328772482,51.56193575,0.153,not owned by a public authority,permissioned,Full planning permission,02/09/2019,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,19/2423. Site includes an element of residential garden (not PDL),13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00151,Harlesden Plaza,https://maps.london.gov.uk/brownfield-site-register,-0.246663,51.536726,0.9,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,208,208,,Harlesden Neighbourhood Plan,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00152,"Former Willesden Amblance Station, 164 Harlesden Road",https://maps.london.gov.uk/brownfield-site-register,-0.238889,51.538633,0.07,not owned by a public authority,not permissioned,,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,8,8,,Harlesden Neighbourhood Plan,13/12/2019,13/12/2019,
http://opendatacommunities.org/id/london-borough-council/brent,BR00007,"13, Christchurch Avenue, NW6 7QP",https://maps.london.gov.uk/brownfield-site-register,-0.206306141,51.54593812,0.041,not owned by a public authority,permissioned,Full planning permission,05/07/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,1,1,,Development has commenced,14/12/2018,13/12/2019,11/04/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00011,"Land rear of 234-240, Princes Avenue, London, NW9 9QU",https://maps.london.gov.uk/brownfield-site-register,-0.28071688,51.58929508,0.11,not owned by a public authority,permissioned,full planning permission,14/09/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,18/1608. Removed from register - majority of land is not PDL.,14/12/2018,14/12/2018,24/12/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00014,"Harlesden Christian Centre & Land next to and rear of Harlesden Christian Centre, Winchelsea Road, London",https://maps.london.gov.uk/brownfield-site-register,-0.25811931,51.53911317,0.85,not owned by a public authority,permissioned,Full planning permission,02/05/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,81,178,,Development has commenced,15/12/2017,13/12/2019,12/04/2018
http://opendatacommunities.org/id/london-borough-council/brent,BR00016,"Warranty House and 82 & 82A Dudden Hill Lane, London, NW10 1DD",https://maps.london.gov.uk/brownfield-site-register,-0.244991844,51.55366653,0.69,not owned by a public authority,permissioned,Full planning permission,25/07/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,25,136,,Development has commenced,15/12/2017,13/12/2019,01/11/2018
http://opendatacommunities.org/id/london-borough-council/brent,BR00017,"Albion House, 470 Church Lane, London, NW9 8UA",https://maps.london.gov.uk/brownfield-site-register,-0.262257596,51.58166334,0.16,not owned by a public authority,permissioned,planning permission granted under an order,03/09/2015,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,12,17,,Development has commenced,15/12/2017,13/12/2019,01/01/2018
http://opendatacommunities.org/id/london-borough-council/brent,BR00018,"3-5 INC, Watling Gate, Edgware Road, Kingsbury, London, NW9 6NB",https://maps.london.gov.uk/brownfield-site-register,-0.254425183,51.58954232,0.12,not owned by a public authority,permissioned,other,28/08/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,27,,Permission expired,15/12/2017,14/12/2018,28/07/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00019,"301, Kingsbury Road, NW9 9PE",https://maps.london.gov.uk/brownfield-site-register,-0.266522184,51.58417954,0.031,not owned by a public authority,permissioned,Full planning permission,28/11/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,Development has commenced,14/12/2018,13/12/2019,12/10/2018
http://opendatacommunities.org/id/london-borough-council/brent,BR00022,"40, Sudbury Court Road, HA1 3SH",https://maps.london.gov.uk/brownfield-site-register,-0.325174118,51.56288264,0.065,not owned by a public authority,permissioned,Full planning permission,23/01/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,Development has commenced,14/12/2018,13/12/2019,27/05/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00029,"5, Chippenham Gardens, NW6 5LH",https://maps.london.gov.uk/brownfield-site-register,-0.196744415,51.52842682,0.24,Not owned by a public authority,permissioned,Full planning permission,05/08/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,40,40,,Development has commenced,14/12/2018,14/12/2018,05/08/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00037,"81, Cricklewood Broadway, NW2 3JR",https://maps.london.gov.uk/brownfield-site-register,-0.212771105,51.55431002,0.025,not owned by a public authority,permissioned,Full planning permission,04/11/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,2,2,,Development has commenced,14/12/2018,13/12/2019,03/11/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00042,"Delmore, 18n, Brondesbury Park, NW6 7DB",https://maps.london.gov.uk/brownfield-site-register,-0.215173541,51.54378924,0.1,not owned by a public authority,permissioned,Full planning permission,02/11/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,Development has commenced,14/12/2018,13/12/2019,11/04/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00043,"York House, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.285252126,51.55635531,0.87,not owned by a public authority,permissioned,other,10/08/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,2,305,,Development has commenced,15/12/2017,14/12/2018,23/09/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00044,"Malcolm House, HA9",https://maps.london.gov.uk/brownfield-site-register,-0.282600247,51.56068186,0.21,not owned by a public authority,permissioned,Full planning permission,28/03/2013,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,14,62,,Development has commenced,15/12/2017,13/12/2019,29/09/2011
http://opendatacommunities.org/id/london-borough-council/brent,BR00068,"486 High Road, HA9 7BH",https://maps.london.gov.uk/brownfield-site-register,-0.295140569,51.55342322,0.05,not owned by a public authority,permissioned,Full planning permission,16/12/2015,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,119,9,,Permission expired,15/12/2017,15/12/2017,16/12/2018
http://opendatacommunities.org/id/london-borough-council/brent,BR00070,"2, Buller Road, NW10 5BT",https://maps.london.gov.uk/brownfield-site-register,-0.217036948,51.5304366,0.13,not owned by a public authority,permissioned,Full planning permission,18/05/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,7,7,,Development has commenced,14/12/2018,14/12/2018,08/04/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00072,"Storage Land Opposite Linden Avenue, Station Terrace, NW10 5RR",https://maps.london.gov.uk/brownfield-site-register,-0.220679823,51.53420248,0.04,not owned by a public authority,permissioned,Full planning permission,04/03/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,223,9,,Permission expired,15/12/2017,15/12/2017,02/03/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00076,"30, Brondesbury Park, NW6 7DN",https://maps.london.gov.uk/brownfield-site-register,-0.217977807,51.54473112,0.122,not owned by a public authority,permissioned,Full planning permission,26/09/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,Development has commenced,14/12/2018,14/12/2018,11/04/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00077,"341, Harlesden Road, NW10 3RX",https://maps.london.gov.uk/brownfield-site-register,-0.235796689,51.54117857,0.08,not owned by a public authority,permissioned,Full planning permission,20/07/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,Development has commenced,14/12/2018,14/12/2018,18/10/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00082,"48, Brondesbury Park, NW6 7AT",https://maps.london.gov.uk/brownfield-site-register,-0.219949323,51.54521068,0.076,Not owned by a public authority,permissioned,Full planning permission,02/01/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,Development has commenced,14/12/2018,14/12/2018,11/04/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00086,"57, Draycott Avenue, HA3 0BL",https://maps.london.gov.uk/brownfield-site-register,-0.312501931,51.57975951,0.15,not owned by a public authority,permissioned,Full planning permission,27/04/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,5,5,,Development has commenced,14/12/2018,14/12/2018,31/08/2018
http://opendatacommunities.org/id/london-borough-council/brent,BR00087,"5-9, Wembley Hill Road, HA9 8AF",https://maps.london.gov.uk/brownfield-site-register,-0.286894497,51.55373345,0.043,Not owned by a public authority,permissioned,Full planning permission,11/02/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,6,6,,Development has commenced,14/12/2018,14/12/2018,01/05/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00088,"633-635, Harrow Road, HA0 2ET",https://maps.london.gov.uk/brownfield-site-register,-0.308420021,51.55129381,0.09,not owned by a public authority,permissioned,Full planning permission,27/04/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,Development has commenced,14/12/2018,14/12/2018,21/01/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00090,"79-83, Kenton Road, HA3 0AH",https://maps.london.gov.uk/brownfield-site-register,-0.319506469,51.58041739,0.2,not owned by a public authority,permissioned,full planning permission,15/05/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,36,36,,Development has commenced,14/12/2018,14/12/2018,15/08/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00091,"945, Harrow Road, HA0 2SA",https://maps.london.gov.uk/brownfield-site-register,-0.326881456,51.55881542,0.052,not owned by a public authority,permissioned,Full planning permission,29/06/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,7,7,,Development has commenced,14/12/2018,14/12/2018,23/08/2018
http://opendatacommunities.org/id/london-borough-council/brent,BR00101,"Peel Precinct, 97-112 Carlton House, Canterbury Terrace, 8-1, Neville Close, NW6",https://maps.london.gov.uk/brownfield-site-register,-0.199429368,51.53381867,1.44,owned by a public authority,permissioned,Full planning permission,08/09/2017,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,170,170,,Development has commenced,14/12/2018,14/12/2018,25/09/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00102,"Studio Flats, 117 & Rear Of 117, Kenton Road, HA3 0AZ",https://maps.london.gov.uk/brownfield-site-register,-0.317736209,51.58145314,0.02,not owned by a public authority,permissioned,Full planning permission,14/02/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,2,2,,Development has commenced,14/12/2018,14/12/2018,16/09/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00104,"The Stadium, Oaklands Road, NW2 6DJ",https://maps.london.gov.uk/brownfield-site-register,-0.216797617,51.55684427,0.2,not owned by a public authority,permissioned,full planning permission,01/05/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,Development has commenced,14/12/2018,14/12/2018,19/12/2017
http://opendatacommunities.org/id/london-borough-council/brent,BR00109,"1, Bridgehill Close, HA0 1EP",https://maps.london.gov.uk/brownfield-site-register,-0.302176846,51.54193246,0.083,not owned by a public authority,permissioned,full planning permission,08/12/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,4,4,,Development has commenced,14/12/2018,14/12/2018,02/12/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00110,"1, Draycott Avenue, HA3 0BW",https://maps.london.gov.uk/brownfield-site-register,-0.314630006,51.58270349,0.103,not owned by a public authority,permissioned,Full planning permission,26/10/2016,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,8,8,,Development has commenced,14/12/2018,14/12/2018,01/02/2019
http://opendatacommunities.org/id/london-borough-council/brent,BR00113,"12, Chaplin Road, HA0 4TX",https://maps.london.gov.uk/brownfield-site-register,-0.299576454,51.55056353,0.062,Not owned by a public authority,permissioned,Full planning permission,27/07/2018,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,Y,9,9,,Development has commenced,14/12/2018,14/12/2018,01/02/2019
