Organisation Label,Organisation Uri,Brownfield Register Reference,Local Plan Site Allocation Reference / SLAA Site Reference,Site Address ,Co-ordinate Reference System,Eastings (Geo X),Northings (Geo Y),Area (ha),Ownership Status,Type of Permission ,Planning Status,Planning Application Reference,Site Plan URL,Planning History URL,Description of Proposed Development,Minimum amount of Dwellings,Maximum amount of Dwellings,Non-housing development,Additional Notes ,Date Entered on Part 1 of Brownfield Register,Information Updated
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR054,,"Central House 
High Street 
Ongar 
Essex 
CM5 9AA",OSGB36,555211.0,203252.0,0.3,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2064/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of existing single storey outbuilding and erection of new 3 storey mixed use building comprising 5 flats and 2 shops.,5,5,2 x A1 units,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR055,,Garages adj 92/94 Beechfield Walk  Waltham Abbey  Essex  EN9 3AD,OSGB36,538906.0,199793.0,0.11,Owned by a public authority,Full Planning Permission,Permissioned,EPF/3217/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,5 affordable homes with 10 parking spaces,5,5,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR056,,Land and Garages   Ladyfields   Loughton   Essex   IG10 3RP,OSGB36,544147.0,196082.0,0.15,Owned by a public authority,Full Planning Permission,Permissioned,EPF/1758/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,6 affordable homes with 23 parking spaces,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR057,,Former Total Service Station  Nazeing Road  Nazeing  Essex  EN9 2JL,OSGB36,539086.0,206001.0,0.077,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2698/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Demolition of existing service station and construction of 6 x 2 bedroom houses with amenity space, off-street parking and landscaping. Alternative design to approved scheme EPF/0303/13 with higher roof heights.",6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR058,,Burleigh Nursery  Hoe Lane  Nazeing  Essex  EN9 2RJ,OSGB36,540307.0,206254.0,0.45,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2271/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of existing commercial buildings and erection of 6 no. four bedroom detached dwellings,6,6,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR059,,"Rylston 
Sewardstone Road 
Waltham Abbey 
Essex 
E4 7RF",OSGB36,538074.0,197422.0,0.28,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0099/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Demolition of two existing dwellings and the erection of four pairs of semi-detached dwellings, (eight new properties in total) with ancillary access and car parking.",8,8,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR060,,"94 Lawton Road 
Loughton 
Essex 
IG10 2AA",OSGB36,543624.0,196990.0,0.02,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0645/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Residential development comprising 5 no. 2 bed apartments and 2 no. 1 bed apartments.,7,7,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR061,,"Mackays Stores Ltd 
213 - 215 High Road 
Loughton 
Essex 
IG10 1BB",OSGB36,542267.0,196240.0,0.06,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2753/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Redevelopment of existing site to provide 1 A1 retail unit, 7 x 1 bed apartments and a detached office building",7,7,1 X A1 unit,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR062,,Land r/o 33-37 Hillyfields  Loughton  Essex  IG10 2PT,OSGB36,543556.0,197361.0,0.214,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2913/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Proposed demolition of existing garages and erection of 7 no. dwellings (5 x three beds and 2 x two beds), with associated access and parking (Revised application to EPF/0513/16)",7,7,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR063,,Sixteen String Jack   Coppice Row   Theydon Bois   Epping  Essex   CM16 7DS,OSGB36,544493.0,199260.0,0.15,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2000/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Demolition of existing public house, tied dwelling, structures and buildings and the erection of 7 apartments and one cottage with communal garden, parking area and cycle store.  ",8,8,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR064,,Cobmead Cobmead  Honey Lane  Waltham Abbey  Essex  EN9 3BA,OSGB36,539837.0,200016.0,0.46,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2739/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Residential development of 8 no. detached dwellings and associated infrastructure.,8,8,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR065,,The Paddock  Grove Lane  Chigwell  Essex  IG7 6JF,OSGB36,545781.0,193345.0,0.62,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/1891/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of existing stables and warehouse and erection of 8 dwelling houses and associated landscaping. ,8,8,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR066,,"89 High Road
Loughton
Essex
IG10 4JD",OSGB36,541847.0,195627.0,0.098,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2378/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Amendment, to planning approval EPF/2442/14 (appeal reference APP/J1535/W/15/3011328) from 10 one-bed flats to 8 one-bed flats and 2 two-bed studio flats, together with minor external alterations to rooflights and formation of front dormer to replace small feature roof over front bay.",10,10,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR067,,"188 - 194 High Road
Loughton
Essex
IG10 1DN",OSGB36,542221.0,196234.0,0.0912,Not Owned by a Public Authority,Planning Permission Granted Under An Order,Permissioned,EPF/2398/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Prior approval application for a proposed change of use from use as offices (Use Class B1 (A)) to use as 6 x 2 bedroom residential units and 6 x 1 bedroom residential units (Use Class C3),12,12, , ,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR068,,"Land to the rear of 268-278 High Road
Loughton 
Essex 
IG10 4BG",OSGB36,542414.0,196593.0,0.13,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/3019/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Renewal of previous approved scheme EPF/0181/05 and PL/EPF/1413/10 . Extension of time limit on planning permission EPF/0181/05 granted on appeal. (Erection of three storey block of 12 flats with parking at ground level).,12,12,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR069,,"Garages behind 17 Queens Road 
North Weald 
Essex
CM16 6JE",OSGB36,549845.0,204423.0,0.31,Owned by a public authority,Full Planning Permission,Permissioned,EPF/1771/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,12 affordable homes with 34 parking spaces. ,12,12,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR070,,"188-194 High Road 
Loughton 
Essex
IG10 1DN",OSGB36,542221.0,196234.0,0.0912,Not Owned by a Public Authority,Planning Permission Granted Under An Order,Permissioned,EPF/1245/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Change of use of the upper floors of 188-194 High Road, Loughton from office (Use Class B1(a)) to residential (Use Class C3), including an extension of the building at the rear and a setback storey on the roof to provide a total of 14 no. 2 bed residential units with an extended commercial floorspace at ground level",14,14,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR071,,"Stoneshot Farm 
Hoe Lane 
Nazeing 
Essex 
EN9 2RW",OSGB36,540701.0,206905.0,1.3,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0259/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Demolition of existing industrial buildings, vacant stabling and 5 bedroom residential apartment and construction of 8 no. detached family houses and 10 no. 'affordable houses' with associated off-street parking, private gardens and landscaping (Revised appliation to EPF/0207/14)",16,16,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR072,,"North Weald Golf Club 
Rayley Lane 
North Weald 
Essex
CM16 6AR",OSGB36,549405.0,205799.0,0.195,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0183/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Erection of three storey building to accommodate 20 no. apartments (to replace existing clubhouse and Essex barn to be demolished under Prior Notification application EPF/0267/15),20,20,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR073,,Barnfield   Epping Road   Roydon   Essex  CM19 5DW,OSGB36,541981.0,207938.0,4.0,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0487/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Minor material amendment application to EPF/2535/14 (Clearance of all commercial buildings, structures, storage containers, bunds and the erection of 12 no. 4/5 bed detached dwellings and 11 no. affordable houses (6 x 2 bed & 5 x 3 bed) - Revised applicat",23,23,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR074,,"Chimes Garden Centre 
Old Nazeing Road 
Nazeing 
Waltham Abbey 
Essex
EN10 6RJ",OSGB36,537536.0,206135.0,1.5,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/0570/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of existing Garden Centre/Commercial Buildings and erection of 26 dwellings with associated parking and landscaping,26,26,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR075,,"Pyrles Lane Nursery 
Pyrles Lane 
Loughton 
Essex 
IG10 2NL",OSGB36,543699.0,197347.0,0.098,Not Owned by a Public Authority,Outline,Permissioned,EPF/2254/15,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Outline application for the demolition of tree/plant nursery and erection of up to 36 dwellings (flats and houses), landscaping, 75 car spaces and associated infrastructure (Revised scheme following refusal of EPF/0458/13)",36,36,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR076,,Sterling House  Langston Road  Loughton  Essex  IG10 3TS,OSGB36,544523.0,196073.0,0.97,Not Owned by a Public Authority,Planning Permission Granted Under An Order,Permissioned,EPF/3409/16,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Prior approval for proposed change of use of a building from office use (Use Class B1) to dwelling house (Use Class C3),129,129,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR077,,"Royal Oak
Forest Road
Loughton
Essex
IG10 1EG",OSGB36,541994.0,196473.0,0.14,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2706/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Partial demolition of the former Royal Oak public house and change of use to provide 4 flats, demolition of 171 Smarts Lane and redevelopment for 6 dwellings, and associated parking and landscaping (10 dwellings in total).",10,10,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR078,,"32 Palmerston Road
Buckhurst Hill
Essex
IG9 5LW",OSGB36,541409.0,193987.0,0.083,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2708/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Variation of condition 2 (drawing nos.) in order to revise the approved fenestration details under reference EPF/1852/16 (for the demolition of the existing building and construction of a replacement building providing 14 flats).,14,14,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR079,,"126 Manor Road
Chigwell
Essex
IG7 5PR",OSGB36,544258.0,192318.0,0.15,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2636/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Demolition of existing building and erection of 12 x residential dwellings and associated infrastructure (amendment to EPF/3281/16).,12,12,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR080,,"160 Manor Road
Chigwell
Essex
IG7 5PX",OSGB36,544535.0,192422.0,0.0994,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/3438/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Change to consented application EPF/0385/17. Building slightly extended and internal layouts change to allow for 9 flats. Rear extension at basement level. Compliant parking. Updated landscape.,9,9,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR081,,"2 and 3 Sewardstone Road
Waltham Abbey
Essex
EN9 1NA",OSGB36,5438474.0,200548.0,0.0479,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/3213/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Formation of five self contained flats on the first and second floors,5,5,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR082,,"Adj Garage Block
Pentlow Way
Buckhurst Hill
Essex
IG9 6BZ",OSGB36,542261.0,194645.0,0.09,Owned by a public authority,Full Planning Permission,Permissioned,EPF/2650/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,7 affordable homes with 12 parking spaces,7,7,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR083,,"2 Connaught Avenue
Loughton
Essex
IG10 4DP",OSGB36,541995.0,196019.0,0.0737,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/3078/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Conversion of existing house (plus previously approved extensions) to 5 flats, together with provision of 5 car spaces at the rear, alterations to boundary enclosures, and provision of amenity space.",5,5,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR084,,"Woodlands
152 High Road
Chigwell
Essex
IG7 5BQ",OSGB36,543454.0,192620.0,0.2635,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/3333/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Application for variation of condition 2 'plan numbers' on planning application EPF/3398/16 allowed on appeal, revisions to applications numbered EPF/0410/16 and EPF/2246/15 for amended vehicle access and erection of 9 apartments.",9,9,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR085,,"Pine Lodge Riding Centre
Lippitts Hill
Loughton
Essex
IG10 4AL",OSGB36,539798.0,196861.0,0.38,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/3253/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,"Demolition of existing buildings, improvements to existing vehicular access, erection of five detached houses, associated garages and boundary fences and landscaping (Renewal of previous approval).",5,5,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR086,,"The Retreat
Market Place
Abridge
Essex
RM4 1AU",OSGB36,546631.0,196797.0,0.04,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/1471/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Proposed erection of five 2 bed apartments with A1/A2 unit at ground floor.,5,5,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR087,,"Herb Farm Granaries
London Road
Hastingwood
Essex
CM17 9LH",OSGB36,547027.0,206097.0,0.297,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/1988/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Application for approval of reserved matters following outline approval EPF/1333/14 (Demolition of existing commercial/industrial buildings and erection of 5. no detached dwellings and garages). (Revised details following previous approval).,5,5,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR088,,"Land and Garages
Woollard Street
Waltham Abbey
Essex
EN9 1HE",OSGB36,538381.0,200387.0,0.12,Owned by a public authority,Full Planning Permission,Permissioned,EPF/2170/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,9 affordable homes with 19 parking spaces,9,9,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR089,,"Land at Burleigh Lodge
Hoe Lane
Nazeing
Essex
EN9 2RJ",OSGB36,540259.0,206362.0,0.4127,Not Owned by a Public Authority,Full Planning Permission,Permissioned,EPF/2047/17,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,Erection of five detached residential dwellings,5,5,,,2018-03-05,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR090,SR-1007,111 Church Hill Loughton IG10 4BE,OSGB36,542969.0,197108.0,0.02,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,SLAA Site,5,5,,,2018-03-08,
Epping Forest District Council,http://opendatacommunities.org/doc/district-council/epping-forest,BR091,SR-0885,1 Spring Grove Loughton IG10 4QA,OSGB36,544620.0,195485.0,0.04,Not Owned by a Public Authority,Other,Not Permissioned,,http://efdc.maps.arcgis.com/apps/webappviewer/index.html?id=355f4a1a16db436a96e3b78f8d2e14cf,http://plan1.eppingforestdc.gov.uk/Northgate/PlanningExplorer/generalSearch.aspx,SLAA Site,5,5,,,2018-03-11,
