OrganisationURI,OrganisationLabel,SiteReference,AlternateReferences,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part 2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdated
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0074,4549,BLR17,"""St Stephen's Road Car Park, 9-11 St Stephen's Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408571.984809999&y=91492.2816199999&scale=1000,ETRS89,-1.87992871,50.72299252,0.38,owned by a public authority,Yes,permissioned,full planning permission,27/07/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,46,"""Erection of a 6 storey building and a 7 storey building comprising a total of 46 flats, including undercroft, basement and surface parking, cycle and bin stores, associated access and landscape provision""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0075,4552,BLR17,"""37-39 Oxford Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409641.101689999&y=91732.35679&scale=1000,ETRS89,-1.86477682,50.72513488,0.22,not owned by a public authority,Yes,permissioned,full planning permission,12/01/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,149,"""Minor material amendment to condition no. 4 of Appeal No. APP/G1250/W/16/3159914(7/2015/13231/T - outline submission for the erection of a 16 storey block of student accommodation) to vary the layout and floor plans, and provision of an electric sub-station""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0076,4582,BLR17,"""Wessex Hotel, 11-13 West Cliff Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408133.058149999&y=90816.10097&scale=1000,ETRS89,-1.88616149,50.71691808,0.93,not owned by a public authority,Yes,permissioned,full planning permission,18/09/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,87,"""Demolition of existing buildings and the erection of 3 x 6 storey buildings comprising a new 100 room hotel (Class C1), and 88 residential units (Class C3), together with underground car parking, access and servicing arrangements, and landscaping""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0078,4597,BLR17,"""77 Lansdowne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409185.43709&y=92334.7479199999&scale=1000,ETRS89,-1.87121749,50.73055926,0.13,not owned by a public authority,Yes,permissioned,full planning permission,17/10/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,14,"""Alterations, extension and conversion of the premises into 14 flats with associated access, parking, bin and cycle storage""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0079,4609,BLR17,"""744-748 Christchurch Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=411892.13462&y=92116.46209&scale=1000,ETRS89,-1.83287378,50.72854772,0.06,not owned by a public authority,Yes,permissioned,full planning permission,03/04/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,7,"""Alterations, change of use of ground floor from A2 offices to B1 offices, erection of a third floor extension to form seven flats and formation of underground parking""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0080,4610,BLR17,"""Kinson Manor Farm, Manor Farm Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407180.411599999&y=97194.4009099999&scale=1000,ETRS89,-1.89953312,50.77428806,0.46,not owned by a public authority,Yes,permissioned,full planning permission,24/11/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,"""Demolition of a garage, alterations and conversion of stable building to nine apartments, erection of a car barn for nine cars and formation of car parking""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0081,4611,BLR17,"""59-61 St Albans Avenue""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410279.49205&y=93365.3606799999&scale=1000,ETRS89,-1.8556876,50.73980905,0.18,not owned by a public authority,Yes,permissioned,full planning permission,27/11/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,14,"""Erection of 2 x 3 storey blocks of 7 flats (14 in total) and formation of parking spaces and cycle store""",,,,,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0083,7-02-0628,BLR17,"""Hawkwood Road Car Park""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=411534.45733&y=91825.1901899999&scale=1000,ETRS89,-1.83795043,50.72593556,0.99,owned by a public authority,,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,180,,,,180,220,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0084,7-03-0566,BLR17,"""Central Car Park""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409018.57874&y=91151.4710199999&scale=1000,ETRS89,-1.87361025,50.71992105,1.24,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,180,,,,180,220,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0085,7-03-0621,BLR17,"Asda, St. Paul""s Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409658.70256&y=91879.7918599999&scale=1000,ETRS89,-1.86452366,50.72646042,3.47,not owned by a public authority,,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,90,,,,90,110,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0086,7-03-0637,BLR17,"""Glen Fern Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409054.495449999&y=91345.8167499999&scale=1000,ETRS89,-1.87309675,50.72166818,1.14,mixed ownership,,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,45,,,,45,55,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0087,7-03-0662,BLR17,"""Land at Cambridge Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407954.581739999&y=91412.54429&scale=1000,ETRS89,-1.88867688,50.72228412,0.48,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,58,,,,58,70,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0088,7-03-0768,BLR17,"""Eden Glen""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408630.917509999&y=90970.5722099999&scale=1000,ETRS89,-1.87910588,50.7183001,0.42,mixed ownership,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,40,,,,40,50,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0089,7-10-0808,BLR17,"""Ambulance Station 42 Porchester Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409513.93327&y=92308.72319&scale=1000,ETRS89,-1.86656375,50.73032,0.23,not owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,,,,9,11,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0090,7-12-0786,BLR17,"""Land adj. 131 Jewell Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=412429.64444&y=94721.1662099999&scale=1000,ETRS89,-1.82517118,50.75195963,0.02,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,,,,5,7,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0091,7-12-0787,BLR17,"""Wilkinson Drive""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=412481.722609999&y=94718.2891999999&scale=1000,ETRS89,-1.82443305,50.75193265,0.02,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,,,,5,7,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0092,7-17-0638,BLR17,"""Durley Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408067.955659999&y=90858.3351399999&scale=1000,ETRS89,-1.88708274,50.71729877,0.32,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,40,,,,40,44,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0093,7-17-0722,BLR17,"""Winter Gardens""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408491.68936&y=90918.8428899999&scale=1000,ETRS89,-1.88107925,50.71783694,1.96,mixed ownership,Yes,pending decision,outline planning permission,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,352,,,,352,352,,,Awaiting s106,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0094,7-17-0785,BLR17,"""Land adj. Princess Road/Wessex Way""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=406817.28084&y=91651.4952099999&scale=1000,ETRS89,-1.90478395,50.72444716,0.62,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,67,,,,67,81,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0095,7-17-0800,BLR17,"""HANNAH LEVY HOUSE CARE HOME, HANNAH LEVY HOUSE, 15 POOLE ROAD, BOURNEMOUTH, BH2 5QR""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=407644.48388&y=91210.6085299999&scale=1000,ETRS89,-1.89307396,50.72047229,0.23,not owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,12,,,,12,16,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0096,7-03-0640,BLR17,"""Richmond Hill""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408664.7203&y=91510.7243599999&scale=1000,ETRS89,-1.87861454,50.72315701,0.29,owned by a public authority,Yes,not permissioned,,,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,63,,,,63,77,,,,21/12/2017,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0097,3999,,"""40-42 Ashley Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=411512.40386&y=92175.89251&scale=1000,ETRS89,-1.83825204,50.72908973,0.1,not owned by a public authority,Yes,permissioned,full planning permission,23/02/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,7,"""Erection of three dwellinghouses and a 2/3 storey block of six flats with bin and cycle stores and formation of parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0098,4450,,"""1008 Wimborne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409022.424189999&y=95221.3784&scale=1000,ETRS89,-1.87345739,50.75652013,0.04,not owned by a public authority,Yes,permissioned,full planning permission,24/07/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,8,"""Alterations, extensions and conversion of premises to 10 flats with bins and cycle stores and formation of car parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0099,4624,,"""40 Gervis Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409371.098929999&y=91168.36443&scale=1000,ETRS89,-1.86861616,50.72006746,0.07,not owned by a public authority,Yes,permissioned,full planning permission,19/12/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,12,"""Demolition of existing building and erection of a 3/4 storey building comprising of 13 flats with bin and cycle stores and formation of parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0100,4625,,"""676-680 Wimborne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408691.59678&y=94285.4468699999&scale=1000,ETRS89,-1.87816922,50.74810865,0.16,not owned by a public authority,Yes,permissioned,outline planning permission,20/12/2017,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,15,"""Outline submission for the erection of a two storey block of student accommodation (15 self-contained units) with bin and cycle store and provision of four car parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0101,4649,,"""Addiscombe, 8 Cranborne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408369.77571&y=90981.8750599999&scale=1000,ETRS89,-1.88280474,50.71840551,0.14,not owned by a public authority,Yes,permissioned,outline planning permission,01/03/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,17,"""Outline submission for the demolition of the existing building and erection of a block of 23 flats with cycle, bin stores and basement parking spaces - Revised scheme""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0102,4654,,"""79 Lowther Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409744.897829999&y=92552.7727699999&scale=1000,ETRS89,-1.86328489,50.73251087,0.06,not owned by a public authority,Yes,permissioned,full planning permission,03/04/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Alterations, 2 storey extension and conversion of dwellinghouse into 6 flats with roof extension and roof lights and bin and cycle stores.""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0103,4672,,"""97 Ashley Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=411343.458679999&y=92304.89706&scale=1000,ETRS89,-1.84064179,50.73025311,0.13,not owned by a public authority,Yes,permissioned,full planning permission,08/05/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,19,"""Demolition of part of existing building, extension and conversion of former Portman Hotel to 19 flats and a detached dwellinghouse with cycle, bin stores, formation of new vehicular access and parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0104,4674,,"""21-23 St Clement's Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410628.888389999&y=92141.5901799999&scale=1000,ETRS89,-1.850771,50.72879793,0.07,not owned by a public authority,Yes,permissioned,full planning permission,14/05/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,6,"""Alterations, single storey extension, formation of balcony and conversion of premises to 8 flats, modification of vehicular access and formation of parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0105,4688,,"""Grange Court, 12 Wharncliffe Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410989.807619999&y=91596.6434399999&scale=1000,ETRS89,-1.84567346,50.72389078,0.19,not owned by a public authority,Yes,permissioned,full planning permission,11/06/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Alterations and extensions to premises to form an additional 5 units, including the Coach House, with bin and cycle stores and formation of parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0106,4690,,"""Gainsborough Court, Cromwell Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=412793.892519999&y=92318.38863&scale=1000,ETRS89,-1.82009056,50.73034459,0.25,not owned by a public authority,Yes,permissioned,full planning permission,13/06/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,"""Alterations, part 2 storey, part 1� storey extension and new dormers to Block B to form 6 additional flats and new dormers to Block A to form an additional 3 flats (9 new flats in total) with associated car parking, refuse and cycle stores.""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0107,4691,,"""1628 Wimborne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=406364.99501&y=96555.1564899999&scale=1000,ETRS89,-1.91110827,50.76854896,0.12,not owned by a public authority,Yes,permissioned,reserved matters approval,10/09/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,"""Erection of 11 flats with associated parking - Approval of reserved matters in respect of application no. 7-2018-14007-L""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0108,4707,,"""520-524 Wimborne Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=408654.164449999&y=93896.12373&scale=1000,ETRS89,-1.87870882,50.74460817,0.03,not owned by a public authority,Yes,permissioned,full planning permission,06/07/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,8,"""Alterations, extension and conversion of premises to retail unit and 8 flats with bin and cycle stores""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0109,4711,,"""40 Florence Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=411764.3816&y=91784.27723&scale=1000,ETRS89,-1.8346943,50.72556308,0.07,not owned by a public authority,Yes,permissioned,reserved matters approval,17/10/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,9,"""Demolition of doctors surgery and erection of a 2/3 storey block of 9 flats with bin and cycle store and formation of new parking spaces - Approval of reserved matters in respect of application no. 7-2017-2018-E""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0110,4719,,"""17 Holdenhurst Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409551.34616&y=91503.42303&scale=1000,ETRS89,-1.86605426,50.72307762,0.1,not owned by a public authority,Yes,permissioned,other,24/07/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,20,"""Prior approval procedure - Change of use of ground and first floor offices (Class B1(a)) to 20 flats (Class C3)""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0111,4729,,"""193 Richmond Park Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409661.36488&y=93012.10511&scale=1000,ETRS89,-1.86445661,50.73664285,0.05,not owned by a public authority,Yes,permissioned,other,14/08/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,6,"""Prior approval procedure - Change of use of office (Class B1(a)) to 6 flats (Class C3)""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0112,4744,,"""18 Knole Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=410749.201669999&y=91768.4738199999&scale=1000,ETRS89,-1.84907712,50.72544044,0.06,not owned by a public authority,Yes,permissioned,full planning permission,14/09/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,6,"""Alterations, extensions and conversion of dwellinghouse into 7 flats, including new 2nd floor level with Juliet balconies, dormer windows and roof light and formation of parking spaces and bin and cycle stores""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0113,4753,,"""Wootton House, Wootton Mount""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409243.723309999&y=91309.13624&scale=1000,ETRS89,-1.87041703,50.72133539,0.17,not owned by a public authority,Yes,permissioned,outline planning permission,15/10/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,25,"""Outline submission for erection of a 5 storey building comprising 31 student flats (arranged as a mixture of 1, 2 and 3 bed cluster units) with bin and cycle stores, modification to access and formation of parking spaces""",,,,,,,,,17/12/2018
http://opendatacommunities.org/id/unitary-authority/bournemouth,Bournemouth Borough Council,B/BLR/0114,4766,,"""1 Lansdowne Place, 17 Holdenhurst Road""",https://maps.christchurchandeastdorset.gov.uk/map/Aurora.svc/run?script=%5CAurora%5CBBC%20Brownfield%20Register.AuroraScript%24&nocache=3767cdae-64dd-6422-1aa9-a5aa651d7145&resize=always&x=409569.34204&y=91486.2791299999&scale=1000,ETRS89,-1.86579976,50.72292316,0.02,not owned by a public authority,Yes,permissioned,other,05/11/2018,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,,5,"""Prior approval procedure - Change of use of part of 1st and 2nd floor offices (Class B1(a)) to 5 flats (Class C3)""",,,,,,,,,17/12/2018
