OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Uni_ID,Settlement,Parish,SHLAA2018_Suitable,SHLAA2018_Available,SHLAA2018_Achievable,SHLAA2018_Timescale,SHLAA2018_Capacity,Latest_MostRelevantResidentialApplication,Total_ha,BF_ha,CoordinateReferenceSystem_WGS84,GeoX_WGS84,GeoY_WGS84,CoordinateReferenceSystem_ETRS89,GeoX_ETRS89,GeoY_ETRS89
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,1539,,"""5 Palace Street East, Berwick-upon-Tweed""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,400067,652647,0.31,owned by a public authority,,not permissioned,,,,,7,"Opportunity for redevelopment of council owned site within existing urban area. Indicative yield could be at the lower end of range given urban environment, particularly if there is potential for conversion as well as new build development",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,No relevant planning history,2016-06-30,2017-12-17,41,Berwick-upon-Tweed,Berwick CP,Suitable,Available,Achievable,6-10 Years,8,,0.31,0.31,WGS84,-2.00050,55.76720,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2024,,"""Haydon Bridge Fire Station, Station Road, Haydon Road""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,384219,564565,0.22,not owned by a public authority,,permissioned,full planning permission,2018-05-18,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DSDBTGLI000,,6,"Site of fire station - former NCC owned site now sold to Bradley Homes. Availability means a small-scale residential scheme could be provided, as long as any constraints can be overcome. Site identified through the SHLAA for indicative yield of 6 homes, reflecting these issues",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Permission for demolition of fire station and construction of 5 dwellings - 17/02577/FUL,2017-12-17,2018-12-31,42,Haydon Bridge,Haydon CP,Suitable,Available,Achievable,6-10 Years,6,17/02577/FUL,0.22,0.22,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2040,,"""Burn Lane Bus Depot, Hexham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,393246,564667,0.40,not owned by a public authority,,not permissioned,,,,,12,"Potential opportunity for redevelopment of existing bus garage embedded within urban environment. Currently in use and occupied but could become available in future depending on relocation, but not considered immediately available for redevelopment",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Draft Local Plan housing site allocation - reflected in emerging draft Hexham Neighbourhood Plan.,2017-12-17,2018-12-31,44,Hexham,Hexham CP,Suitable,Available,Achievable,11-15 Years,13,,0.40,0.40,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2065,,"""West Woodburn Filling Station""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,389399,586584,0.26,not owned by a public authority,,not permissioned,,2008-07-10,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N8SVZDQS0CE00,,5,"Redevelopment of former garage site, now vacant - previous permission lapsed before commencement. Whilst at edge of settlement a small-scale development of 5 units is considered appropriate for the setting",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Draft Local Plan housing site allocation. Permission for development of 8 dwellings previously secured but lapsed - T/20070552,2016-06-30,2018-12-31,45,West Woodburn,Corsenside CP,Suitable,Available,Achievable,6-10 Years,5,T/20070552,0.26,0.26,WGS84,-2.16798,55.17347,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2076,,"""Farmways Site, Corbridge Road, Hexham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,395686,563767,0.98,not owned by a public authority,,not permissioned,,,,,18,"Edge of settlement location but opportunity for development, potentially as part of wider scheme - land to both east and west benefit from planning permission. Any proposal likely to involve redevelopment of land currently in use for employment purposes",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,No relevant planning history,2016-06-30,2017-12-17,46,Hexham,Hexham CP,Suitable,Available,Achievable,11-15 Years,20,,0.98,0.98,WGS84,-2.06891,54.96853,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2187,,"""Greystonedale Park Road, Haltwhistle""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,370041,563967,0.90,unknown ownership,,not permissioned,,2011-04-28,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00D9TZTGLI000,,27,"Redevelopment opportunity within existing urban area - previous consent lapsed prior to implementation. Reduced yield of 30 dwellings reflects development at an appropriate density given setting. Site is part vacant but a number of existing buildings also remain in situ, including dwellings and a depot",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Draft Local Plan housing site allocation. Pre-app for development of 35 homes has been submitted for consideration in 2018. Previous permission for development of 57 sheltered apartments not been taken forward and has now lapsed -  T/20100529 (ENRP314),2016-06-30,2018-12-31,47,Haltwhistle,Haltwhistle CP,Suitable,Available,Achievable,6-10 Years,30,T/20100529,0.90,0.90,WGS84,-2.46951,54.96944,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2247,,"""Land West of Hougill, Tyneview Road, Haltwhistle""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,370016,563643,0.16,unknown ownership,,not permissioned,,2007-04-05,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DVJSTGLI000,,5,"Opportunity for redevelopment of existing buildings, sheds and hardstanding - previous consent lapsed prior to implementation",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Draft Local Plan housing site allocation. Planning permission for 6 two-storey dwellings on site has now lapsed - T/20100032. This consent extended the time limit of an original outline consent - T/20070154,2016-06-30,2018-12-31,48,Haltwhistle,Haltwhistle CP,Suitable,Available,Achievable,6-10 Years,6,T/20100032,0.16,0.16,WGS84,-2.46987,54.96653,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2258,,"""Land to the rear of 13-17 Priestpopple, Hexham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,393762,563900,0.12,not owned by a public authority,yes,permissioned,full planning permission,2015-11-18,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DSZKTGLI000,,0,Permitted site for 36 units - yet to commence but forecast to be delivered within next 5 years. Redevelopment of vacant town centre site for urban infill (see also 2497 - indicative yield recorded against this site),"Extant planning permission includes consent for 1 retail unit and thre blocks comprising mix of A1, A2, A3, D2 and B1 uses alongside apartments",,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,"Proposal for mixed development including 36 apartments covering Sites 2497 and 2258,, through reconstruction of exisiting builidng to create 5 dwellings and provision of two apartment blocks providing 16 and 15 apartments respectively, consented - 15/02794/FUL. Scheme. Previous permission for 17 apartments lapsed without implementation - T/20061115",2016-06-30,2017-12-17,49,Hexham,Hexham CP,Suitable,Available,Achievable,0-5 Years,0,15/02794/FUL,0.12,0.12,WGS84,-2.09897,54.96971,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2343,,"""Swimming Pool, Market Street, Hexham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,393467,564266,0.14,unknown ownership,,permissioned,full planning permission,2015-02-02,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MR5LY5QS0CE01,,43,"Extant permission for 43 units. Existing consent for sheltered scheme technically implemented but no longer to be delivered - potential for alternative scheme for redevelopment of town centre site. Previous developer has confirmed that this particular scheme will not be taken forward. Indicative yield considered to reflect a higher density scheme, appropriate given the location, likely to provide flats/apartments",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Permission in place for part demolition of existing buildings and development of 45 apartments (43 net) for 'later living' - 13/02289/FUL. Planning permission has technically been implemented through commencement of site works but the scheme is no longer to be delivered,2016-06-30,2017-12-17,50,Hexham,Hexham CP,Suitable,Available,Achievable,6-10 Years,43,13/02289/FUL,0.14,0.14,WGS84,-2.10359,54.97299,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2345,,"""Hospital land at Dean Street, Hexham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,394133,564000,1.15,owned by a public authority,,not permissioned,,,,,37,Hospital land and buildings within existing urban environment. Extensive site potentially offering opportunity for redevelopment through conversion and/or new building development,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Draft Local Plan housing site allocation - reflected in emerging draft Hexham Neighbourhood Plan. Saved Tynedale Local Plan allocation for residential development. Two pre-apps have been submitted for consideration in 2018 . First for conversion of and extension of existing buildings to 33 apartments on the western part of the site. Second for 48 retirement apartments on the eastern section.,2016-06-30,2018-12-31,51,Hexham,Hexham CP,Suitable,Available,Achievable,6-10 Years,41,"18/00491/PREAPP, 18/00499/PREAPP",1.15,1.15,WGS84,-2.09318,54.97061,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2352,,"""Former Bellingham Auction Mart, Bellingham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,383828,583488,1.72,not owned by a public authority,,not permissioned,,2008-02-21,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DA9LTGLI000,,59,"Opportunity for redevelopment of large site within village - previous permission lapsed without implementation. Former auction mart buildings have been cleared and the site is now vacant, offering chance for extensive redevelopment at the heart of the settlement",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Draft Local Plan housing site allocation. Reserved matters consent for residential scheme of 65 units lapsed without being taken forward - T/20071304. Relates to original outline application - T/20050571,2016-06-30,2018-12-31,52,Bellingham,Bellingham CP,Suitable,Available,Achievable,6-10 Years,65,T/20071304,1.72,1.72,WGS84,-2.25527,55.14550,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2353,,"""Anchor Garage, Shaftoe Street, Haydon Bridge""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,384425,564214,0.09,unknown ownership,yes,permissioned,full planning permission,2017-09-28,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DSDMTGLI000,,9,Permitted site for 9 units - yet to commence but forecast to be delivered within next 5 years. Redevelopment of existing garage site and associated land within village  with density reflecting proposals for flatted scheme,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Latest application for revised scheme 9 units was permitted in September 2017 - 17/01547/FUL. This will supersede previous scheme approved for 6 dwellings - 13/03434/FUL,2016-06-30,2018-12-31,53,Haydon Bridge,Haydon CP,Suitable,Available,Achievable,0-5 Years,9,17/01547/FUL,0.09,0.09,WGS84,-2.24483,54.97232,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2356,,"""6-10 South View, Mickley Square""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,407424,562299,0.12,unknown ownership,,not permissioned,,2007-05-09,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NF6VZIQS0CE00,,5,Potential redevelopment of vacant site within existing urban area - previous permission lapsed without commencement. Indicative yield reflective of surrounding residential development,,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Planning permission for development of 5 terraced homes has lapsed - T/20070337,2016-06-30,2017-12-17,54,Mickley Square,Prudhoe CP,Suitable,Available,Achievable,11-15 Years,5,T/20070337,0.12,0.12,WGS84,-1.88561,54.95530,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2379x,2379,"""Bearsbridge Sawmill (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,378190,557437,0.49,unknown ownership,,not permissioned,,,,,5,"Highly rural location but potential opportunity for redevelopment of former sawmill. Overall SHLAA site mixed but reduced yield indicated recognises brownfield parcel. Brownfield element (0.49ha) considered to be suitable for small scale development - indicative yield of around 5 dwellings can be calculated based on methodological approach. For indicative purposes in the BF Register, the original SHLAA site (ref 2379) is split to reflect brownfield and greenfield elements - total area of 0.84ha",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Saved Tynedale Local Plan allocation for 10 dwellings covers part of site,2017-12-17,2017-12-17,56,Bearsbridge,Plenmeller with Whitfield CP,Suitable In Part,Available In Part,Achievable In Part,11-15 Years,5,,0.84,0.49,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2399,,"""Former Goods Yard to the West of Haltwhistle Station, Tyne View Road, Haltwhistle""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,370270,563750,1.45,unknown ownership,,not permissioned,,2008-05-29,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DA92TGLI000,,27,"Former Haltwhistle goods yard site, adajcent to railway line, with potential for redevelopment - previous permission lapsed prior to implementation. Largely cleared and vacant railway land with location and setting offering an attractive location for residential development. Previous consent for up to 50 dwellings but a reduced indicative yield of 30 units is identified in the SHLAA and is considered appropriate given the setting and site constraints",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Outline permission for residential development of up to 50 homes secured but now lapsed - T/20041143. Subsequent application submitted in 2011 but now disposed. Saved Tynedale Local Plan allocation for 30 dwellings,2017-12-17,2017-12-17,57,Haltwhistle,Haltwhistle CP,Suitable,Available In Part,Achievable In Part,11-15 Years,30,T/20041143,1.45,1.45,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2470x,2470,"""Newlands (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,409411,556242,3.49,unknown ownership,,pending decision,,,,,18,"Highly rural location but opportunity for potential redevelopment of part of large employment site - proposed for deallocation in new Local Plan. Mixed site of both brownfield and greenfield land, no longer in use but range of industrial and office buildings remain in situ. Reduced yield indicated recognises development of discreet parcel of overall brownfield land (3.49ha). For indicative purposes in the BF Register, the original SHLAA site (ref 2470) is split to reflect brownfield and greenfield elements - total area of 20.93ha",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,"Allocated employment site in rural location, but proposed for deallocation in the draft Local Plan. Full application now pending consideration for the redevelopment of the Former Marley Tiles Factory to provide a residential development of 109 houses",2017-12-17,2018-12-31,58,Not in a Settlement,Shotley Low Quarter CP,Suitable,Available,Achievable In Part,11-15 Years,20,18/02239/FUL,20.93,3.49,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2497,,"""Bus Station Site, Priestpopple, Hexham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,393736,563914,0.16,owned by a public authority,yes,not permissioned,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DSZKTGLI000,,32,"Previous permission for 36 units now lapsed - but forecast to be delivered within next 5 years. Would involve the redevelopment of the former bus station within town centre, offering chance for urban infill (see also 2258). Yield recognises location and possibility for a higher density flat/apartment scheme","Extant planning permission includes consent for a retail unit providing 2,466m2 floorspace (2,402m2 net)",,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,"Previous proposal now lapsed for mixed development including 36 apartments covering Sites 2497 and 2258, through reconstruction of exisiting building to create 5 dwellings and provision of two apartment blocks providing 16 and 15 apartments respectively - 15/02794/FUL. Previous permission for 17 apartments lapsed without implementation - T/20061115",2016-06-30,2018-12-31,59,Hexham,Hexham CP,Suitable,Available,Achievable,0-5 Years,36,15/02794/FUL,0.16,0.16,WGS84,-2.09938,54.96983,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2536,,"""Coal Cells at Haydon Bridge Railway Station (3), Haydon Bridge""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,384380,564562,0.35,not owned by a public authority,,not permissioned,,,,,7,"Former site of Haydon Bridge goods yard, adjacent to the railway line, with potential for redevelopment scheme. Vacant former railway land offering opportunity for smaller-scale scheme at identified density, recognising setting and site constraints",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,No relevant planning history,2016-06-30,2017-12-17,60,Haydon Bridge,Haydon CP,Suitable In Part,Available,Achievable In Part,11-15 Years,8,,0.35,0.35,WGS84,-2.24557,54.97545,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2554x,2554,"""West Orchard House, Allendale Road, Hexham (brownfield parcel)""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,393059,563830,0.24,not owned by a public authority,,not permissioned,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NWB0UWQS0GA00,,5,"Potential redevelopment of existing vacant buildings and land within existing urban environment. Largely brownfield site with small element of greenfield land. Overall SHLAA site mixed but reduced yield indicated recognises brownfield land (0.24ha) . Brownfield element considered to be suitable for small scale development of 6 units. Application for single dwelling permitted but it is considered that further potential may remain. For indicative purposes in the BF Register, the original SHLAA site (ref 2554) is split to reflect brownfield and greenfield elements - total area of 0.43ha",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Application relating to part of site approved for development of a single dwelling - 15/03735/FUL,2017-12-17,2017-12-17,61,Hexham,Hexham CP,Suitable,Available,Achievable,6-10 Years,6,15/03735/FUL,0.43,0.24,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2610,,"""The Old School, Bellingham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,383895,583556,0.42,not owned by a public authority,,not permissioned,,,,,8,"Opportunity for redevelopment of vacant site within existing settlement - immediate availability of whole site has been questioned in past but considered in the longer-term. Former railway land, including old track bed, offering potential change for small-scale residential scheme",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,No relevant planning history,2017-12-17,2017-12-17,62,Bellingham,Bellingham CP,Suitable,Available In Part,Achievable,11-15 Years,9,,0.42,0.42,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,2739,,"""Prospect House (Council Offices), Hallgate, Hexham""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,393702,564110,0.18,unknown ownership,,pending decision,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00DSWWTGLI000,,9,"Town centre site, owned by the council, which offers opportunity for redevelopment through conversion of offices. Indicative yield reflects potential for higher density development, delivered through conversion of listed building and reflective of location",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,Application minded to approve for proposed change of use to provide 18 units - 17/04070/FUL. Previous application for 20 units withdrawn in July 2017 - 17/01438/FUL,2016-06-30,2018-12-31,66,Hexham,Hexham CP,Suitable,Available,Achievable,6-10 Years,10,17/04070/FUL,0.18,0.18,WGS84,-2.09991,54.97159,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,3000,,"""Scots Gap Auction Mart, Scots Gap""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,404011,586409,1.67,unknown ownership,,not permissioned,,,,,27,"Sizeable brownfield site given rural location and context, offering potential opportunity for redevelopment of existing  of land and buildings. The auction mart is still in operation, therefore is not immediately available, but potential for redevelopment may exist in the longer-term, either in whole or part. Any residential development would need to be reflective of the wider village and isolated location and an indicative yield of 30 dwellings is considered fitting",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,No relevant planning history,2016-06-30,2017-12-17,67,Scots Gap,Wallington Demesne CP,Suitable,Available,Achievable,6-10 Years,30,,1.67,1.67,WGS84,-1.93857,55.17200,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,3017,,"""East Farm & Factory Unit, Longhirst Road, Pegswood""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,422558,587500,0.56,not owned by a public authority,,pending decision,,,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NGO7HEQS0CE00,,15,"Opportunity for redevelopment of vacant land and buildings, formerly related to agricultural and employment uses, within settlement. Mainly brownfield with very small greenfield element. Lower yield indicated recognises brownfield element and considered to be suitable for small scale development of 17 units.",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,"Full application pending for conversion of Grade II listed East Farm Barns into 2 dwellings, change of use of former shop into cafe,  refurbishment of existing flat above cafe and for 28 additional dwellings - relates to sites 3017, 9114 and 9115. Previous outline application for approximately 17 dwellings disposed without determination - 15/04203/OUT.",2017-12-17,2018-12-31,68,Pegswood,Pegswood CP,Suitable,Available,Achievable,6-10 Years,17,18/00168/FUL,0.56,0.56,,,,,,
http://opendatacommunities.org/id/unitary-authority/northumberland,Northumberland County Council,3024,,"""NCC Council Offices, Newgate Street, Morpeth""",http://northumberland.maps.arcgis.com/apps/webappviewer/index.html?id=c1b801d50f8040efbf8c9bc9f916cfae,OSGB36,419665,586296,0.39,owned by a public authority,,permissioned,full planning permission,2018-01-18,https://publicaccess.northumberland.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00BCBDTGLI000,,12,"Council owned site in town centre location which offers opportunity for redevelopment. A yield at a relatively high density is considered to be appropriate, reflecting conversion of the existing listed building",,,,,,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Planning-and-Building/planning%20policy/Studies%20and%20Evidence%20Reports/Housing%20Studies/1.%20SHLAA/Appendix-G-SHLAA-Sites-Summary-Assessment-Schedule.pdf,"Permission for development of 18 homes, through conversion of existing Grade II listed building to accommodate 13 self contained residential apartments and development of 3 three-bed and a four-bed dormer bungalows - 17/00884/FUL",2017-12-17,2018-12-31,69,Morpeth,Morpeth CP,Suitable,Available,Achievable,6-10 Years,12,17/00884/FUL,0.39,0.39,,,,,,
