OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,Siteplan,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,HELAA Reference
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR046,,"Reigate Library, Bancroft Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3866/rbbcblr046,OSGB36,525537.00,150157.00,0.22,Owned by a public authority,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/pagedSearchResults.do?action=page&searchCriteria.page=1,25,,"The site would be most suited to delivering mixed-use library, community uses, retail, commercial and residential development.",25,,,"Borough Local Plan (2005) policy Cf1 resists the loss of community uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality; and no other community facilities or service can make use of the premises or site. 
Development of the site would be dependent upon the reprovision of the community facilities or relocation to alternative suitable premises.   The site has been identified in the Regulation 19 Development Management Plan, as part of a wider site, as a potential town centre opportunity site for library, community uses, retail, commercial and residential development (REI1).
The site is partially affected by Flood Zones 2 and 3.",31/12/17,,RC23
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR047,,"Millennium House, 99 Bell Street, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3870/rbbcblr047,OSGB36,525500.00,149903.00,0.10,Not owned by a public authority.,Yes,Permissioned,Prior Approval,19/07/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,19,Change of use from office (B1(A)) to residential (C3).,,,,,,31/12/17,,RC26
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR048,,"Park House, 77-83 Bell Street, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3867/rbbcblr048,OSGB36,525482.00,149971.00,0.06,Not owned by a public authority,Yes,Permissioned,Prior Approval,21/06/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,13,Prior approval under Class J for a change of use from offices (Use Class B1(A)) to dwelling houses (Use Class C3).,,,,,,31/12/17,,RC27
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR049,,"Castlefield House, 3-5 Castlefield Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3865/rbbcblr049,OSGB36,525461.00,150469.00,0.40,Not owned by a public authority,Yes,Permissioned,Prior Approval,24/07/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,41,Proposed change of use from Class B1(A) to Class C3 residential use.,,,,,,31/12/17,,RC74
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR050,,"Acacia House, Reigate Hill, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3880/rbbcblr050,OSGB36,525458.00,151105.00,0.29,Not owned by a public authority,Yes,Permissioned,Outline,06/08/14,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,22,Proposed change of use from Class B1(A) to Class C3 residential use.,,,,,,31/12/17,,RH12
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR051,,"New Pond Farm, Woodhatch Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3882/rbbcblr051,OSGB36,526779.00,148231.00,1.22,Owned by a public authority,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,30,,,30,,,,31/12/17,,SPW03
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR052,,"Hartswood Nursery, Dovers Green Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3871/rbbcblr052,OSGB36,525530.00,147857.00,0.04,Not owned by a public authority,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,,,5,,,"The site, as part of a wider site, has been identified in the Regulation 19 Development Management Plan as a Sustainable Urban Extension (SSW2). 
Upon adoption, its delivery will be subject to phasing policy (MLS1).",31/12/17,,SPW08
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR053,,"Former Garage Block, Atherfield Road, Reigate",http://www.reigate-banstead.gov.uk/downloads/file/3878/rbbcblr053,OSGB36,526162.00,148653.00,0.03,Not owned by a public authority,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,,,5,,,,31/12/17,,SPW11
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR054,,"High Street Car Park, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3879/rbbcblr054,OSGB36,528643.00,143075.00,0.43,Owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,30,,The site would be most suitable for delivering mixed-use retail/ leisure and residential development.,30,,,"The site has been allocated for development in the 2005 Borough Local Plan. 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use retail/ leisure and residential development. 
Release of the site would be dependent upon public car parking needs within the town centre.",31/12/17,,HC02
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR055,,"Central Car Park, Consort Way East, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3872/rbbcblr055,OSGB36,528595.00,142997.00,0.42,Owned by a public authority.,No,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,30,,,30,,,"Policy Hr28 of the Borough Local Plan (2005) retains the car park for parking uses. 
Release of the site would be dependent upon public car parking needs within the town centre.",31/12/17,,HC03
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR056,,"Horley Library, Kings Road, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3877/rbbcblr056,OSGB36,528345.00,143135.00,0.35,Owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,35,,"The site would be most suited to delivering mixed-use community, car parking and residential development.",35,,,"Borough Local Plan (2005) policy Cf1 resists the loss of community buildings or uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality and no other community facility or service can make use of the premises or site. 
Surrey County Council has recently agreed to relocate the library to the former Newman House site. 
The site has been identified in the Regulation 19 Development Management Plan for mixed-use community, car parking and residential development (HOR5).
Land to the rear of the library is partially at risk of surface water flooding.",31/12/17,,HC10
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR057,,"Horley Police Station, Massetts Road, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3874/rbbcblr057,OSGB36,528438.00,142921.00,0.15,Owned by a public authority.,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,20,,,20,,,"Borough Local Plan (2005) policy Cf1 resists the loss of community buildings or uses unless there is no longer a need for them, or adequate alternative provision is to be made elsewhere in the locality and no other community facility or service can make use of the premises or site. 
The site is owned by the Police Crime Commissioner for Surrey. The landowner has indicated that the site is no longer required for operational purposes. The site has been identified in the Regulation 19 Development Management Plan for housing development.",31/12/17,,HC16
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR058,,"T Northeast Ltd. 4 Station Road, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3855/rbbcblr058,OSGB36,528717.00,143204.00,0.04,Not owned by a public authority,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,,The site would be most suited for mixed-use redevelopment including retail and residential.,6,,,"The site lies within an Area for Small Business. 
Borough Local Plan (2005) policy Em6 requires proposals to complement the character of the area. The surrounding area is comprised of retail ground floor uses and residential on upper floors.",31/12/17,,HC27
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR059,,"R/O 43-49 High Street, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3853/rbbcblr059,OSGB36,528605.00,143141.00,0.50,Not owned by a public authority,Yes,Permissioned,Full planning,24/01/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,6,Erection of first and second floor additions to the rear of the existing building to provide six flats.,,,,,,31/12/17,,HC30
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR060,,"Woodside Works, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3860/rbbcblr060,OSGB36,529666.00,142036.00,0.66,Not owned by a public authority,Yes,Not permissioned,,,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,13,,,13,,,"The site, as part of a wider site, has been identified in the Regulation 19 Development Management Plan as a Sustainable Urban Extension (SEH4). 
Upon adoption, its delivery will be subject to phasing policy (MLS1).",31/12/17,,HE16
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR061,,"Sangers House, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3858/rbbcblr061,OSGB36,528373.00,144059.00,0.16,Not owned by a public authority,Yes,Permissioned,Full planning,01/06/2016,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,8,Conversion of existing buildings to provide 8 flats.,,,,,,31/12/17,,HW11
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR062,,"The Gables, 17 Massetts Road, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3858/rbbcblr061,OSGB36,528472.00,144369.00,0.15,Not owned by a public authority,Yes,Permissioned,Prior Approval,12/06/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,25,The development is the change of use of offices to 25 self-contained flats.,,,,,,31/12/17,,HW13
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR063,,"Don Ruffles, 138 Victoria Road, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3863/rbbcblr063,OSGB36,528093.00,143201.00,0.04,Not owned by a public authority,Yes,Permissioned,Full planning,05/08/16,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,To extend existing building with two storey and single storey extension and to convert existing shop/ office building including extension into 5 flats.,,,,,,31/12/17,,HW16
http://opendatacommunities.org/doc/district-council/reigate-banstead,Reigate & Banstead Borough Council,RBBCBLR064,,"1 Yattendon Road, Horley",http://www.reigate-banstead.gov.uk/downloads/file/3862/rbbcblr064,OSGB36,528637.97,143172.40,0.02,Not owned by a public authority,Yes,Permissioned,Full planning,14/09/17,http://planning.reigate-banstead.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,5,Conversion of existing building to form 5 residential self-contained units.,,,,,,31/12/17,,HW20
