OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,DateUpdate,SiteReferenceAlternate,Easting,Northing
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00175,,"""16-18 Manor Road LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00175,ETRS89,-1.5506243,53.789676,0.10,not owned by a public authority,yes,permissioned,full planning permission,13/07/2018,,,57,"Ten storey block of 101 apartments with ground floor residents lounge, cinema room, gym and cycle storage room",,,57,57,,,,11/07/2016,01/02/2019,406,429703,432689
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00176,,"""Dandarra, Sweet Street/Manor Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00176,ETRS89,-1.5491128,53.789086,1.90,mixed ownership,yes,permissioned,full planning permission,02/04/2015,,,744,"Mixed-use, multi-level development comprising the erection of 4 new buildings, with 744 residential apartments, 713sqm of flexible commercial floorspace (A1-A5, B1, D1, D2 use classes), car parking, landscaping and public amenity space",,,744,744,,,,11/07/2016,01/02/2019,407,429803,432624
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00177,,"""Bath Road LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00177,ETRS89,-1.5548334,53.79068,0.99,mixed ownership,yes,not permissioned,,,,,120,,,,120,120,,,,11/07/2016,01/02/2019,409,429425,432799
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00178,,"""Regent St / Skinner Ln LS2""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00178,ETRS89,-1.5334858,53.803497,0.17,not owned by a public authority,yes,not permissioned,,,,,72,,,,72,72,,,,11/07/2016,01/02/2019,410,430822,434234
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00181,,"""Skinner Lane LS9""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00181,ETRS89,-1.5307866,53.803181,0.57,not owned by a public authority,yes,permissioned,full planning permission,18/03/2015,,,14,Conversion of offices to 14 flats with external alterations including new boundary treatment and relocation of existing brick planters,,,14,14,,,,11/07/2016,01/02/2019,414,431000,434200
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00182,,"""High Court LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00182,ETRS89,-1.5369192,53.795061,0.07,not owned by a public authority,yes,permissioned,full planning permission,23/01/2015,,,9,Change of use of offices to nine residential apartments with offices to the basement; including demolition of single storey lean-to roof and addition of extension to first and second floors,,,9,9,,,,11/07/2016,01/02/2019,415,430602,433294
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00185,,"""The Gateway, Marsh Lane LS9""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00185,ETRS89,-1.5324012,53.794531,1.82,mixed ownership,yes,permissioned,full planning permission,25/11/2009,,,96,"Part 10 storey part 18 storey block of 96 student cluster flats with 508 bedrooms, with ground floor wardens flat, 2 retail units, common room, launderette  and 2 refuse stores, basement parking and landscaping.",,,96,96,,,,11/07/2016,01/02/2019,419,430900,433237
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00187,,"""Leylands Road LS2""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00187,ETRS89,-1.5344159,53.80315,0.03,not owned by a public authority,yes,permissioned,full planning permission,14/08/2017,,,35,Nine storey block comprising 35 flats,,,35,35,,,,11/07/2016,01/02/2019,421,430761,434195
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00190,,"""49 Aire Street LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00190,ETRS89,-1.550239,53.795903,0.02,not owned by a public authority,,permissioned,full planning permission,05/06/2017,,,26,"Partial demolition of 17 Wellington Street and total demolition of 49 Aire Street, change of use and seven storey extension with a new basement to remaining building to form restaurant and cafe use (A3) on ground and first floor and 26 apartments",,,26,26,,,,11/07/2016,01/02/2019,426,429724,433382
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00194,,"""38 The Calls LS2""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00194,ETRS89,-1.538411,53.79469,0.03,not owned by a public authority,yes,not permissioned,,,,,14,,,,14,14,,,,11/07/2016,01/02/2019,431,430504,433252
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00196,,"""Globe Road (Doncasters) LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00196,ETRS89,-1.5589582,53.792511,1.85,not owned by a public authority,yes,not permissioned,,,,,609,,,,609,609,,,,11/07/2016,01/02/2019,433,429152,433001
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00199,,"""South Accommodation Road LS9 (adjacent to Low Fold)""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00199,ETRS89,-1.5244488,53.787615,0.55,owned by a public authority,yes,not permissioned,,,,,27,,,,27,27,,,,11/07/2016,01/02/2019,437,431429,432471
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00203,,"""Jayco Ho Skinner Lane LS7""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00203,ETRS89,-1.5345771,53.803672,0.18,not owned by a public authority,yes,permissioned,full planning permission,04/12/2014,,,106,"Proposed mix use development, comprising 106 apartments, B1 Offices, Parking and Amenity Deck",,,106,106,,,,11/07/2016,01/02/2019,443,430750,434253
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00205,,"""City One (Caddick), Manor Road""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00205,ETRS89,-1.5490571,53.787198,2.93,not owned by a public authority,yes,not permissioned,,,,,296,,,,296,296,,,,11/07/2016,01/02/2019,445,429808,432414
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00206,,"""57 Great George Street LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00206,ETRS89,-1.5518853,53.800969,0.02,not owned by a public authority,yes,not permissioned,,,,,7,,,,7,7,,,,11/07/2016,01/02/2019,446,429612,433945
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00207,,"""Doncasters Whitehall Road LS12""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00207,ETRS89,-1.5615283,53.793518,3.49,not owned by a public authority,yes,permissioned,reserved matters approval,06/12/2011,,,463,29 storey block of 194 flats and use of 2 railway arches for commercial purposes,,,463,463,,,,11/07/2016,01/02/2019,447,428982,433112
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00209,,"""7 Duncan Street LS1""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00209,ETRS89,-1.5419016,53.796168,0.04,not owned by a public authority,yes,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,01/02/2019,449,430273,433415
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00210,,"""Globe Road/water Lane LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00210,ETRS89,-1.5548023,53.79219,1.79,not owned by a public authority,,not permissioned,,,,,263,,,,263,263,,,,11/07/2016,01/02/2019,450,429426,432967
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00214,,"""Rear 2-28 The Calls LS2""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00214,ETRS89,-1.5400497,53.794768,0.35,not owned by a public authority,yes,permissioned,full planning permission,24/02/2015,,,77,"Demolition of existing buildings and construction of 77 apartments, and bar/restaurant and office development (Use Classes A3 / A4 / B1) with 2 level basement parking and laying out of public open space",,,77,77,,,,11/07/2016,01/02/2019,456,430396,433260
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00218,,"""Waterloo Sidings, LS9""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00218,ETRS89,-1.4937717,53.794087,7.26,not owned by a public authority,yes,not permissioned,,,,,140,,,,140,140,,,,11/07/2016,01/02/2019,465,433445,433205
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00219,,"""Hunslet Mill, Goodman Street LS10""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00219,ETRS89,-1.5250088,53.785065,2.29,not owned by a public authority,yes,permissioned,other,17/05/2017,,,758,"Change of use, extensions, alterations and new build of warehouse and factory to flats - NON MATERIAL AMENDMENT to 21/100/00/FU - approval of condition 27 (drawings and statement)",,,758,758,,,,11/07/2016,01/02/2019,467,431394,432187
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00224,,"""Shaftesbury House Beeston Road LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00224,ETRS89,-1.5516699,53.781294,0.51,owned by a public authority,yes,permissioned,other,31/08/2010,,,1,"Extension of time application for application number 08/04065/LA , Outline application for residential development",,,1,1,,,,11/07/2016,01/02/2019,476,429640,431756
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00225,,"""Barkly Road LS11""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00225,ETRS89,-1.5615536,53.770697,0.54,not owned by a public authority,,not permissioned,,,,,25,,,,25,25,,,,11/07/2016,01/02/2019,481,428996,430573
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00229,,"""Fall Lane (west) East Ardsley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00229,ETRS89,-1.5246063,53.72798,7.40,not owned by a public authority,yes,permissioned,full planning permission,14/01/2009,,,64,Erection of 15 dwellings (Substitution of 15 house types),,,64,64,,,,11/07/2016,01/02/2019,495,431463,425836
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00240,,"""Main Street Carlton             """,https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00240,ETRS89,-1.4893106,53.74014,0.50,mixed ownership,yes,not permissioned,,,,,15,,,,15,15,,,,11/07/2016,01/02/2019,507,433782,427205
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00242,,"""Lingwell Road, Middleton,  LS10""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00242,ETRS89,-1.5420642,53.746357,4.26,mixed ownership,yes,permissioned,full planning permission,01/10/2012,,,17,"Residential development comprising 128 houses, access roads and public open space",,,17,17,,,,11/07/2016,01/02/2019,509,430298,427873
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00244,,"""Former Bay Horse, Main St, Methley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00244,ETRS89,-1.4005743,53.740007,0.53,not owned by a public authority,yes,permissioned,full planning permission,16/01/2006,,,1,Laying out of access and erection of 22 dwelling houses,,,1,1,,,,11/07/2016,01/02/2019,515,439635,427236
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00247,,"""Pinfold Lane, Wmc, Methley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00247,ETRS89,-1.3935819,53.738121,0.47,not owned by a public authority,yes,not permissioned,,,,,2,,,,2,2,,,,11/07/2016,01/02/2019,523,440098,427030
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00258,,"""Park Mills South St Morley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00258,ETRS89,-1.5951397,53.744363,0.40,not owned by a public authority,yes,not permissioned,,,,,33,,,,33,33,,,,11/07/2016,01/02/2019,547,426799,427630
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00261,,"""Manor House Farm, Baghill Green Wa""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00261,ETRS89,-1.5840583,53.719536,0.63,not owned by a public authority,yes,permissioned,reserved matters approval,06/02/2007,,,4,6 detached houses,,,4,4,,,,11/07/2016,01/02/2019,551,427546,424872
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00265,,"""Albert Road Morley (Mone Bros Plant Hire Yard)""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00265,ETRS89,-1.5922356,53.748335,0.80,not owned by a public authority,yes,not permissioned,,,,,40,,,,40,40,,,,11/07/2016,01/02/2019,563,426988,428073
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00271,,"""Cliff House Fawcett Lane LS12""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00271,ETRS89,-1.6003134,53.785582,1.34,mixed ownership,yes,permissioned,full planning permission,28/06/2017,,,7,Seven houses with car parking and landscaping,,,7,7,,,,11/07/2016,01/02/2019,595,426432,432214
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00273,,"""Pollard Lane LS13""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00273,ETRS89,-1.6385332,53.825853,2.22,not owned by a public authority,yes,permissioned,full planning permission,23/12/2014,,,136,Erection of 59 dwellings and associated works,,,136,136,,,,11/07/2016,01/02/2019,602,423891,436681
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00275,,"""Elder Road/Swinnow Road LS13""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00275,ETRS89,-1.6354149,53.805297,0.83,not owned by a public authority,yes,not permissioned,,,,,25,,,,25,25,,,,11/07/2016,01/02/2019,613,424108,434395
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00277,,"""214-244 Cardigan Road LS4""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00277,ETRS89,-1.5754216,53.808227,0.57,not owned by a public authority,yes,permissioned,full planning permission,16/08/2010,,,22,"Part 4, 5 and 6 storey block comprising 65 student cluster flats, with 154 bed spaces, car parking and landscaping",,,22,22,,,,11/07/2016,01/02/2019,620,428057,434743
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00278,,"""Canal Wharf Wyther Lane LS5""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00278,ETRS89,-1.6082207,53.813309,1.12,not owned by a public authority,yes,permissioned,full planning permission,17/04/2018,,,64,Demolition of existing industrial & manufacturing units and erection of 51 new residential dwellings,,,64,64,,,,11/07/2016,01/02/2019,625,425894,435296
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00279,,"""Kirkstall Forge
Abbey Road
Kirkstall
Leeds
Kirkstall Forge, Abbey Road, Kirkstall, LS5 3NF""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00279,ETRS89,-1.6250286,53.825739,17.82,not owned by a public authority,yes,permissioned,reserved matters approval,17/11/2017,,,1385,"Reserved matters approval comprising 112 houses and apartments (Use Class C3), circa 2,925 square metres of commercial space, (Use Classes A1, and/or A2, and/or A3, and/or A4, and/or A5, and/or B1, and/or D1 and/or D2), amenity space and a new public square to form Phase 2 of the Kirkstall Forge Development (Plots E and F)'",,,1385,1385,,,,11/07/2016,01/02/2019,626,424780,436673
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00280,,"""Westfield Mill Broad Lane LS13""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00280,ETRS89,-1.6464443,53.810057,1.99,not owned by a public authority,yes,not permissioned,,,,,133,,,,133,133,,,,11/07/2016,01/02/2019,636,423379,434921
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00281,,"""Royds Lane, Wortley,  LS12""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00281,ETRS89,-1.5908939,53.777192,5.34,not owned by a public authority,yes,permissioned,reserved matters approval,19/09/2014,,,52,Reserved Matters application for 154 dwellings,,,52,52,,,,11/07/2016,01/02/2019,637,427058,431284
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00283,,"""Berry Mount Wood Lane LS12""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00283,ETRS89,-1.6276509,53.795539,0.61,not owned by a public authority,yes,not permissioned,,,,,12,,,,12,12,,,,11/07/2016,01/02/2019,644,424625,433312
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00303,,"""83-105 Bradford Road Stanningley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00303,ETRS89,-1.6739857,53.805012,1.17,not owned by a public authority,,not permissioned,,,,,78,,,,78,78,,,,11/07/2016,01/02/2019,678,421568,434351
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00306,,"""Eastmoor Tile Lane, Adel, LS16""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00306,ETRS89,-1.5731989,53.852144,5.60,mixed ownership,yes,not permissioned,,,,,67,,,,67,67,,,,11/07/2016,01/02/2019,685,428174,439630
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00307,,"""Dunstarn Lane, Adel, LS 16""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00307,ETRS89,-1.5784222,53.845179,2.74,not owned by a public authority,yes,permissioned,full planning permission,06/10/2017,,,28,"Construction of 42 houses with associated access, parking, landscaping and public open space including demolition of two houses",,,28,28,,,,11/07/2016,01/02/2019,687,427835,438853
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00320,,"""Cromptons, Netherfield Rd, Guiseley""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00320,ETRS89,-1.7165611,53.879576,5.43,not owned by a public authority,yes,permissioned,full planning permission,27/03/2012,,,1,Erection of 74 dwelling houses with public open space,,,1,1,,,,11/07/2016,01/02/2019,738,418731,442635
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00333,,"""The Mansion, Woodlea Drive, LS6""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00333,ETRS89,-1.566783,53.838971,1.00,not owned by a public authority,yes,permissioned,full planning permission,26/04/2006,,,17,Change of use involving alterations of former hospital building to 25 apartments and erection of 24 residential units,,,17,17,,,,11/07/2016,01/02/2019,764,428605,438167
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00336,,"""Bramham House, Bowcliffe Road, Bramham""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00336,ETRS89,-1.3535226,53.878683,2.11,owned by a public authority,yes,not permissioned,,,,,30,,,,30,30,,,,11/07/2016,01/02/2019,778,442598,442692
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00342,,"""Linton Springs Sicklinghall Rd, Linton""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00342,ETRS89,-1.4259121,53.928718,0.54,not owned by a public authority,yes,permissioned,full planning permission,12/03/2014,,,7,"Change of use of offices to form four houses and four flats, including extensions and alterations, erection of garage block, alterations to access and internal road layout",,,7,7,,,,11/07/2016,01/02/2019,787,437794,448218
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00350,,"""Whinmoor Way (pfi C) LS14""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00350,ETRS89,-1.4412113,53.820755,4.75,not owned by a public authority,yes,permissioned,full planning permission,09/11/2009,,,7,Substitution of five 2 bedroom houses for previously approved  block of six 2 bedroom apartments,,,7,7,,,,11/07/2016,01/02/2019,799,436884,436198
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00351,,"""Swarcliffe Avenue (pfi E) LS14""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00351,ETRS89,-1.4426316,53.822478,0.50,owned by a public authority,yes,permissioned,full planning permission,13/12/2013,,,7,Erection of 8 dwellings,,,7,7,,,,11/07/2016,01/02/2019,802,436789,436389
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00357,,"""Oak Tree Mount, Gipton, LS9""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00357,ETRS89,-1.4937916,53.812612,2.25,owned by a public authority,yes,permissioned,full planning permission,16/12/2015,,,4,79 dwellings with associated infrastructure,,,4,4,,,,11/07/2016,01/02/2019,814,433429,435266
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00358,,"""South Parkway (easel) LS 14""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00358,ETRS89,-1.4663382,53.815791,4.08,not owned by a public authority,yes,permissioned,full planning permission,20/11/2013,,,9,10 houses with associated parking and landscaping,,,9,9,,,,11/07/2016,01/02/2019,815,435234,435633
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00360,,"""Amberton Terrace, Gipton,  LS8""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00360,ETRS89,-1.4943318,53.819463,1.84,owned by a public authority,,not permissioned,,,,,57,,,,57,57,,,,01/02/2019,01/02/2019,817,433388,436028
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00361,,"""Station Road, Allerton Bywater""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00361,ETRS89,-1.3632321,53.745046,14.72,mixed ownership,yes,not permissioned,,,,,57,,,,57,57,,,,11/07/2016,01/02/2019,818,442093,427818
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00373,,"""Barleyhill Road Garforth""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00373,ETRS89,-1.3921861,53.791782,0.75,mixed ownership,yes,permissioned,full planning permission,22/05/2012,,,13,Alterations to plots 1 - 6 and erection of 24 houses,,,13,13,,,,11/07/2016,01/02/2019,836,440139,433001
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00374,,"""Oak Tree Drive, Gipton""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00374,ETRS89,-1.4966546,53.814493,3.46,not owned by a public authority,yes,permissioned,full planning permission,27/03/2008,,,18,249 new dwelling houses and associated access works,,,18,18,,,,11/07/2016,01/02/2019,841,433239,435474
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00377,,"""Mansion House Mansion Gate Drive LS7""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00377,ETRS89,-1.5297936,53.825449,0.61,not owned by a public authority,yes,permissioned,full planning permission,16/12/2015,,,18,Part demolition and extensions to Mansion House to form three houses and three flats with car parking and erection of 12No. new-build houses with garages and car parking,,,18,18,,,,11/07/2016,01/02/2019,845,431049,436678
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00378,,"""Killingbeck Hospital  C LS14""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00378,ETRS89,-1.4786879,53.808323,10.43,not owned by a public authority,yes,permissioned,full planning permission,07/08/2006,,,1,Substitution of house and flats types to 67 plots to residential development. (51 houses and 15 flats proposed),,,1,1,,,,11/07/2016,01/02/2019,846,434427,434796
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00389,,"""Baker House, Bridge Street, Leeds, LS2 7qz""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00389,ETRS89,-1.536355,53.800794,0.20,not owned by a public authority,,not permissioned,,,,,63,,,,63,63,,,,11/07/2016,01/02/2019,1010,430635,433932
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL00411,,"""Government Buildings , Otley Road, LS16 5pu""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL00411,ETRS89,-1.5897892,53.846917,4.70,not owned by a public authority,yes,permissioned,reserved matters approval,04/04/2016,,,84,Reserved Matters application for residential development,,,84,84,,,,11/07/2016,01/02/2019,1033,427086,439042
http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds City Council,SHL01202,,"""Thorpe Hill Farm, Lingwell Gate Lane, Thorpe""",https://leedscc.maps.arcgis.com/apps/webappviewer/index.html?id=612532561dc547fa93e683a5fca73079&find=SHL01202,ETRS89,-1.5238174,53.736102,2.17,not owned by a public authority,yes,not permissioned,,,,,62,,,,62,62,,,,19/12/2017,01/02/2019,4004,431509,426740
