OrganisationURI,OrganisationLabel,Site Reference,Last Updated Date,Previously Part Of,Site Name Address,Ward,Source,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed for PiP,Min Net Dwellings,Residential Development Description,Non Housing Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR53,,,"First Floor 155-159 High Street Orpington, BR6 0LN",Orpington,LP Housing Trajectory/WS/LDD/PP,Link to the  Map of 155 159 High Street Orpington associated with Full planning permission 15/01690/FULL3,ETRS89,51.37739114,0.100942556,0.1,Not owned by a public authority,Yes,Permissioned,Full Planning Permission,2015-09-03,Link to Planning Application 15/01690/FULL3 for First Floor 155-159 High Street Orpington,,9,"Proposed second floor extension above existing building and first/second floor rear extension and part conversion of upper floors from office (B1) to 9 x residential flats (4 x one bedroom, 2 x two bedroom, 2 x three bedroom and 1 x four bedroom) and alterations to front elevations (153-159 High Street Orpington) .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR55,,,"First Floor, 50-52 The Walnuts,  BR6 0TW",Orpington,WS/LDD/PP,Link to the map of 50-52 The Walnuts Orpington associated with Full planning permission 16/03878/FULL1,ETRS89,51.37684101,0.100529389,0.041,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2017-05-12,Link to Full Planning Permission 16/03878/FULL1 for 50 - 52 The Walnuts Orpington,,9,Proposed change of use from office accommodation (Class B1)  first floor level to provide 3 x 1 bed flats; a two-storey extension above the existing building to provide 6 x 2 bed duplex units; a single-storey extension to the rear of no. 42 The Walnuts; and associated internal alterations to the building to facilitate the development.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR59,,,"2 Crampton Road,  SE20 7AT",Penge and Cator,WS/LDD/PP,Link to the map of for 2 Crampton Road Penge associated with Full planning permission 16/00377/FULL1,ETRS89,51.41807873,-0.058907638,0.073,Unknown Ownership,Yes,Permissioned,Full Planning Permission,2017-01-12,Link to Full Planning Permission 16/00377/FULL1 for 2 Crampton Road Penge,,6,"Proposed demolition of existing buildings and construction of a three storey building comprising 1 one bedroom, 4 two bedroom, 1 three bedroom apartments.","Part of a mixed use development which also includes 2 ground floor commercial units (Use Class B1), external car parking, landscaping, bicycle parking and refuse/ recycling store.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR60,,,"44 Westmoreland Road
Bromley
BR2 0QS",Shortlands,WS/LDD/PP,link to map of 44 Westmoreland Road Bromley associated with Full Planning permission 17/02524/FULL1,ETRS89,"51.397435,",0.012417,0.051,Unknown Ownership,yes,Permissioned,Full,2017-08-17,link to full planning application 17/02524/FULL1 at 44 Westmoreland Road,,6,"Proposal for a two storey rear extension, roof alterations and construction of side dormer extension, together with conversion of building to provide 6 flats, comprising 1 one bedroom and 5 two bedroom flats.","Car parking to front, bin stores, cycle stores, amenity space and associated landscaping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR61,,,"136 Main Road
Biggin Hill 
TN16 3BA",Biggin Hill,WS/LDD/PP,Link to the map of 136 Main Road Biggin Hill associated with the full planning permission 17/02291/FULL1,ETRS89,51.310677,0.035295,0.100,Unknown Ownership,yes,Permissioned,Full,2017-09-05,Link to full planning application 17/02291/FULL1 at 136 Main Road Biggin Hill,,7,"Demolition of existing building and erection of part two/three storey building comprising 2 Class A1 retail units on ground floor and 1 two bedroom and 6 one bedroom flats on first and second floors, with front and rear balconies.","9 car parking spaces, amendments to access road, provision of refuse and cycle stores, and landscaping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR62,,,"173-175 High Street 
Orpington
BR6 0LW",Orpington,WS/LDD/PP,Link to the map of 173-175 High Street Orpington associated with full planning permission 17/02330/FULL1,ETRS89,51.377043,0.100462,0.014,Unknown Ownership,yes,Permissioned,Full,2017-09-05,link to full planning application ref 17/02330/FULL1 at 173-175 High Street Orpington,,8,"Demolition of existing building, and erection of a 4 storey building with retail on ground floor, with 8 residential units above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR63,,,"36 Great Elms Road 
Bromley
BR2 9NF",Bromley Town,WS/LDD/PP,Link to the map of 36 Great Elms Road associated with full planning permission 17/01322/FULL1,ETRS89,51.396089,0.028754,0.038,Unknown Ownership,yes,Permissioned,Full,2017-09-07,link to full planning application 17/03122/FULL1 at 36 Great Elms Road,,5,Proposal for the construction of a two storey block with accommodation in roof comprising 5 x one bedroom flats.,"Parking, cycle and refuse stores and landscaping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR64,,,"56a Foxgrove Road
Beckenham
BR3 5DB",Copers Cope,WS/LDD/PP,Link to the map of 56a Foxgrove Road associated with outline planning permission 17/00624/OUT,ETRS89,51.411984,-0.011001,0.260,Unknown Ownership,yes,Permissioned,Outline,2017-09-28,Link to outline planning application 17/00624/OUT at 56a Foxgrove Road,,18,Proposed demolition of existing block of 6 flats and garage block and construction of three/four storey block of 18 flats (OUTLINE APPLICATION),Car parking and landscaping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR65,,,"Alan Hills Motors 
Alma Place
Anerley
London",Crystal Palace,WS/LDD/PP,"Link to the map of Alan Hills Motors, Alma Place, associated with full planning permission 17/02876/FULL1",ETRS89,51.417353,-0.080479,0.170,Unknown Ownership,yes,Permissioned,Full,2017-11-13,Link to full planning application 17/02876/FULL1 at Alma Place,,6,"Proposed demolition of existing structures and the construction of six dwellings,","Proposal for commercial floorspace, private and communal amenity areas, car parking, refuse and cycle storage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR66,,,"286-290 High Street 
Orpington
BR6 0LU",Orpington,WS/LDD/PP,Link to the map of 286-290 High Street Orpington associated with full planning permission 17/04642/FULL1,ETRS89,51.374971,0.098524,0.100,Unknown Ownership,yes,Permissioned,Full,2017-12-04,Link to full planning application 17/04642/FULL1 at 286-290 High Street Orpington,,5,Proposed reconfiguration of existing flats; erection of rear extension and mansard roof extension to provide 5no. additional apartments and associated works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR67,,,"Heatherwood, 
33 Station Road
Orpington",ORPINGTON,WS/LDD/PP,"Link to map of Heatherwood, 33 Station Road, Orpington associated with full planning permission 17/04378/FULL1",ETRS89,51.372091,0.09364,0.060,Unknown Ownership,yes,Permissioned,Full,2018-01-04,"Link to full planning application 17/04378/FULL1 at Heatherwood, 33 Station Road",,5,Demolition of existing Care Home and erection of detached three storey building comprising 1 two bedroom flat and 4 one bedroom flats,"5 car parking spaces, 1 motorcycle space, cycle and refuse stores,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR68,,,"Warren Farm, 
Berrys Green Road,
Westerham",DARWIN,WS/LDD/PP,Link to the map of Warren Farm Berrys Green Road associated with full planning permission 17/01895/FULL1,ETRS89,51.310981,0.061251,0.740,Unknown Ownership,yes,Permissioned,Full,2018-01-04,Link to full planning application 17/01895/FULL1 at Warren Farm,,7,Proposal for the demolition of all existing buildings and erection of seven detached dwellings.,Reconfigured access road and dedicated parking spaces.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR69,,,"115 High Street
Beckenham
BR3 1AG",COPERS COPE,WS/LDD/PP,Link to the map of 115 High Street Beckenham associated with full planning permission 17/05068/FULL1,ETRS89,51.406987,-0.027787,0.065,Unknown Ownership,yes,Permissioned,Full,2018-01-12,Link to full planning application 17/05068/FULL1 at 115 High Street Beckenham,,12,"proposed reconfiguration of first and second floors, conversion of loft space to form 12 units (5x1bed and 7x2 bed) (4 additional units), part 3/4 storey rear extension, alterations and extensions to the roof, elevational alterations",Refuse and cycle stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR70,,,"19 Anerley Road
Penge
London
SE19 2AS",CRYSTAL PALACE,WS/LDD/PP,Link to the map of 19 Anerley Road associated with full planning permission 17/04076/FULL1,ETRS89,51.417067,-0.07313,0.022,Unknown Ownership,yes,Permissioned,Full,2018-01-30,Link to full planning application 17/04076/FULL1 at 19 Anerley Road,,9,"Proposed demolition of Nos. 19 & 21 Anerley Road and construction of a new build replacement 3 storey building with basement and mansard roof over both properties, rear balconies to ground, first and second floors and roof terrace to mansard to create  9 units (5 x 1-bed and 4 x 2-bed)",Associated refuse and cycle stores.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR71,,,"112 Beckenham Road
Beckenham
BR3 4RH",PENGE AND CATOR,WS/LDD/PP,Link to the map of 112 Beckenham Road associated with full planning permission 17/05279/FULL1,ETRS89,51.40964,-0.042691,0.030,Unknown Ownership,yes,Permissioned,Full,2018-02-14,Link to full planning application 17/05279/FULL1 at 112 Beckenham Road,,6,Proposal for the construction of a three storey building with additional mansard roofspace accommodation comprising 2 two bedroom flats and 4 one bedroom flats,"Associated parking spaces, cycle storage and refuse storage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR72,,,"Hollywood House
1 Station Road
Penge
London",PENGE AND CATOR,WS/LDD/PP,"Link to the map of Hollywood House, 1 Station Road associated with full planning permission 17/05864/FULL1",ETRS89,51.419417,-0.055548,0.023,Unknown Ownership,yes,Permissioned,Full,2018-02-26,"Link to full planning application 17/05864/FULL1 at Hollywood House Station Road, Penge",,7,"Proposed change of use of existing Public House (Use Class A4) to 2 one bedroom, 4 two bedroom and 1 three bedroom flats (Use Class C3) together with construction of a mansard roof extension, a first floor and second floor rear extension, front light well, additional fenestration openings in rear elevation, roof terraces",Proposal for associated refuse and cycle parking facilities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR73,,,"16 St John's Road
Penge
London
SE20 7ED",PENGE AND CATOR,WS/LDD/PP,"Link to the map of 16 St John's Road, Penge, associated with full planning permission 17/05514/FULL1",ETRS89,51.41813,-0.054176,0.047,Unknown Ownership,yes,Permissioned,Full,2018-03-16,Link to full planning application 17/05514/FULL at 16 St John's Road,,6,"Proposal for the conversion of existing dwelling into 2 one bedroom, 1 two bedroom flats and erection of attached new build comprising 3 one bedroom flats.","Provision for parking, amenity space, refuse and cycle storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR74,,,"Land At Junction With South Eden Park Road And
Bucknall Way
Beckenham",KELSEY AND EDEN PARK,WS/LDD/PP,Link to the map of Land at Junction with South Eden Park Road and Bucknall Way associated with outline planning permission 17/00757/OUT,ETRS89,51.397669,-0.018818,1.620,Unknown Ownership,yes,Permissioned,Outline,2018-03-22,Link to outline planning application 17/00757/OUT at Land at Junction with South Eden Park Road and Bucknall Way,,67,Proposal for residential development comprising 15 four storey townhouses and 52 apartments in three and four storey blocks to provide a total of 67 residential units  (OUTLINE APPLICATION).,Proposal for concierges office and basement car parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR75,,,"Land At Junction With South Eden Park Road And
Bucknall Way
Beckenham",KELSEY AND EDEN PARK,WS/LDD/PP,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O82VDCBTG4M00,ETRS89,51.397669,-0.018818,1.620,Unknown ownership,yes,Permissioned,outline,2018-03-22,Link to outline planning permission 16/02613/OUT for land at junction of South Eden Park Road and Bucknall Way,,105,"Residential development comprising of 105 units with a mixture of 4 bedroom houses and one, two and three bedroom apartments  (OUTLINE APPLICATION)",Proposal for concierges office and basement car parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR76,,,"100 High Street
Orpington
BR6 0JY",PETTS WOOD AND KNOLL,WS/LDD/PP,Link to the map of 100 High Street Orpington associated with full planning permission 18/01242/FULL1,ETRS89,51.379493,0.102473,0.060,Unknown Ownership,yes,Permissioned,Full,2018-05-17,Link to full planning application 18/01242/FULL1 at 100 High Street Orpington,,7,"Second and third floor and roof rear extensions, rear balcony, front dormers and elevational and internal alterations of the existing terrace containing 5 residential units to provide 2x one bedroom flats 4x two bedroom flats and 1x three bedroom flat, within the upper floors of Nos. 96, 98 and 100 High Street, Orpington with green roofs to flat roofs areas, alterations to site layout, landscaping, bin store and parking provision and alterations to shop fronts.",Parking provision and alterations to shop fronts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR77,,,"8 Page Heath Lane
Bickley
Bromley
BR1 2DS",BICKLEY,WS/LDD/PP,Link to the map of 8 Page Heath Lane Bickley associated with full planning permission 18/01783/FULL1,ETRS89,51.400742,0.037514,0.044,Unknown Ownership,yes,Permissioned,Full,2018-05-31,Link to full planning application 18/01783FULL1 at 8 Page Heath Lane,,6,"Proposal for the demolition of existing attached garage, erection of two storey side/rear extension and conversion to form 6 flats (5 X 2 bedroom apartments and 1 X studio apartment)","Associated car parking spaces, elevational alterations, landscaping and associated works.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR78,,,"255 Elmers End Road
Beckenham
BR3 4EJ",CLOCK HOUSE,WS/LDD/PP,Link to the map of 255 Elmers End Road associated with full planning permission 18/00717/FULL1,ETRS89,51.399923,-0.050729,0.060,Unknown Ownership,yes,Permissioned,Full,2018-06-04,Link to full planning application 18/00717/FULL1 at 255 Elmers End Road,,7,"Proposal for the demolition of the existing dwellinghouse and the erection of a replacement building to provide 7 flats (2 x studio, 4 one bedroom and 1 two bedroom) together with bin and cycle storage,",Hard and soft landscaping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR79,,,"Barn Hawe 
Church Hill
Orpington
BR6 0HE",ORPINGTON,WS/LDD/PP,Link to the map of Barne Hawe Church Hill Orpington associated with full planning permission 18/00967/FULL1,ETRS89,51.378837,0.102788,0.100,Unknown Ownership,yes,Permissioned,Full,2018-06-15,"Link to full planning application 18/00967/FULL1 at Barne Hawe, Church Hill",,6,"Proposal for single storey and roof extensions, elevational alterations and conversion of ground floor office unit (Class B1) and ancillary residential use on first and second floors, to form 3 two bedroom and 3 one bedroom self-contained flats,","Associated parking, landscaping and refuse and cycle stores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR80,,,"46 Crystal Palace Park Road
Sydenham
London
SE26 6UG",CRYSTAL PALACE,WS/LDD/PP,Link to the map of 46 Crystal Palace Park Road associated with full planning permission 18/01228/FULL1,ETRS89,51.422365,-0.062197,0.068,Unknown Ownership,yes,Permissioned,Full,2018-06-18,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P5N4TFBT0RD00,,6,"Proposal for the demolition of the existing dwelling and the erection of a three storey building comprising 2 x studios, 5 x one bedroom and 1 x two bedroom flats","Associated car parking, landscaping and refuse store.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR81,,,"156 - 158 Main Road
Biggin Hill
TN16 3BA",BIGGIN HILL,WS/LDD/PP,Link to the map of 156-158 Main Road Biggin Hill associated with full planning permission 18/01234/FULL1,ETRS89,51.309954,0.036271,0.080,Unknown Ownership,yes,Permissioned,Full,2018-07-05,Link to full planning application 18/01234/FULL1 at 156-158 Main Road Biggin Hill,,7,"Proposal for 1 three bedroom and 6 two bedrooms flats on first, second and third floors with front and rear balconies","Proposal for the demolition of existing building and construction of detached part three/four storey building comprising 2 retail units on ground floor.
associated car parking, cycle store and refuse stores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR82,,,"Maybrey Business Park
Worsley Bridge Road
London
SE26 5AZ",COPERS COPE,WS/LDD/PP,Link to the map of Maybrey Business Park associated with full planning permission 16/05987/FULL1,ETRS89,51.423602,-0.031674,0.600,Unknown Ownership,yes,Permissioned,Full,2018-07-16,Link to full planning application 16/05897/FULL1 at Maybrey Business Park,,159,Proposed demolition of existing buildings and comprehensive redevelopment of the site to provide new buildings ranging from five to nine storeys in height comprising 159 residential units (Use Class C3),"Proposal for 1,0990 sq m commercial floorspace (Use Class B1a-c),  residents gym (Use Class D2), together with associated car and cycle parking, landscaping and infrastructure works.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR83,,,"15 Bromley Common
Bromley
BR2 9LS",BROMLEY TOWN,WS/LDD/PP,Link to the map of 15 Bromley Common associated with full planning permission 18/01946/FULL1,ETRS89,51.395044,0.027099,0.059,Unknown Ownership,yes,Permissioned,Full,2018-07-20,Link to full planning application 18/01946/FULL1 at 15 Bromley Common,,9,"Proposal for the construction of a two storey plus basement rear extension to the existing building and conversion of the roof space of the existing building to create 9 additional flats comprising 4x one bedroom, 4x two bedroom and 1x four bedroom flats in connection with revised flat layouts in the existing section of the building.","Provision of front parking with in/out access, amenity space, refuse and cycle storage and associated landscaping.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR84,,,"129 High Street
Penge
London
SE20 7DS",PENGE AND CATOR,WS/LDD/PP,Link to the map of 129 High Street Penge associated with full planning permission 18/02481/FULL1,ETRS89,51.415151,-0.052497,0.018,Unknown Ownership,yes,Permissioned,Full,2018-07-25,Link to full planning application 18/02481/FULL1 at 129 High Street Penge,,6,"Proposal for the demolition of first floor ancillary space above retail units and replacement with two storey plus roof space upwards extension and part one/two storey rear extension at first/second floor level comprising retention of shop units at numbers 129, 131 and 133 High Street, Penge together with 5 x 2 bedroom residential units and 1 x 3 bedroom residential unit. Alterations to front facade and rear access stairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR85,,,"County House
241 Beckenham Road
Beckenham
BR3 4FD",CLOCK HOUSE,WS/LDD/PP,"Link to the map of County House, 241 Beckenham Rad associated with full planning permission 18/01890/FULL1",ETRS89,51.40947,-0.044742,0.218,Unknown Ownership,yes,Permissioned,Full,2018-08-09,"Link to full planning application 18/01890/FULL1 at County House, 241 Beckenham Road",,7,Proposed roof top extension to provide seven flats (2 no. two bedroom and 5 no. one bedroom).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR86,,,"67 Bromley Road
Beckenham
BR3 5PA",COPERS COPE,WS/LDD/PP,Link to the map of 67 Bromley Road Beckenham associated with full planning permission 18/02102/FULL1,ETRS89,51.406957,-0.010564,0.133,Unknown Ownership,yes,Permissioned,Full,2018-08-10,Link to full planning application 18/02012/FULL1 at 67 Bromley Road,,7,"Proposed elevational alterations and part one/two storey side and two storey rear extension and conversion of dwelling to 7 no. self-contained flats (3 no. one bedroom, 3 no. two bedroom and 1 no. three bedroom),","Associated car parking, refuse and cycle storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR87,,,"Land Adjacent To Bromley College
London Road
Bromley",BROMLEY TOWN,WS/LDD/PP,"Link to the map of land adjacent to Bromley College, London Road, associated with full planning permission 17/05084/FULL1",ETRS89,51.408852,0.011889,0.300,Unknown Ownership,yes,Permissioned,Full,2018-09-25,Link to full planning application 17/05084/FULL1 at Land adjacent to Bromley College,,24,"Proposed construction of three, three storey buildings to provide 24, 2 bed flats",Associated parking and landscaping.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/london-borough-council/bromley,London Borough of Bromley,BLR88,,,"Tahoma Lodge 
70 Lubbock Road
Chislehurst
BR7 5JX",CHISLEHURST,WS/LDD/PP,"Link to the map of Tahmoa Lodge, 70 Lubbock Road associated with full planning permission 18/02745/FULL1",ETRS89,51.408983,0.05874,0.180,Unknown Ownership,yes,Permissioned,Full,2018-10-11,"Link to full planning application 18/02745/FULL1 at Tahoma Lodge, 70 Lubbock Road",,5,"Proposal for the conversion of two flats on the first and second floor into 5 flats (3 x one bedroom, 2 x two bedroom), insertion of two velux windows, removal of existing roof extension and replacement with larger roof extension,",Alterations to parking area and creation of additional vehicle crossover.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
