OrganisationURI,SiteReference,SiteNameAddress,GeoY,GeoX,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,Part2,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate,PA1Status,PA2MapNumber
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP001,329 Baring Road and Haywood House,51.42984,0.021736,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.07,not owned by a public authority,permissioned,full planning permission,12/01/2018,,yes,7,7,,,17/100225 Prior approval for residential development including 6 self-contained flats and 17/104065 for one x 2 bedroom self-contained flat,30/11/2017,21/10/2019,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP002,Garages at 55-88 Castleton Road,51.42676,0.037523,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.14,not owned by a public authority,permissioned,full planning permission,26/06/2017,,yes,5,5,,,16/098887 for residential development including 5 x three bedroom terrace houses,30/11/2017,,,Approved site,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP003,77 Burnt Ash Hill,51.44596,0.015687,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.06,not owned by a public authority,not permissioned,,,,,5,,,,"""Lapsed 10/75510 for residential development including 3x one bedroom and 1 x four bedroom self-contained flats, 1 x one bedroom and 1 x two bedroom self-contained maisonettes""",30/11/2017,22/10/2018,,Lapsed,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP004,79 Chinbrook Road,51.43195,0.028527,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.12,not owned by a public authority,permissioned,full planning permission,16/10/2017,,yes,6,6,,,"""17/100156 for residential development including 2 x one bedroom, 2 x two bedroom and 2 x three bedroom residential units""",22/10/2018,21/10/2019,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP005,367 Baring Road,51.428355,0.022239,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.22,not owned by a public authority,permissioned,full planning permission,14/03/2019,,yes,7,7,,,19/110430 for residential development including 8 x houses,21/10/2019,,,Approved site,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP006,81 Chinbrook Road,51.43195,0.028771,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.1,not owned by a public authority,permissioned,full planning permission,24/10/2018,,yes,4,4,,,18/105769 for residential development including 3 x 2 bedroom and 2 x 3 bedroom flats,21/10/2019,,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP007,77 Chinbrook Road,51.431961,0.028317,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.05,not owned by a public authority,permissioned,full planning permission,24/08/2018,,yes,7,7,,,18/107324 for 7 x non-self contained hostel bedrooms,21/10/2019,,,Approved site,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,GP008,94 Chinbrook Road,51.431414,0.028725,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,full planning permission,20/07/2016,,yes,4,4,,,"""15/094889 for residential development including 1 x three bed, 1 x two bed and 3  x one bed flats""",21/10/2019,,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC001,Lewisham Gateway,51.46438,-0.0122,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,5.53,mixed ownership,permissioned,other,22/02/2019,,yes,"1,011","1,011",,,"""06/62375 outline approved 2009-05-08, 14/089233 reserved matters approved 2014-12-11,  s73 Minor Material Amendment 18/105218 approved 2018-11-29 and 18/109819 reserved matters approved 2019-02-22 for 530 units plus 119 co-living units, units already completed: Phase 1a 193 units and phase 1b 169 units, up to 97,545 m2 of retail (A1, A2, A3, A4 and A5), offices (B1), co-working business space (B1), hotel (C1), education/health (D1) and leisure (D2)""",30/11/2017,21/10/2019,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC002,"""Lewisham House, 25 Molesworth Street (Citibank)""",51.46289,-0.01209,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.1,not owned by a public authority,not permissioned,,,,,237,,,,Lapsed 15/092471 Prior approval for residential development including 237 units.,30/11/2017,22/10/2018,,Lapsed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC004,Rear of Chiddingstone House,51.45402,-0.01235,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.55,owned by a public authority,permissioned,other,26/01/2017,,yes,53,53,,,16/099284 s73 minor mterial amendment for residential development including 46 x one bedroom and 5 x two bedroom flats plus amendment to provide 2 additional units,30/11/2017,22/10/2018,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC005,223-225 Lewisham High Street,51.45842,-0.01216,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.07,not owned by a public authority,permissioned,full planning permission,25/03/2015,,yes,22,22,,,"""13/085398 for mixed use development including 22 flats, 195m2 commercial""",30/11/2017,21/10/2019,,Lapsed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC006,37-43 Nightingale Grove (remainder of site),51.45192,-0.00196,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.22,not owned by a public authority,not permissioned,,,,,30,,,,"""Site Allocation SA35 for mixed use development including 30 residential units, commercial and nursery""",30/11/2017,,,Site Allocation,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC008,35 Nightingale Grove,51.45229,-0.00229,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,permissioned,full planning permission,21/07/2014,,yes,8,8,,,"""13/084806 for mixed use development including 7 x one bedroom and 1 x two bedroom self-contained flats, MOT testing centre""",30/11/2017,22/10/2018,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC009,"""323 Lewisham High Street, Ravensbourne Arms""",51.45544,-0.01502,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,24/08/2015,,yes,7,7,,,14/088176 for residential development including 5 x one bedroom and 2 x  two bedroom self-contained flats,30/11/2017,21/10/2019,,Lapsed,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC012,Rear of 101-103 Springbank Road,51.44879,0.001719,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.09,not owned by a public authority,permissioned,full planning permission,20/08/2015,,yes,6,6,,,14/090373 for residential development including 6 x two bedroom houses.,30/11/2017,,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC014,Robert Square Bonfield Road,51.46009,-0.008621,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.26,not owned by a public authority,permissioned,full planning permission,26/08/2016,,yes,3,3,,,16/097298 for residential development including 3 x one bedroom flats,30/11/2017,,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC015,"""Lewisham Retail Park, east of Jerrard Street""",51.46512,-0.01547,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1.04,not owned by a public authority,permissioned,full planning permission,28/03/2019,,yes,529,529,,,"""16/097629 for mixed use development including 536 residential units, 4,343m2 of retail (A1, A2, A3), business (B1) and community (D1 and D2)""",30/11/2017,21/10/2019,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC016,"""Tesco, Conington Road""",51.466615,-0.013109,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,2.63,not owned by a public authority,pending decision,full planning permission,,,yes,"1,115",,,,"""Site Allocation LTC5 for mixed use development including 367 residential units, retail  expansion  of  the  existing  store up to 3,000 m2""",30/11/2017,22/10/2018,,Site Allocation,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC017,"""Carpet Right, east of Thurston Road""",51.46485,-0.01407,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.28,not owned by a public authority,permissioned,full planning permission,29/03/2019,,yes,242,242,,,"""17/102049 for mixed use development including 242 residential units, 960m2 of ground floor (A1) Shops, (A2) Financial & Professional Services, (A3) Restaurants & Cafes, (B1) Business, (D1) Non-residential Institutions and (D2) Assembly & Leisure uses""",30/11/2017,21/10/2019,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC018,"""PLACE/Ladywell, former Ladywell Leisure Centre (remainder of site)""",51.45635,-0.01334,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.93,owned by a public authority,not permissioned,,,,,499,,,,"""Site Allocation LTC7 for mixed use development including 120 residential units, retail (A1, A2, A3)""",30/11/2017,22/10/2018,,Site Allocation,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC019,"""Driving test centre, off Ennersdale Road""",51.45276,-0.00396,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.41,not owned by a public authority,not permissioned,,,,,30,,,,"""Site Allocation SA33 for mixed use development including 30 residential units, business/employment""",30/11/2017,,,Site Allocation,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC020,232 Hither Green Lane,51.4503,-0.00585,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,not permissioned,,,,,6,,,,"""Lapsed 10/75392 for mixed use development including 4 x one bedroom, 1 x two bedroom and 1 x three bedroom self-contained flats, commercial unit (Use Class A2)""",30/11/2017,22/10/2018,,Lapsed,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC021,"""St Mungos Hostel, Spring Gardens, Arlington Close""",51.4527,-0.00483,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.96,owned by a public authority,permissioned,full planning permission,25/09/2017,,yes,28,28,,,"""17/102175 for residential development including 28 self-contained studio flats, assessment hub""",22/10/2018,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC022,1 Wearside Road,51.45704,-0.01581,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.08,not owned by a public authority,permissioned,full planning permission,06/10/2017,,yes,9,9,,,"""16/098097 for residential development including 1 x two bedroom wheelchair accessible bungalow, 2 x three storey, three bedroom houses plus 4 x two bedroom and 2 x one bedroom self-contained flats""",22/10/2018,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC023,174-176 Lewisham High Street,51.46043,-0.0114,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,planning permission granted under an order,13/02/2018,,yes,6,6,,,17/105157 Prior approval for residential development including 6 residential units,22/10/2018,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC024,19b Marischal Road,51.4624,-0.00736,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,full planning permission,08/10/2018,,yes,9,9,,,"""16/098334 full approved 2017-03-10 and 18/108211 for residential development including 2 x one bed, 5 x two bed, 2 x three bed units""",22/10/2018,21/10/2019,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC025,Church Grove,51.457743,-0.0182777,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.35,owned by a public authority,permissioned,full planning permission,14/12/2018,,yes,33,33,,,"""17/104264 for mixed use development including self-build 13 x one bedroom, 10 x two bedroom, 2 x three bedroom flats and 5 x three bedroom and 3 x four bedroom houses, shared office space and multi-use community facility""",22/10/2018,21/10/2019,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC026,58-60 Lewisham High Street,51.46335,-0.010916,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.01,not owned by a public authority,permissioned,planning permission granted under an order,13/11/2018,,yes,5,5,,,18/108954 Prior Approval for residential development including 5 residential units,21/10/2019,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC027,18 Clarenden Rise,51.460232,-0.008074,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,16/11/2017,,yes,2,2,,,17/103574 for residential development including 6 x residential flats,21/10/2019,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LC028,117 Courthill Road,51.455526,-0.007495,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,full planning permission,29/11/2017,,yes,0,0,,,17/103913 for 10 person HMO,21/10/2019,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LD002,Land at 11 and 29 Embleton Road and 44 and 70 Algernon Road,51.46263,-0.01913,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.45,owned by a public authority,permissioned,full planning permission,11/06/2018,,yes,4,4,,,18/105952 for residential development including 4 x three bedroom houses,22/10/2018,,,Approved site,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LD003,93-99 Ladywell Road,51.456659,-0.021035,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,05/03/2019,,yes,7,7,,,"""18/107234 for mixed use development including 4 x one bed and 3 x two bed flats, 266m2 of commercial space (A1, A3, D2)""",21/10/2019,,,Approved site,3
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LG001,36 Old Road,51.45737,0.005382,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.16,not owned by a public authority,permissioned,full planning permission,13/11/2014,,yes,9,9,,,14/087793 for residential development including 9 x four bedroom houses,30/11/2017,,,Approved site started construction,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LG003,"""Garages at Woodstock Court, Burnt Ash Hill""",51.44829,0.013903,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.36,not owned by a public authority,permissioned,full planning permission,20/03/2017,,yes,8,8,,,15/094702 for residential development including 8 x three bedroom dwellings,30/11/2017,22/10/2018,,Approved site started construction,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LG004,"""Mayfields Hostel, 47 Burnt Ash Hill""",51.45313,0.01499,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.08,owned by a public authority,permissioned,full planning permission,02/08/2018,,yes,21,21,,,"""17/103886 for mixed use development including 24 x two bedroom, 16 three bedroomed self-contained flats and 7 x two storey houses, commercial space (flexible use classes A1 / A2 / A3 / B1(a) / D1 (crèche, education, museum, art gallery)""",22/10/2018,,,Approved site,5
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LG005,Leegate Shopping Centre,51.4472,0.014424,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.49,not owned by a public authority,pending decision,full planning permission,,,yes,229,229,,,"""14/90032 for mixed use development including 229 residential units, retail led (A1-A4) and leisure (D1 and D2)""",30/11/2017,22/10/2018,,Resolution to approve,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LG006,"""Lee Green Estate, Cambridge Drive""",51.45546,0.012387,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1.9,not owned by a public authority,permissioned,full planning permission,22/02/2018,,yes,12,12,,,"""15/092720 for residential development including 4 x one bedroom, 4 x two bedroom and 4 x three bedroom self-contained flats""",22/10/2018,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,LG007,34-40 Eastdown Park,51.457177,-0.004418,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.26,not owned by a public authority,permissioned,full planning permission,05/03/2019,,yes,21,21,,,"""18/105760 for mixed use development including  8 x one bed, 8 x two bed and 5 x three bed units, 392m2 commercial unit (B1)""",21/10/2019,,,Approved site,4
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX001,"""New Bermondsey, Surrey Canal Triangle""",51.48537,-0.05105,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,10.16,not owned by a public authority,permissioned,outline planning permission,30/03/2012,,yes,"2,365","2,365",,,"""11/76357 for mixed use development including 2,365 residential units, commercial, community and leisure facilities""",30/11/2017,,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX003,"""New Cross Gate station sites,  29, 23-27 Goodwood Road""",51.47589,-0.04005,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.61,not owned by a public authority,not permissioned,,,,,148,,,,"""Site Allocation SA5 (Lapsed 11/77418) for mixed use development including 148 residential units, 200m2 of retail ( A1-A5)""",30/11/2017,22/10/2018,,Site Allocation,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX005,"""Bond House, Goodwood Road""",51.47629,-0.03926,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.24,not owned by a public authority,permissioned,full planning permission,29/06/2016,,yes,89,89,,,"""14/090267 for mixed use development including 89 residential units, 862m2 commercial space (B1) to include artist studios""",30/11/2017,22/10/2018,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX007,Roof extension at 110-114 Deptford High Street,51.47811,-0.02558,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.1,not owned by a public authority,not permissioned,,,,,5,,,,Lapsed 14/088107 for residential development including 2 x one bedroom and 3 x two bedroom flats,30/11/2017,22/10/2018,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX008,465 New Cross Road,51.47561,-0.02869,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,permissioned,full planning permission,05/11/2013,,yes,5,5,,,"""11/78237 for mixed use development including 4 x one bedroom, 4 x two bedroom flats and 1 x two bedroom house, basement and ground floor retail use (A1)""",30/11/2017,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX009,"""Hatcham Works, New Cross Gate Retail Park/ Sainsbury, New Cross Road""",51.47629,-0.042,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,3.67,mixed ownership,not permissioned,,,,,799,,,,"""Site Allocation SA6 for mixed use development including 200 residential units, retail (A1) and community facilities""",30/11/2017,22/10/2018,,Site Allocation,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX010,"""Sun Wharf, Cockpit Arts""",51.47867,-0.02002,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1,not owned by a public authority,not permissioned,,,,,233,,,,"""Site Allocation SA11 for mixed use development including 200 residential units, 20% employment uses including creative industries, office, workshops""",30/11/2017,22/10/2018,,Site Allocation,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX011,"""Giffin St Masterplan Area, Former Tidemill School (north of Reginald Road and south of Frankham Street)""",51.47674,-0.02407,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,1.25,mixed ownership,permissioned,full planning permission,16/07/2018,,yes,193,193,,,"""16/095039 for residential development including 209 units  of 78 x one bedroom, 97 x two bedroom, 26 x three bedroom, 8 x four bedroom units""",30/11/2017,21/10/2019,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX012,"""Former Deptford Green Secondary School, Amersham Vale""",51.4794,-0.03264,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.68,mixed ownership,permissioned,full planning permission,16/07/2018,,yes,120,120,,,"""15/095027 for residential development including 120 residential units""",30/11/2017,22/10/2018,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX013,2 Hatcham Park Mews,51.47482,-0.04578,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.04,not owned by a public authority,not permissioned,,,,,8,,,,"""Lapsed 08/68231 for residential development including 3 x one bedroom, 4 x two bedroom and 1 x three bedroom self-contained flats""",30/11/2017,22/10/2018,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX014,Rear of 104 Deptford High Street,51.47788,-0.02541,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.02,not owned by a public authority,not permissioned,,,,,6,,,,"""Lapsed 08/68951 for mixed use development including  two x studio flats, 4 x one bedroom self-contained flats, retail/cafe (A1/A3)""",30/11/2017,22/10/2018,,Lapsed,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX015,"""Thanet Wharf, Creekside Village East""",51.48041,-0.01802,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.75,mixed ownership,pending decision,full planning permission,,,yes,394,,,,"""Site Allocation SA12 for mixed use development including 226 residential units, 20% B1 including cultural and creative industries""",30/11/2017,22/10/2018,,Site Allocation,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX016,54 Avonley Road,51.47979,-0.04926,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.15,not owned by a public authority,permissioned,full planning permission,20/04/2018,,yes,9,9,,,17/103958 for residential development including 9 residential units,22/10/2018,21/10/2019,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX018,"""Haulage Yard, Hereford Place""",51.478265,-0.033392,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.91,not owned by a public authority,permissioned,full planning permission,28/03/2019,,yes,26,26,,,17/101332 for residential development including 26 residential units,21/10/2019,,,Approved site,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX019,1 White Post Street,51.4794,-0.05359,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.13,mixed ownership,permissioned,full planning permission,05/12/2018,,yes,21,21,,,"""17/104772 for mixed use development including 25 residential units, 975m2 of flexible commercial floorspace (A1/A2/B1/D1)""",21/10/2019,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,NX020,165 & 167 New Cross Road,51.475051,-0.046452,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.03,not owned by a public authority,permissioned,full planning permission,20/05/2016,,yes,2,2,,,15/094303 for residential development including 2  x one bed flats,22/10/2019,,,Approved site started construction,2
For more information visit the Government's open data website: http://opendatacommunities.ord/id/london-borough-council/lewisham,PV004,"""Waldram Place & Perry Vale, east of the railway line""",51.43968,-0.05255,For maps that show the location and boundaries of the site visit the Council's webpage on the Brownfield Land Register: https://lewisham.gov.uk/myservices/planning/policy/brownfield-land-register,0.2,not owned by a public authority,not permissioned,,,,,60,,,,"""Site Allocation SA18 for mixed use development including 33 residential units, retail, business/employment""",30/11/2017,22/10/2018,,Site Allocation,6
