OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,Permission Date,Planning History,ProposedForPIP,MinNetDwellings,DevelopmentDescription,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings RangeTo,HazardousSubstances,Site Information,Notes,FirstAddedDate,LastUpdatedDate,additional field address 2,additional field calc area,additional field no at 30per ha,additional field no at 45perha
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,34,,9 Culver St Newent,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora28&scale=1024,OSGB36,372138.81,225811.17,0.15910438510553213,not owned by a public authority,yes,permissioned,full planning permission,2013-11-28,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KJOMV8HI01R00,,9,Erection of 9 dwellings and associated works,,,9,9,,,flats within built up area,2017-10-31,2017-10-31,Newent,1591.0438510553213,7.823271280417218,11.734906920625829
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,35,,North of Church St Newent,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora29&scale=1024,OSGB36,372275.05,372275.05,0.26077570934724065,not owned by a public authority,,not permissioned,,,,,15,mixed development opportunity within town centre,,,20,25,,,"identified in plan for range of redevelopment and conversion, this area is within the town centre and is presently a mixture of uses including garages outbuildings and retail/ residential.  Site and plan policy identified in order to realise potential to provide additional mixed uses",2017-10-31,2017-10-31,Newent,2607.7570934724063,15.48575225772243,23.228628386583644
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,56,,Old Station Rd Newent,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora48&scale=1024,OSGB36,371981.9200023,226270.4131792,0.516191741924081,not owned by a public authority,,not permissioned,,,,,20,new housing as part of a mixed use allocation,,,20,40,,,part of mixed use allocation totalling 30-40 dwellings,2017-10-31,2017-10-31,Newent,5161.91741924081,4.773131553165964,7.159697329748946
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,36,,Former Victoria Hotel Newnham,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora30&scale=1024,OSGB36,368983.6802046,211587.9101033,0.3526553822752088,not owned by a public authority,,not permissioned,,,,,15,part new build part conversion of former hotel and adjoining buildings,,,20,25,,,Listed former hotel and land associated with it.  Capable of being converted and redeveloped (the non listed element) to provide a variety of accommodation.,2017-10-31,2017-10-31,Newnham,3526.5538227520883,9.891535644482822,14.837303466724231
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,37,,Corner Rd Pillowell,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora31&scale=1024,OSGB36,362449.815199,206100.5965971,0.32971785481609406,not owned by a public authority,yes,permissioned,outline planning permission,2015-08-15,https://publicaccess.fdean.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NNXJ1CHI01000,,5,new housing on former pithead,,,5,5,,,permission for housing on former pithead site,2017-10-31,2017-10-31,Pillowell,3297.1785481609404,2.8128838950053905,4.219325842508086
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,38,,Beachley Rd Adj High Cliffe Tutshill Sedbury,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora32&scale=1024,OSGB36,353966.71,194510.63,0.09376279650017968,not owned by a public authority,yes,permissioned,full planning permission,2015-11-02,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,7,redevelopment,,,7,7,,,permission for new building to accommodate flats,2017-10-31,2017-10-31,Sedbury,937.6279650017968,3.9177132150012475,5.876569822501871
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,57,,Beachley Rd Sedbury,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora46&scale=1024,OSGB36,354605.4857134,193574.0887661,0.1305904405000416,not owned by a public authority,yes,permissioned,outline planning permission,2017-10-02,https://publicaccess.fdean.gov.uk/online-applications/search.do?action=simple&searchType=Application,,5,outline permission for 10 flats on former garage site,,,5,10,,,outline permission for new building,2017-10-31,2017-10-31,Sedbury,1305.9044050004159,27.879818462010473,41.81972769301571
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,48,,Grahamstown Rd Sedbury,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora40&scale=1024,OSGB36,354547.17,193949.61,0.8374722076813806,not owned by a public authority,,not permissioned,,,,,15,new housing on former employment site,,,24,28,,,redevelopment opportunity within area of mixed but now increasingly similar uses,2017-10-31,2017-10-31,Sedbury,8374.722076813807,14.292258597845212,21.438387896767818
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,41,,Adj The Laurels Sling,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora34&scale=1024,OSGB36,358351.37,208174.74,0.47640861992817374,not owned by a public authority,,not permissioned,,,,,12,new housing on former employment site,,,12,15,,,former builders yard and premises suitable for redevelopment,2017-10-31,2017-10-31,Sling,4764.086199281737,103.99432005561911,155.99148008342868
http://opendatacommunities.org/id/district-council/forest-of-dean,Forest of Dean District Council,39,,Lydney Rd Whitecroft,https://maps.glosdistricts.org/map/Aurora.svc/run?script=%5cAurora%5cFoDDC+-+SHLAA.AuroraScript%24&nocache=1347652503&resize=always&inspect_query=Brownfield_Land_Registery&inspect_value=Aurora33&scale=2048,OSGB36,362059.51,206086.96,3.466477335187304,not owned by a public authority,,not permissioned,,,,,25,new housing on former employment site as part of mixed use allocation,,,30,35,,,part of mixed use allocation to include about 30 dwellings remainder of site for employment.  Current use for employment and partially vacant and in need of refurbishment.,2017-10-31,2017-10-31,Whitecroft,34664.77335187304,0.0,0.0
