OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,PlanningAuthority1,PlanningAuthority2,PlanningAuthority3
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00053,,"Woodside Avenue, Off Mount Pleasant, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.292098497,51.54034986,2.7,not owned by a public authority,Yes,not permissioned,,,,,517,,,,8,517,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00054,,"Beresford Avenue, Alperton, HA0",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.289355908,51.54063437,1.64,mixed ownership,Yes,not permissioned,,,,,71,,,,590,100,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00055,,"Homebase, Church End High Road, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.249133748,51.55108819,0.82,not owned by a public authority,,not permissioned,,,,,106,,,,135,106,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00056,,"Chancel House, Neasden Lane, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.246694441,51.55038979,1.95,owned by a public authority,Yes,permissioned,planning permission granted under an order,2016-08-15,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_128748,,119,Prior approval for change of use of Chancel House (use class B1(a)) to 135 residential units (use class C3),,,400,135,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00057,,"Asiatic Carpets, Church End High Road, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.250491833,51.55912961,0.25,not owned by a public authority,Yes,not permissioned,,,,,223,,,,885,223,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00058,,"Neasden Lane / Birse Crescent, Neasden, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.252866884,51.56000395,0.1,mixed ownership,,not permissioned,,,,,64,,,,32,64,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00059,,"Neasden Lane / North Circular Road, Neasden, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.245414463,51.53698214,0.21,mixed ownership,,not permissioned,,,,,9,,,,5,9,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00060,,"Manor Park Works, Manor Park Road, Harlesden, NW10 4JJ",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.314706657,51.58088728,2.25,unknown ownership,,not permissioned,,,,,30,,,,95,30,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00061,,"Sainsbury's Superstore, Draycott Avenue, HA3",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.300449024,51.58638661,0.47,unknown ownership,,not permissioned,,,,,450,,,,395,450,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00062,,"Clock Cottage, Kenton Road, HA3",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.284887528,51.59239263,3.69,owned by a public authority,Yes,permissioned,full planning permis,2017-01-18,https://pa.brent.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=PROPLPI_202079880_1&activeTab=summary&previousCaseUprn=202079880&previousCaseNumber=PROPLPI_202079880_1&keyVal=DCAPR_129421,,19,"Redevelopment of Clock Cottage and its grounds to include the retention and reuse of Clock Cottage, demolition of the single storey stable buildings and erection of two storey buildings to provide 17 self-contained units (16 x 1 bed and 1 x 3bed) to be used as assisted living accommodation for adults with disabilities with associated staff and communal areas, car and cycle parking spaces, bin stores, amenity space and landscaping",,,517,19,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00063,,"Morrison’s supermarket, Honeypot Lane, NW9",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.271718895,51.54328103,2.99,unknown ownership,,not permissioned,,,,,383,,,,71,383,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00064,,"Former Unisys & Bridge Park Centre, North Circular Road, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.238899184,51.5493658,0.16,mixed ownership,Yes,not permissioned,,,,,505,,,,4,505,,,,2017-12-15,2018-12-12,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00065,,"Former Dudden Hill Lane Playground, Willesden, NW10",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.238899184,51.5493658,0.16,owned by a public authority,Yes,not permissioned,,,,,25,,,,106,25,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00066,,"133, Kilburn Lane, W10 4AN",,ETRS89,-0.2132170639,51.5318892395,0.098,Unknown ownership,yes,permissioned,full planning permis,2018-09-06,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_137752,,6,"Demolition of existing buildings and the erection of a three and a half storey mixed used development and 8 residential units (6 x 2 bed and 2 x 3 bed) at first and second floors, with associated access, soft and hard landscaping, refuse storage and cycle parking, amenity space and other ancillary works",providing six commercial units (Use Class B1) at lower ground and ground floors ,,6,6,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00067,,"15 & 17, Tudor Gardens, NW9 8RL",,ETRS89,-0.2637402558,51.5666661045,0.119,Unknown ownership,yes,permissioned,full planning permis,2018-10-15,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,-3,"Demolition of existing properties and erection of a two storey building with conversion of loft space comprising 9 self-contained flats (1 x 3 beds +  4 x 2 beds + 4 x 1 beds), provision for car parking, cycle and refuse storage with associated landscaping and alterations to existing vehicular accesses",,,-3,-3,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00068,,"486 High Road, HA9 7BH",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.295140569,51.55342322,0.05,unknown ownership,Yes,permissioned,full planning permis,2015-12-16,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_108688,,9,"Roof alterations to existing building including erection of a pitched roof, front dormer window and two rear dormer windows, refurbishment of two existing 2 bedroom units facing Wembley High Road and erection of new 5 storey residential block (including basement) to the rear of 486 High Road (facing onto Dukes Way) providing 5 new flats, incorporating a new loading/servicing bay, communal central courtyard, private balconies and associated refuse, recycling and cycle storage (car/permit free development) (as amended by revised plans dated 28/01/13)  and subject to a Deed of Agreement dated 3 December 2015 under Section 106 of the Town and Country Planning Act 1990, as amended",,,119,9,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00069,,"16, Mapesbury Road, NW2 4JB",,ETRS89,-0.2102083458,51.5464653293,0.15,Unknown ownership,yes,permissioned,full planning permis,2018-07-30,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,2,"Conversion of property into 5 self contained flats and external works to include two-storey glazed extension to the rear, rear and side dormer windows and 3 rooflights to convert loft into a flat, staircase extension to side elevation, installation of vehicular access, provision of car parking to rear, alteration and conversion of garage for bicycle storage and associated landscaping",,,2,2,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00070,,"2, Buller Road, NW10 5BT",,ETRS89,-0.217036948,51.5304365971,0.13,Unknown ownership,yes,permissioned,full planning permis,2016-05-18,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_124978,,7,"Demolition of the roofing merchants and storage depot site and erection of 7 residential dwellings (1 x 4bed and 6 x 3bed) with associated car and cycle parking spaces, bin stores, landscaping and amenity space",,,7,7,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00071,,"2, Forty Lane, HA9 9EB",,ETRS89,-0.2657674025,51.5661025353,0.074,Unknown ownership,yes,permissioned,full planning permis,2017-11-09,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_133718,,8,"Demolition of two storey building and erection of a three and part-four storey building comprising (6 x 2 bed flats, 1 x 3 bed flat and 2 x 4 bed flats) with underground car and cycle parking, alterations to existing vehicular accesses to form new vehicular and pedestrian access and provision of amenity space",,,8,8,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00072,,"Storage Land Opposite Linden Avenue, Station Terrace, NW10 5RR",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.220679823,51.53420248,0.04,unknown ownership,Yes,permissioned,full planning permis,2016-03-04,https://pa.brent.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_202043033_1,,9,"Redevelopment of the storage land opposite Linden Avenue to include the demolition and removal of existing buildings and structures and the erection of four storey building comprising 9 no. self-contained flats (7 x 2 bed and 2 x 3 bed) (Use Class C3), 5 no. retail units (Use Class A1) and 1 no. office unit (Use Class B1) on the ground floor with associated loading bay subject to a legal agreement pursuant to S106 of the Town and Country Planning Act 1990 (as amended) dated 2 March 2016",,,223,9,,,,2017-12-15,2017-12-15,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00074,,"211, Willesden Lane, NW6 7YR",,ETRS89,-0.2148577964,51.5452232453,0.08,Unknown ownership,yes,permissioned,full planning permis,2017-02-16,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_129841,,5,"Demolition of existing dwelling and erection of a new 4 storey building with a basement to provide 6 self-contained flats (3 x 1bed, 1 x 2bed and 2 x 3bed) with associated car and cycle parking space, bin stores and amenity space",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00075,,"3 & 3a, Furness Road, NW10 4QH",,ETRS89,-0.2395765741,51.5332948837,0.07,Unknown ownership,yes,permissioned,full planning permis,2018-02-02,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,6,"Single storey extension to existing terraced property; erection of a new two storey single family dwelling, and demolition of existing factory to rear and erection of a two storey building, in connection with the creation 7 self-contained units (2 x 1 bed, 2 x 2 bed and 3 x 3 bed) with associated landscaping and provision of bicycle and bin storage.",,,6,6,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00076,,"30, Brondesbury Park, NW6 7DN",,ETRS89,-0.217977807,51.5447311199,0.122,Unknown ownership,yes,permissioned,full planning permis,2017-09-26,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,6,"Conversion of the 3 flats into 9 x self-contained flats (4 x 1bed, 3 x 2bed and 1 x 3bed) to include the demolition of the side utility room and erection of single storey side extension, part single and part two storey rear extension with associated balconies, rear and side dormer windows, insertion of 4 rooflights, widening of vehicular crossover,car parking, provision for cycle and bin stores, landscaping and alterations to the boundary wall",,,6,6,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00077,,"341, Harlesden Road, NW10 3RX",,ETRS89,-0.235796689,51.5411785673,0.08,Unknown ownership,yes,permissioned,full planning permis,2018-07-20,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_139777,,9,"Demolition of existing building and erection of a four storey residential block comprising 9 flats (2 x 1 bed, 5 x 2 bed and 2 x 3 bed flats) including provision of car parking spaces, bin storage and soft landscaping",,,9,9,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00079,,"427, High Road, HA9 7AB",,ETRS89,-0.2944442703,51.5531958862,0.052,Unknown ownership,yes,permissioned,full planning permis,2018-11-12,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,9,"Change of use and conversion of upper floors together with part single, part 4-storey rear extension to facilitate the creation of 9 residential units (2 x 2-bed, 3 x 1-bed and 4 x studios), 4 x rear and 6 x front dormer windows; rear first and second floor balconies, 2 No. rear rooflights, new rear entrance lobby and lift for disabled access, rear staircase, freestanding commercial and residential refuse stores, secured cycle parking, amenity space, soft and hard landscaping",,,9,9,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00081,,"47-51, High Street, NW10 4NJ",,ETRS89,-0.2472411896,51.5360803467,0.06,Unknown ownership,yes,permissioned,full planning permis,2017-03-24,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,8,"Demolition of existing three storey building and erection of a new four storey building and 8 self-contained flats (4 x 1bed, 3 x 2bed and 1 x 3bed) on the second and third floors with associated roof terraces, plant area, cycle parking, bin stores and amenity space (car free development)",comprising retail unit (Use class A1) on the ground and first floors ,,8,8,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00082,,"48, Brondesbury Park, NW6 7AT",,ETRS89,-0.2199493232,51.5452106758,0.076,Not owned by a public authority,yes,permissioned,full planning permis,2018-01-02,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_134991,,6,"Conversion of the dwellinghouse into 7 self-contained flats (5 x studios, 1 x 1bed and 1 x 3bed) to include the insertion of rooflights to existing side extension, new door opening to the ground floor rear elevation, car and cycle parking spaces, bin stores, landscaping, amenity space and replacement of the hinged gates with new sliding gates to the front boundary elevation",,,6,6,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00083,,"494-504, Neasden Lane North, NW10 0EA",,ETRS89,-0.2589559396,51.5631062682,0.074,Unknown ownership,yes,permissioned,full planning permis,2018-02-05,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_129467,,5,"Erection of a second storey above shopfront with converted roofspace to create two additional floors containing 5 new flats (1x 3 bed, 1x 2 bed and 3x 1 bed), internal alterations to alter the existing residential units on the first floor from a 1x 3 bed and 2x 2 bed configuration to a 2x 2 bed and 1x 1 bed configuration with associated external alterations and parking to the rear, incorporating the addition of 3x double car stacking systems within the rear service yard.",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00084,,"511, High Road, HA0 2DH",,ETRS89,-0.2978790883,51.5519867503,0.09,Unknown ownership,yes,permissioned,full planning permis,2018-08-30,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,5,"Change of use of the existing retail unit (Use Class A1) and residential accommodation above (Use Class C3), demolition of an existing rear addition to provide a retail unit (Use Class A1) at basement, lower ground floor and ground floor level along with 5 self-contained residential units (Use Class C3) (4 x studio, 1 x 1-bedroom) over ground, first and second floor levels, a four storey rear extension, rear roof extension and the creation of 1 x front dormer windows, and 2 x rear dormer windows at roof level, along with associated internal and external alterations including the provision of cycle and bin storage. (amended description)",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00085,,"57, Cricklewood Broadway, NW2 3JX",,ETRS89,-0.212050327,51.5535616392,0.063,Unknown ownership,yes,permissioned,full planning permis,2018-09-14,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,9,"Change of use from hotel (Class C1) to 9 x self-contained flats (1 x 3 bed, 4 x 2 bed and 4 x 1 bed) (Class C3) ; three storey rear extension.",with retention of public house (Class A4),,9,9,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00086,,"57, Draycott Avenue, HA3 0BL",,ETRS89,-0.3125019305,51.5797595056,0.15,Unknown ownership,yes,permissioned,full planning permis,2017-04-27,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_132691,,5,"Demolition of existing care home building and erection of a two storey building with a converted loft space and basement level to provide 5 self-contained flats (2 x 3 bed and 3 x 2 bed) with associated car and cycle parking spaces, bin stores, amended drop kerb and landscaping",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00087,,"5-9, Wembley Hill Road, HA9 8AF",,ETRS89,-0.2868944965,51.5537334486,0.043,Not owned by a public authority,yes,permissioned,full planning permis,2016-02-11,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_121907,,6,"Construction of a third and fourth floor over existing mixed used building to include a rear extension at first and second floor level and change of use of the ground floor existing A1 units (x2) and A3 unit (x1) at No 5-7 into 2 retail units (Use class A1) and the existing flats and upper floors at No 5-7 and No 9 into a total of 13 self-contained flats (6x1bed, 4x2bed and 3x3bed) with associated terraces, alterations to existing entrances, cycle parking and landscaping",,,6,6,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00088,,"633-635, Harrow Road, HA0 2ET",,ETRS89,-0.3084200208,51.5512938145,0.09,Unknown ownership,yes,permissioned,full planning permis,2017-04-27,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_130904,,8,"Demolition of Nos 633 and 635 Harrow Road and detached double garage and erection of a new three storey block providing 8 self-contained flats (1 x 1bed, 5 x 2bed and 2 x 3bed) whilst retaining existing vehicular crossovers from Harrow Road and Dalmeny Close, provision for car, cycle and bike parking, bin stores and landscaping",,,8,8,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00089,,"76, Salusbury Road, NW6 6PA",,ETRS89,-0.2067552593,51.5370872859,0.675,Unknown ownership,yes,permissioned,full planning permis,2017-08-02,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,9,"Change of use of the 1st, 2nd and part of the ground floor of the public house (Use class A4) to create 9 self-contained flats (2 x 1bed, 3 x 2bed, 2 x 3bed and 2 x 4bed), together with associated alterations to include erection of a partial third floor, new 2nd floor rear extension, replacement and relocation of some of the windows, insertion of new windows and rooflights, terraces and screening and bin stores  and subject to a Deed of Agreement dated 21 July 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",retention of the ground floor public house including the provision of an ancillary function room ,,9,9,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00090,,"79-83, Kenton Road, HA3 0AH",,ETRS89,-0.3195064694,51.5804173907,0.2,Unknown ownership,yes,permissioned,full planning permis,2018-05-15,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_135979,,36,"Demolition of existing dwellinghouse and erection of a part three part four storey building comprising 39 self-contained flats (27 X 1bed, 8 x 2bed and 4 x 3bed) with associated basement car and cycle parking spaces accessed via new crossover off Rushout Avenue, bin stores, fencing and landscaping, subject to a Deed of Agreement dated 15 May 2018 under Section 106 of the Town and Country Planning Act 1990, as amended.",,,36,36,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00091,,"945, Harrow Road, HA0 2SA",,ETRS89,-0.3268814558,51.5588154234,0.052,Unknown ownership,yes,permissioned,full planning permis,2018-06-29,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,7,"Demolition of bungalow and erection of a part two, part three and part four storey building with top floor set back, comprising 8 self-contained flats (3 x studio, 3 x 1 bed and 2 x 2 bed), provision for 5 car parking spaces to rear, refuse and bicycle storage to front, communal and private amenity spaces and associated landscaping (revised description)",,,7,7,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00092,,"Ark Elvin Academy, Cecil Avenue, Wembley, HA9 7DU",https://maps.london.gov.uk/brownfield-site-register,ETRS89,-0.288946965,51.55090393,8.36,owned by a public authority,Yes,not permissioned,,,,,193,,,,5,370,,,,2017-12-15,2018-12-12,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00093,,"Ashford Studios, Ashford Road, NW2 6TP",,ETRS89,-0.2168732313,51.5571241914,0.09,Unknown ownership,yes,permissioned,full planning permis,2018-07-26,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_139536,,3,"Demolition of existing garages, alterations to remaining building and erection of a two-storey building comprising seven dwellings",,,3,3,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00094,,"Flats 1-12 Inc And Flats 13-24 Inc, Leeland Way, NW10 1SA",,ETRS89,-0.2484006253,51.5573200683,0.2,Mixed ownership,yes,permissioned,full planning permis,2017-12-08,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,6,"Extensions at roof level extensions over two detached blocks of flats to form a third floor comprising of six new residential flats (4 x 2bed and 2 x1bed) with associated balconies to the front elevation, bin stores and use of exisiting garages to provide 6 car parking spaces",,,6,6,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00095,,"Garages Rear Of Glenmore Parade, Ealing Road, HA0",,ETRS89,-0.2970749466,51.5418495801,0.148,Unknown ownership,yes,permissioned,full planning permis,2017-08-25,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,5,"Demolition of existing garages adjoining Glenmore Parade shops and erection of a 4 storey mixed-use block  and 5 self-contained flats (4 x 2bed and 1 x 3bed) on the upper floors, with associated landscaping and installation of new vehicular and pedestrian access gate",comprising two retail units (A1/A2/A3/A4 use) on the ground floor,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00096,,"High Road, NW10 2PU",,ETRS89,-0.2281863846,51.5473856591,0.02,Not owned by a public authority,yes,permissioned,full planning permis,2017-02-24,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_116470,,4,"Rear dormer windows, 4 front rooflights and conversion of the upper floors at 52A & 54A into 5 self-contained flats (1 x 3 bed, 2 x 2bed, 1 x 1bed and 1 x studio) with provision for cycle parking and bin stores to the rear  and subject to a Deed of Agreement dated 23 February 2017 under Section 106 of the Town and Country Planning Act 1990, as amended",,,4,4,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00097,,"Land Rear Of 25 To 30, Stonebridge Park, NW10",,ETRS89,-0.2617985285,51.5449475802,0.31,Mixed ownership,yes,permissioned,full planning permis,2018-06-07,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,5,"Development to provide 2 x 2 bedroom houses and 3 x 3 bedroom houses, with car parking, cycle storage, refuse storage, amenity space and landscaping",,,5,5,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00098,,"Masons House, Valley Drive, NW9 9NG",,ETRS89,-0.2733862958,51.5855034864,0.02,Unknown ownership,yes,permissioned,full planning permis,2018-06-07,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,,8,"Change of use of the ground, first and second floors from an education institution (Class D1) into 8 no. self-contained flats on the first and second floors andwith associated car and cycle parking spaces and provision of bin stores at basement level", office use (Class B1) on the ground floor ,,8,8,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00099,,"Northfield Industrial Estate, Beresford Avenue, HA0 1NW",,ETRS89,-0.2861913313,51.5409718302,9.16,Unknown ownership,yes,permissioned,outline planning per,2018-09-28,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_138266,,2900,"Hybrid planning application for the redevelopment of Northfield industrial estate:

Outline planning permission for the demolition of existing buildings and structures on the site, all site preparation works and redevelopment to provide new buildings ranging from 35.75m AOD to 111.95m AOD in height, with a total floorspace (GEA) of up to 309,400 sq m (excluding basement up to 42,000 sq m GEA) to accommodate 2,900 homes (Use Class C3),  together with new basement level including energy centre, associated storage, cycle and vehicle parking, new vehicular accesses, associated highway works to Beresford Avenue, landscaping and creation of new public and private open space, ancillary facilitating works, various temporary meanwhile uses, interim works and infrastructure.","business and storage and distribution (Use Classes B1a, B1c and B8), commercial (Use Classes A1, A2, A3, A4 and A5), community and leisure (Use Classes D1 and D2) including community centre and nursery, new basement level including energy centre, associated storage, cycle and vehicle parking, new vehicular accesses, associated highway works to Beresford Avenue, landscaping and creation of new public and private open space, ancillary facilitating works, various temporary meanwhile uses, interim works and infrastructure. ",,2900,2900,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00100,,"Oxgate Farm Works, Coles Green Road, NW2 7EY",,ETRS89,-0.2350433101,51.566967026,0.1,Unknown ownership,yes,permissioned,full planning permis,2017-02-22,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_127911,,9,"Demolition of industrial buildings (Use class B2/B8) and erection of a three storey building providing a mixed use development comprising offices (Use class B1a) on the ground level and 9 self-contained flats (2 x 2bed, 5 x 2bed and 2 x 3bed) on the first and second floors, with associated car and cycle parking spaces, bin stores, landscaping and amenity space (as amended)  and subject to a Deed of Agreement dated 22 February 2017 under Section 106 of the Town and Country Planning Act 1990, as amended.",,,9,9,,,,2018-12-14,2018-12-14,,,
http://opendatacommunities.org/id/london-borough-council/brent,London Borough of Brent,BR00101,,"Peel Precinct, 97-112 Carlton House, Canterbury Terrace, 8-1, Neville Close, NW6",,ETRS89,-0.1994293681,51.5338186709,1.44,Owned by a public authority,yes,permissioned,full planning permis,2017-09-08,https://pa.brent.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_130364,,170,"Hybrid Application for the proposed redevelopment of the Peel site comprising Peel Precinct, 97-112 Carlton House, 8-14 Neville Close, 2 Canterbury Road & Peel site garages:

 Full planning application for the demolition of 2A Canterbury Road, 1-7 and 15-33 Peel Precinct and 8-14 Neville Close, and erection of four buildings (A, B, C and E) ranging between four to 16 storeys, plus part basement comprising of 38 replacement affordable homes for existing South Kilburn secure tenants, 64 private sale units (38 x 1-bed, 47 x 2-bed, 13 x 3-bed and 4 x 4-bed units) , associated landscaping, highways and public realm improvements (including new public space), private open space, associated car parking, cycle parking and servicing provision.

 Outline planning application with reserved matters (around Appearance, Landscaping, and Scale) for the demolition of 97-112 Carlton House, 34-57 Peel Precinct and Peel site garages, and erection of three buildings (D, F and G) ranging in height between up to 4 and up to 8 storeys provide up to 124 residential units comprising of 4 Affordable Housing units, and up to 120 private units, with associated landscaping, private open space, and cycle parking.

And subject to a Deed of Agreement under Section 106 of the Town and Country Planning Act 1990, as amended","new health centre (Use Class D1) with flexible first floor space (Classes A1/D1/D2), 3no A-class retail units at ground floor",,170,170,,,,2018-12-14,2018-12-14,,,
