SHLAA_REF,EASTING,NORTHING,SITENAME,UPRN,COORDREFER,HECTARES,PLANSTATUS,PLANHISTOR,CONSTRAINT,OWNERSHIP,OWNERS,MINHOMES,EVENTS,NOTES,FIRSTADDED,LASTUPDATE,INCLUDE,HSGESTIMAT,LATITUDE,LONGITUDE,ORGANISATI,ORGANISA_1,SHAPE_AREA,SHAPE_LEN
SHLAA0239,365103.8961,401490.3174,Land at Parsonage Farm and Garage Westleigh Lane,1.00013E+11,OSGB36,0.691758666,Not Permissioned,,,Not in Public Ownership,,19,,,Jul-17,Nov-18,Include,,-2.527658,53.508929,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,6917.586661,475.1864006
SHLAA0339,365567.1414,401573.9707,"Land at Briar Grove, Leigh",10014059001,OSGB36,0.373050054,Not Permissioned,,,Public Ownership,Wigan Council,11,,,Jul-17,Nov-18,Include,,-2.520672,53.509706,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3730.500539,290.3483953
SHLAA0147,365332.8706,400187.5995,"Wigan and Leigh College, Railway Road, Leigh",1.00013E+11,OSGB36,0.231308636,Not Permissioned,,,Not in Public Ownership,,24,,,Jul-17,Nov-18,Include,,-2.524061,53.497233,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2313.086362,199.438098
SHLAA0319,358515.4007,406082.9879,Land at Worsley Terrace Wigan,1.00013E+11,OSGB36,0.24771689,Permissioned,,,Not in Public Ownership,,43,,A/17/84707 refers,Jul-17,Nov-18,Include,"43 one bed apartments""""",-2.627599,53.549721,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2477.168898,199.458055
SHLAA0098,359689.8064,404636.6397,"Council depot, Christopher Street, Ince",2.00003E+11,OSGB36,0.916025826,Not Permissioned,,,Public Ownership,Wigan Council,96,,,Jul-17,Nov-18,Include,,-2.609694,53.536816,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,9160.258256,447.3295966
SHLAA0104,362493.1496,404831.5898,Castle Hill Hindley,10014067069,OSGB36,1.801396973,Not Permissioned,,,Public Ownership,Wigan Council,48,,,Jul-17,Nov-18,Include,,-2.567412,53.538777,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,18013.96973,775.751374
SHLAA0051,360588.8772,402404.4196,"Land north of Bickershaw Lane, Platt Bridge",1.00012E+11,OSGB36,1.227193331,Permissioned,,,Not in Public Ownership,,22,,A/16/82818 refers,Jul-17,Nov-18,Include,"22 four bed dwellings""""",-2.595849,53.516824,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,12271.93331,515.3103054
SHLAA0045,364093.5652,399818.1651,"Westleigh Waterfront, Plank Lane, Leigh",10090387340,OSGB36,20.80997603,Permissioned,,,Public Ownership,Wigan Council and CRT,470,,A/16/82492 refers,Jul-17,Nov-18,Include,,-2.542695,53.493833,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,208099.7603,4663.66579
SHLAA0338,360838.1254,405836.3343,Hemfield Road Ince,10091700737,OSGB36,0.525671233,Permissioned,,,Not in Public Ownership,,16,,A/15/81539 refers,Jul-17,Nov-18,Include,"16 three bed dwellings""""",-2.592509,53.547689,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,5256.712328,372.0734463
SHLAA0325,357929.9394,399108.2124,Former Gas Depot York Road Ashton-In-Makerfield,10014059390,OSGB36,0.620923148,Pending Decision,,,Not in Public Ownership,,30,,A/15/80753 refers,Jul-17,Nov-18,Include,,-2.635503,53.486993,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,6209.231481,353.4459157
SHLAA0192,358846.0596,405140.1644,"Heatons Bakery, Boundary Street, Wigan",1.00013E+11,OSGB36,0.361839248,Not Permissioned,,,Not in Public Ownership,,14,,,Jul-17,Nov-18,Include,,-2.622479,53.541281,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3618.392484,269.475053
SHLAA0001,364343.88,402458.7506,"Northleigh, Hindley Green",10090385061,OSGB36,52.26827672,Permissioned,,,Not in Public Ownership,Northleigh Park Group Ltd,1539,,A/12/76665 refers,01/04/2016,Nov-18,Include,,-2.539228,53.517578,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,522682.7672,5021.773387
SHLAA0214,358510.0961,399888.0515,AB Little & Co (Stubshaw Cross) Ltd 2-4 Woods Lane Ashton,1.00013E+11,OSGB36,0.450029837,Permissioned,,,Not in Public Ownership,,14,,A/16/83197 refers,Jul-17,Nov-18,Include,,-2.626851,53.49405,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,4500.298366,422.1295765
SHLAA0305,369051.4556,399874.6519,Land At Marklands Farm Manchester Road Astley Tyldesley Manchester M29 7FB,10014065063,OSGB36,0.331264231,Permissioned,,,Not in Public Ownership,,10,,A/17/83518 refers,Jul-17,Nov-18,Include,,-2.467971,53.494652,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3312.642314,296.1516304
SHLAA0205,364960.2697,400622.3844,"Parsonage, Leigh",10014057789,OSGB36,4.794380325,Permissioned,,,Not in Public Ownership,,160,,A/16/82975 refers,Jul-17,Nov-18,Include,"42 two bed 84 three bed and 34 four bed dwellings""""",-2.529717,53.501118,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,47943.80325,1108.899701
SHLAA0302,354580.7898,404257.7118,Former Pembway Leopold Street Pemberton Wigan WN5 8JG,10009210059,OSGB36,0.290992695,Permissioned,,,Not in Public Ownership,,9,,A/13/78799 refers,Jul-17,Nov-18,Include,"6 three bed and 3 four bed dwellings""""",-2.686719,53.532992,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2909.92695,215.2396196
SHLAA0208,356726.3528,403747.5518,"Adjacent to 368 Warrington Road, Wigan",2.00005E+11,OSGB36,0.114861492,Not Permissioned,,,Not in Public Ownership,,9,,,Jul-17,Nov-18,Include,,-2.654274,53.52859,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1148.614916,147.8478919
SHLAA0303,359721.3106,403439.8605,Ince Police Station 492 - 494 Warrington Road Ince,1.00013E+11,OSGB36,0.083376125,Not Permissioned,,,Not in Public Ownership,,8,,A/14/79718 refers,Jul-17,Nov-18,Include,,-2.609057,53.52606,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,833.76125,124.7587481
SHLAA0307,358573.1049,399938.647,Development Land East Of 2 - 4 Woods Lane Ashton-In-Makerfield,10014066521,OSGB36,0.098774694,Permissioned,,,Not in Public Ownership,,7,,A/17/84942 refers,Jul-17,Nov-18,Include,"7 three bed dwellings""""",-2.625908,53.494504,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,987.7469375,132.6650941
SHLAA0312,358046.2677,405891.243,1 - 5 New Market Street Wigan WN1 1SE,2.00005E+11,OSGB36,0.036744875,Not Permissioned,,,Not in Public Ownership,,6,,,Jul-17,Nov-18,Include,,-2.634651,53.547967,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,367.4487455,76.14742063
SHLAA0357,363549.8086,399823.1564,Site Of Methodist School Plank Lane Leigh,10091701774,OSGB36,0.1517565,Permissioned,,,Not in Public Ownership,,7,,A/16/82187 refers,Jul-17,Nov-18,Include,"7 three bed dwellings""""",-2.550895,53.49384,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1517.565,157.8064635
SHLAA0301,355581.011,404181.4151,Pemberton Central Ward Labour Club Enfield Street Wigan WN5 8DJ,1.00013E+11,OSGB36,0.13867885,Permissioned,,,Not in Public Ownership,,10,,A/14/79465 refers,Jul-17,Nov-18,Include,"10 three bed dwelings""""",-2.671607,53.532395,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1386.7885,166.3800997
SHLAA0127,360339.5978,402479.8355,"Open land south of 12 Car Street, Platt Bridge",10009211326,OSGB36,0.244696073,Not Permissioned,,,Not in Public Ownership,,12,,,Jul-17,Nov-18,Include,,-2.599613,53.517479,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2446.960731,217.9601463
SHLAA0415,365472.384,399643.4885,Stonehouse Day Nursery St Helens Road Leigh,1.00013E+11,OSGB36,0.254092848,Pending Decision,,,Public Ownership,Wigan Council,12,,A/18/85672 refers,Jul-17,Nov-18,Include,,-2.521891,53.492352,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2540.928476,214.085086
SHLAA0407,358411.8215,405418.3604,"Car park, former Town Hall site, Rodney Street",10014066556,OSGB36,0.380933267,Not Permissioned,,,Not in Public Ownership,,57,,,Jul-17,Nov-18,Include,,-2.62908,53.543745,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3809.332674,326.2209628
SHLAA0411,356885.5688,400240.7756,Walkden House,1.00013E+11,OSGB36,0.204300855,Not Permissioned,,,Not in Public Ownership,,20,,,Jul-17,Nov-18,Include,,-2.651392,53.497083,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2043.008548,171.2899219
SHLAA0405,358559.2587,405407.1774,"Land adjacent to Premier Inn, Harrogate Street",10093941442,OSGB36,0.438403436,Not Permissioned,,,Not in Public Ownership,,66,,,Jul-17,Nov-18,Include,,-2.626845,53.543658,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,4384.034356,379.1323409
SHLAA0414,358711.1168,405795.31,1-40 Limefield Scholes,10014061700,OSGB36,0.356590637,Not Permissioned,,,Not in Public Ownership,,27,,,Jul-17,Nov-18,Include,,-2.624603,53.547157,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3565.906372,264.4175201
SHLAA0417,360107.7356,398060.3795,HI Q Fabrications Ltd Clarence Street Golborne Warrington WA3 3RR,10009210562,OSGB36,0.162420269,Permissioned,,,Not in Public Ownership,Wigan,5,,A/17/83573 refers,Jul-17,Nov-18,Include,"2 two bed and 3 three bed dwellings""""",-2.602548,53.477744,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1624.202687,230.3641267
SHLAA0109,361742.2303,404653.8207,Hydelle Lodge King Street Hindley,1.00013E+11,OSGB36,1.351890455,Permissioned,,,Owned by a public authority,Wigan Council,33,,A/18/85403 refers,Oct-18,Nov-18,Include,"12 one bed  and 14 two bed apartments 6 two bed and 1 four bed bungalows""""",-2.578722,53.537123,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,13518.90455,496.4488774
SHLAA0113,357147.2974,404234.8575,Worlsey Mesnes Regeneration Area,,OSGB36,40.71496402,Not Permissioned,,,Mixed ownership,,100,,,Oct-18,Nov-18,Include,,-2.64799,53.533001,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,407149.6402,5197.778416
SHLAA0113B,357086.1214,404110.4396,Worsley Mesnes: Shop site at Mesnes Avenue,,OSGB36,1.406072095,Not Permissioned,,,Owned by a public authority,Wigan Council,50,,,Oct-18,Nov-18,Include,,-2.648894,53.531882,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,14060.72095,709.4859745
SHLAA0113C,357247.1451,404131.2661,Worsley Mesnes: Site of Blake Close and Huxley House,,OSGB36,1.298061237,Not Permissioned,,,Mixed ownership,,42,,,Oct-18,Nov-18,Include,,-2.646468,53.532084,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,12980.61237,613.0269597
SHLAA0113A,357089.8888,404244.4171,Worsley Mesnes: Former site of Hindley House,,OSGB36,0.28740282,Not Permissioned,,,Owned by a public authority,Wigan Council,15,,,Oct-18,Nov-18,Include,,-2.648867,53.533087,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2874.028199,209.0979083
SHLAA0113D,357390.2015,404238.3475,Worsley Mesnes: Land north of Elliot Gardens,,OSGB36,0.813445938,Not Permissioned,,,Owned by a public authority,,36,,,Oct-18,Nov-18,Include,,-2.644325,53.533057,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,8134.459376,400.9028134
SHLAA0113E,357255.1332,404368.0605,Worsley Mesnes: Site of Victoria Labour Club,,OSGB36,0.784593529,Not Permissioned,,,Owned by a public authority,,32,,,Oct-18,Nov-18,Include,,-2.64638,53.534215,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,7845.935288,458.7069869
SHLAA0174,360716.0674,402027.1451,"St Johns Vicarage, 9 Lee Lane, Abram",1.00013E+11,OSGB36,0.434272995,Pending Decision,,,Not owned by a public authority,,18,,A/18/85361 refers,Oct-18,Nov-18,Include,,-2.593871,53.513445,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,4342.729946,323.4659055
SHLAA0197,366215.1205,399493.5977,Former Bedford Hall Methodist School Cecil Street,2.00002E+11,OSGB36,0.164315452,Not Permissioned,,,Not owned by a public authority,,9,,,Oct-18,Nov-18,Include,,-2.510676,53.491053,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1643.154518,167.4995798
SHLAA0257,359390.4442,405879.4348,Well Street Garage Caunce Road Wigan WN1 3JQ,2.00005E+11,OSGB36,0.072692331,Not Permissioned,,,Not owned by a public authority,,5,,,Oct-18,Nov-18,Include,,-2.614367,53.547965,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,726.92331,114.709636
SHLAA0299,360492.9329,403079.175,592 Liverpool Road Platt Bridge Wigan WN2 3UJ,1.00013E+11,OSGB36,0.035845165,Not Permissioned,,,Not owned by a public authority,,6,,,Oct-18,Nov-18,Include,,-2.597382,53.522883,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,358.45165,76.17570123
SHLAA0327,359494.5948,404494.5495,Land east of Phoenix Way,10014065689,OSGB36,2.59807377,Not Permissioned,,,Owned by a public authority,Wigan Council,70,,,Oct-18,Nov-18,Include,,-2.612617,53.535525,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,25980.7377,987.9298132
SHLAA0399,362263.9013,403864.9379,Open Land East Of 242 Atherton Road Hindley,10014057533,OSGB36,0.150647792,Permissioned,,,Not owned by a public authority,,7,,A/17/83832 refers,Oct-18,Nov-18,Include,"7 three bed dwellings""""",-2.570766,53.530069,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1506.477922,185.2710516
SHLAA0423,363030.7043,397508.5251,Oaklands Newton Road Lowton,10090385616,OSGB36,0.813259781,Pending Decision,,,Owned by a public authority,Wigan Council,28,,A/18/86157 refers,Oct-18,Nov-18,Include,,-2.558444,53.472997,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,8132.597812,375.4060443
SHLAA0431,371564.0702,401653.9834,Site Of Parr Bridge Works Mosley Common Road Tyldesley Manchester M29 8PR,1.00013E+11,OSGB36,7.224910792,Permissioned,,,Not owned by a public authority,,154,,A/17/83702 refers,Oct-18,Nov-18,Include,,-2.430255,53.510784,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,72249.10792,1465.264088
SHLAA0435,363094.9178,404619.2944,Sandy Lane Farm 186 Sandy Lane Hindley,1.00013E+11,OSGB36,0.231327272,Permissioned,,,Not owned by a public authority,,9,,A/17/84479 refers,Oct-18,Nov-18,Include,"9 three bed dwellings""""",-2.558319,53.536915,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2313.272724,243.3692532
SHLAA0439,370424.1766,402000.0349,Fourways Assessment Unit Cleworth Hall Lane Tyldesley Manchester M29 8WS,1.00012E+11,OSGB36,0.081114949,Permissioned,,,Not owned by a public authority,,8,,A/18/84985 refers,Oct-18,Nov-18,Include,"2 three bed and 6 four bed dwellings""""",-2.447478,53.51384,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,811.149494,127.1241357
SHLAA0440,367986.6946,403447.5683,Bolton Road Service Station Bolton Road Atherton Manchester M46 9JG,2.00003E+11,OSGB36,0.15523975,Permissioned,,,Not owned by a public authority,,23,,A/17/83953 refers,Oct-18,Nov-18,Include,"4 one bed and 19 two bed apartments""""",-2.48439,53.526703,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1552.3975,158.5689426
SHLAA0441,369407.0477,402156.9107,Site Of And Adjacent To 22 - 34 Common Lane Tyldesley,10091703237,OSGB36,0.074425235,Permissioned,,,Not owned by a public authority,,6,,A/17/84490 refers,Oct-18,Nov-18,Include,"6 three bed dwellings""""",-2.462829,53.515184,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,744.25235,172.147841
SHLAA0442,367010.5057,403032.216,Atherton Car Centre Leigh Road Atherton Manchester M46 0LX,10009210593,OSGB36,0.209008985,Permissioned,,,Not owned by a public authority,,10,,A/18/84954 refers,Oct-18,Nov-18,Include,"10 four bed dwellings""""",-2.499068,53.522912,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2090.08985,194.1120296
SHLAA0445,358532.1216,406806.6167,Land East Of 5 New Lodge Wigan WN1 2ND,10014059401,OSGB36,0.055451107,Permissioned,,,Not owned by a public authority,,6,,A/18/85539 refers,Oct-18,Nov-18,Include,"6 one bed apartments""""",-2.627438,53.55623,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,554.5110735,110.1188167
SHLAA0447,361166.9563,404645.7683,The Hockery Brook 146 Wigan Road Hindley Wigan WN2 3DF,1.00013E+11,OSGB36,0.231191079,Permissioned,,,Not owned by a public authority,,5,,A/17/84771 refers,Oct-18,Nov-18,Include,"2 two bed and 3 three bed dwellings""""",-2.587411,53.537009,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2311.910794,192.047301
SHLAA0448,355993.6649,403870.0319,Former Pemberton Colliery,,OSGB36,14.67916459,Not Permissioned,,,Not owned by a public authority,,270,,,Oct-18,Nov-18,Include,,-2.665348,53.529634,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,146791.6459,1891.240127
SHLAA0449,363073.6457,397031.307,Pocket Nook,,OSGB36,42.6558365,Not Permissioned,,,Not owned by a public authority,,600,,,Oct-18,Nov-18,Include,,-2.55774,53.468712,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,426558.365,4752.419607
SHLAA0451,357430.987,406886.9044,Fmr Beech Hill Medical Practice,1.00013E+11,OSGB36,0.096593419,Pending Decision,,,Not owned by a public authority,,8,,A/18/86073 refers,Oct-18,Nov-18,Include,,-2.644083,53.55686,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,965.934187,128.4429252
SHLAA0452,367879.0446,403091.6734,Site Of Former Formby Hall Alder Street Atherton Manchester M46 9EY,10009213002,OSGB36,0.314727325,Pending Decision,,,Not owned by a public authority,,13,,A/17/84658 refers,Oct-18,Nov-18,Include,,-2.485967,53.523496,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,3147.273249,264.7355573
SHLAA0454,360252.6614,406910.5338,New Springs Ex Servicemens Club Chapel Street Aspull Wigan WN2 1ET,1.00013E+11,OSGB36,0.182668145,Pending Decision,,,Not owned by a public authority,,9,,A/17/84426 refers,Oct-18,Nov-18,Include,"6 one bed apartments""""",-2.60149,53.557298,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,1826.681448,181.8006034
SHLAA0393,364916.7194,402533.3587,269 Westleigh Lane Leigh WN7 5PW,1.00012E+11,OSGB36,0.282002125,Permissioned,,,Not owned by a public authority,,17,,A/16/82969 refers,Oct-18,Nov-18,Include,"17 two bed dwellings""""",-2.530595,53.518291,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,2820.02125,254.3440889
SHLAA0408,365260.5054,401129.5128,Jury Street Briggs Street Leigh,10090385902,OSGB36,1.250080293,Not Permissioned,,,Owned by a public authority,Wigan Council,66,,,Oct-18,Nov-18,Include,,-2.525251,53.505695,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,12500.80293,1375.491755
SHLAA0409,366206.0757,400056.5011,Land At Premier House High Street Leigh WN7 2AD,2.00003E+11,OSGB36,0.601430965,Not Permissioned,,,Not owned by a public authority,,57,,,Oct-18,Nov-18,Include,,-2.510873,53.496112,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,6014.30965,307.2550669
