OrganisationURI,OrganisationLabel,SiteReference (also SHLAA Reference),PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ward Name,Ownership Information,Deliverable,PlanningStatus,PermissionType,PermissionHistory,MinNetDwellings,DevelopmentDescription,FirstAddedDate,GF / PDL,Are there known ownership or tenancy issues?
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2189.0,,"Bridgewater House and Depot, Off Sandy Lane, Stockton Heath, WA4 2AY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361593.00478996,385857.57867226,0.43,Stockton Heath,Not owned by a Public Authority,No,Not Permissioned,,,12.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2191.0,,"Capesthorne Road Council Depot, Capesthorne Road, Orford, WA2 0JE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362030.34756594,390655.84518276,0.12,Poplars & Hulme,Not owned by a Public Authority,No,Not Permissioned,,,6.0,Not applicable,2017.0,,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2193.0,,"Houghton Hall, Greenwood Crescent, Orford, WA2 0DT",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362005.89271472,390993.1086421,0.49,Poplars & Hulme,Not owned by a Public Authority,Yes,Not Permissioned,Expired,2013/22678,21.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2198.0,,"Harrison Square, Longshaw Street, Bewsey, WA5 0HQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359786.52839283,390477.29629185,0.36,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/26262,24.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2261.0,,"Rear of former Hewden Tool Hire, Laburnum Lane, Gt Sankey, WA5 3LE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,355589.75106706,388616.42895958,0.42,Great Sankey North,Not owned by a Public Authority,No,Not Permissioned,,,11.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2274.0,,"Latchford Car and Van Sales, 741 Knutsford Road, Latchford, WA4 1JY",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362746.17552568,387161.37546431,0.04,Latchford East,Not owned by a Public Authority,Yes,Permissioned,,2015/25554,5.0,See most recent planning history at warrington.gov.uk,2017.0,Application for Outline Planning Permission with all matters reserved for proposed retail space of approximately 140 sq m at ground level and a maximum of 5 apartments at first floor level,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and within Latchford defined neighbourhood centre.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2460.0,,"Boulting Electrical Systems, Chapel Road, Penketh, WA5 2PR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,356131.51754189,387243.24203025,0.48,Penketh & Cuerdley,Not owned by a Public Authority,No,Not Permissioned,,,8.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2463.0,,"Midland Way / Priestley Street Garage, Warrington, WA1 1UE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360007.1002674,388560.89485605,0.39,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,25.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2464.0,,"Crosfield Street ALDI, Crosfield Street, Warrington, WA1 1UD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359998.43470819,388205.3266364,0.65,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,46.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2465.0,,"Crosfield Street Petrol Filling Station, Crosfield Street, Warrington, WA1 1UD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360012.65743859,388325.28229945,0.15,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,19.0,Not applicable,2017.0,,Site is within Inner Warrington as defined by Policy CS9 of the LPCS and within the defined Town Centre boundary.  Whilst not located within the Town Hall Conservation Area the site lies immediately adjacent to it.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2466.0,,"Warrington Central Trading Estate, off Bewsey Road, Warrington, WA2 7LP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360257.9150261,388780.15209432,4.57,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,137.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2468.0,,"Warrington Car Wash and Car Sales, Winwick Street/Buckley Street, Warrington, WA2 7PA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360564.39219229,388769.42516487,0.19,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,12.0,Not applicable,2017.0,,"The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9).  Part of the site constitutes a Scheduled Ancient Monument, owing to it being the site of a former pin manufacturers - physical remnants of which have long gone."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2469.0,,"Portland Trade Park, Tanners Lane/Erwood Street, Warrington, WA2 7NS",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360476.10407802,388727.84706648,0.58,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,35.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2471.0,,"Pinners Brow Retail Park, Pinners Brow, Warrington, WA2 7XA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360726.39939786,388790.41915541,1.98,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,74.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2472.0,,"Former Cabinet Works and Vicinity, Cairo Street / Barbauld Street, Warrington, WA1 1EH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360559.04939269,388094.94823189,0.28,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,15.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2473.0,,"Former TJ Hughes Building, Sankey Street, Warrington, WA1 1XG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360495.90046972,388128.49862819,0.22,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,15.0,Not applicable,2017.0,,"The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and within the defined Town Centre Boundary. It is also within the Bridge Street conservation area, within an area of archaeological potential,  and is adjacent to statutory and locally listed historic buildings."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2474.0,,"Site of former Andrew Harris furniture, Dial Street, Warrington, WA1 2PA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361053.4479915,388352.27457299,0.42,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,39.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2475.0,,"Corner of Church Street / Victoria Street, Warrington, WA1 2TF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361130.10232456,388297.07037503,0.13,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,15.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and within the defined Town Centre Boundary.  Part of the site is also within the Church Street Conservation Area and within an area of archaeological potential.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2476.0,,"Orchard Street Works, Orchard Street, WA1 2TE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361223.35396561,388359.04263565,0.17,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,24.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and part of the site is within the Church Street conservation area and within an area of archaeological potential.
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2477.0,,"Land at Crossley Street, Warrington, WA1 2PD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361128.24718581,388497.20308763,0.25,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,33.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2478.0,,"General Street Metal Works, General Street, Warrington, WA1 2TE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361219.54474738,388433.37135928,0.34,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,14.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2480.0,,"Former K&N Works, Lythgoes Lane, Warrington, WA2 7XE",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360865.52655888,388700.87478722,0.32,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,38.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2481.0,,"Land enclosed by Hopwood Street, School Brow and Crossley Street, Warrington, WA1 2TA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361201.62822961,388507.52013441,0.93,Fairfield & Howley,Not owned by a Public Authority,No,Not Permissioned,,,42.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2487.0,,"2 Field Lane, Appleton, WA4 5JR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361264.91731862,384823.42469576,0.18,Appleton,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2012/20594,7.0,See most recent planning history at warrington.gov.uk,2017.0,Proposed demolition of existing dwelling and construction of a two storey block of 8 no. apartments with associated works.,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2534.0,,"Luqmans Indian Cuisine, Phipps Lane, Burtonwood, WA5 4HQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,356339.96917665,392959.4857725,0.27,Burtonwood & Winwick,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2013/21461,1.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2543.0,,"Former Council / Scout building at Junction of Troutbeck Avenue & Longshaw Street, Warrington, WA5 0BA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359944.60270426,389628.64921455,0.4,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2013/22561,2.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2580.0,,"Rhinewood Hotel, Glazebrook Lane,  Glazebrook, WA3 5BB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,369705.80686593,392511.99386573,0.92,Rixton & Woolston,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2014/24573,9.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2582.0,,"Disused Railway Line (Parcel 1), Station Rd, Latchford, WA4 2GU",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362729.11649426,387064.39322519,0.71,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,,49.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2583.0,,"Disused Railway Line (Parcel 2), Station Rd, Latchford, WA4 2GU",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362392.99008835,386999.45181448,2.087086850802,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,,144.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2584.0,,"Disused Railway Line (Parcel 3), Land to west of Wash Lane, Latchford, WA4 1JD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361965.10439745,387038.27070268,1.2684366194646,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,,87.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2603.0,,"Land at Thelwall Lane West, Westy, Warrington, WA4 1PD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363817.85207748,387403.09627245,2.36,Latchford East,Not owned by a Public Authority,No,Not Permissioned,,,60.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2633.0,,"Former Orford Farm, School Road, Orford, WA2 9BW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361510.80153078,390440.84672543,0.53,Orford,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2014/24291,33.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2658.0,,"Hawthorne Business Park, Hawthorne Street, Warrington, WA5 0BT",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360077.59553982,389618.00226221,1.03,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Pending,,2016/29157,46.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2662.0,,"89 - 91 Bewsey Street, Warrington, WA2 7JQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360370.847628,388633.70401465,,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Prior Approval,2014/24308,2.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2664.0,,"1st 2nd 3rd Floors Kings Court, Horsemarket Street & Scotland Road, WA1 2AF",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360680.70526924,388339.24830172,0.22,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Prior Approval,2013/22769 and 2017/29933,30.0,See most recent planning history at warrington.gov.uk,2017.0,56 Day Prior Approval  (Class J (B1(a) Offices to C3 dwellinghouses),No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2672.0,,"Land south of Wilson Patten Street (inc former Mr Smiths), Warrington, WA1 1HN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360506.28924671,387800.96238446,3.4,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,300.0,Not applicable,2017.0,PDL,"Yes, multiple landholdings"
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2673.0,,"New Town House, Buttermarket Street, Warrington, WA1 2NH",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360806.55788189,388301.96897282,0.82,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,110.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2678.0,,"20 Dallam Lane, Warrington, WA2 7NG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360475.72480521,388569.97225767,0.27,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,9.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2679.0,,"25-29 Winwick Street, Warrington, WA2 7TT",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360655.69799892,388575.90056072,0.09,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,9.0,Not applicable,2017.0,,"The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9), Warrington Town Centre (CS7), in an area of archaeological potential, is within Winwick Street Conservation Area (QE8) and is a locally listed building."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2680.0,,"37-41 Winwick Street, Warrington, WA2 7TT",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360650.82516781,388607.25158658,0.07,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,7.0,Not applicable,2017.0,,"The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9), Warrington Town Centre (CS7), in an area of archaeological potential and within Winwick Street Conservation Area (QE8)."
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2681.0,,"Land bounded by Haydock Street, Ashton Street and John Street, Warrington, WA2 7UW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360695.6783002,388695.75625238,0.38,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,38.0,Not applicable,2017.0,PDL,"Yes, multiple landholdings / leaseholdings"
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2682.0,,"Land bounded by Winwick Road, Orford Lane and Bluecoat Street, Warrington, WA2 7AZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360692.47097143,388963.09972611,1.61,Orford,Not owned by a Public Authority,No,Not Permissioned,,,80.0,Not applicable,2017.0,PDL,"Yes, multiple landholdings / leaseholdings"
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2684.0,,"The Harrison Centre, Boulting Avenue, Dallam, WA5 0HG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359665.00443726,390552.36480371,1.14,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/28746,21.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2685.0,,"Orford Embankment 1, North of Fitzherbert Street, Orford, WA2 7PN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360944.21742203,389496.61700837,0.93,Orford,Owned by a Public Authority,No,Not Permissioned,,,17.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2686.0,,"Orford Embankment 2,  North of Fitzherbert Street, Orford, WA2 7QG",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361206.86384341,389558.29935199,0.63,Orford,Owned by a Public Authority,No,Not Permissioned,,,11.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2687.0,,"Orford Embankment 3, North of Fitzherbert Street, Orford, WA2 7RL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361400.97731691,389606.22563323,0.59,Orford,Owned by a Public Authority,No,Not Permissioned,,,11.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2690.0,,"James Phoenix House, Hilden Road, Orford, WA2 0JP",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362200.55036225,390211.67232592,0.52,Poplars & Hulme,Owned by a Public Authority,No,Not Permissioned,,,14.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2691.0,,"Holcroft Grange, Jackson Avenue, Culcheth, WA3 4DZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,365375.17921825,395138.95190681,0.47,"Culcheth, Glazebury & Croft",Owned by a Public Authority,No,Not Permissioned,,,15.0,Not applicable,2017.0,PDL,Yes
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2692.0,,"Former Fox Wood School, Chatfield Drive, Birchwood, WA3 6QW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,365135.09952911,391398.80251344,1.32,Birchwood,Owned by a Public Authority,No,Not Permissioned,,,23.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2697.0,,"Land adjacent St Heath Fire Station, Ackers Road, Stockton Heath, WA4 2 JB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,362484.55973694,386672.10551638,0.18,Grappenhall,Not owned by a Public Authority,No,Not Permissioned,,,5.0,Not applicable,2017.0,,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2704.0,,"Land at Boarded Barn Farm, Birchbrook Road, Lymm, WA13 9RZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,369945.42483165,388460.92347256,1.02,Lymm North & Thelwall,Not owned by a Public Authority,No,Not Permissioned,,,6.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2711.0,,"Land North of Farmers Arms, Rushgreen Road, Lymm, WA13 9RD",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,369751.67414084,388101.06648056,0.31,Lymm North & Thelwall,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/26780,10.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2712.0,,"93 Wellington Street, Warrington, WA1 2DA",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361283.60062708,388078.24301371,0.09,Fairfield & Howley,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2016/27998,9.0,See most recent planning history at warrington.gov.uk,2017.0,"Proposed Construction of 9 Apartments and manager's accommodation, with all matters for approval, except landscaping",The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2719.0,,"The Royal British Legion, 99 Greystone Road, Penketh, Warrington, WA5 2ER",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,356589.20912868,387998.89572663,0.85,Penketh & Cuerdley,Not owned by a Public Authority,Yes,Not Permissioned,,,26.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2720.0,,"Radley Cottage, Radley Lane, Houghton Green, Warrington, WA2 0SZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361873.04004519,391458.69536929,1.87,Poplars & Hulme,Not owned by a Public Authority,No,Not Permissioned,,,50.0,Not applicable,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2822.0,,"Top Farm, Higher Lane, Lymm, Warrington, WA13 0RW",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,370435.6184493,385938.29556729,0.3,Lymm South,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2015/25207,2.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2879.0,,"Units 1 & 2, Barsbank Lane, Lymm, Warrington, WA13 0ER",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,367293.89563215,387229.91584483,0.3,Lymm South,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2015/26712,7.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2905.0,,"20 Beatrice Street, Beatrice Street, WA4 1DR",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,361755.57265969,387443.92458547,0.41,Latchford West,Not owned by a Public Authority,Yes,Permissioned,Outline Planning,2016/27350,18.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2906.0,,"Warrington Baptist Church, 107 Sankey Street, WA1 1NN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360133.41460347,388115.77227107,0.12,Bewsey & Whitecross,Not owned by a Public Authority,Yes,Not Permissioned,,,16.0,Not applicable,2017.0,,The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located within the Town Hall Conservation Area (Policy QE8) and the Parker Street AQMA (Policy QE6).
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2907.0,,"Former station goods yard, Off Green Lane, Padgate, WA1 4HU",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363153.8360817,389998.54333346,0.82,Poulton North,Not owned by a Public Authority,Yes,Not Permissioned,,2016/29398,31.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,2908.0,,"Former Bayleaf PH, Harpers Road, Fearnhead, WA2 0PB",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,363373.69888102,390327.41919372,1.01,Poulton North,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/27896,93.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,3006.0,,"The Old Stables, Marsh Lane, Cuerdley, WA5 2UN",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,355319.49445429,386590.91875585,0.25,Penketh & Cuerdley,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/27379,2.0,See most recent planning history at warrington.gov.uk,2017.0,,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,3034.0,,"Old Barn at Agden Lane Farm, Agden Lane, Lymm, WA13 0UQ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,371384.14676849,386458.65661549,0.5,Lymm South,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/28830,2.0,See most recent planning history at warrington.gov.uk,2017.0,,
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,3048.0,,"Vacant Site at Ramswood Nurseries, Mill Lane, Walton, WA4 6TL",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,359540.71014116,385387.31328433,0.3,Appleton,Not owned by a Public Authority,Yes,Permissioned,Full Planning,2016/28929,1.0,See most recent planning history at warrington.gov.uk,2017.0,PDL,No
http://opendatacommunities.org/doc/geography/administration/ua/E06000007,E06000007,3150.0,,"Land at Stanley Street, Stanley Street, Warrington, WA1 1EZ",Polygon viewable on interactive map (see Legend on map). Search address to find,OSGB36,360548.71008607,387887.09772848,0.06,Bewsey & Whitecross,Not owned by a Public Authority,No,Not Permissioned,,,18.0,Not applicable,2017.0,,"The site lies within the LPCS priority regeneration area of Inner Warrington (Policy CS9) and forms part of the Town Centre Strategic Location (Policy CS7).  It is also located directly adjacent to Palmyra Square Conservation Area; in close proximity to locally listed buildings and in an area identified as being of archaeological potential (Policy QE8).  In addition, the there are TPO'd trees in close proximity to the western boundary of the site."
