OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPiP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,SHLAARef,PlanPermission,PPRN
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NMS0955_20150866,,"""21 Morledge Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=410&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459308.39,304656.2,0.1,not owned by a public authority,Yes,permissioned,full planning permission,2016-07-15,,,115,Planning permission for 115 flats,,,,,,,,2017-12-31,2017-12-31,410,20150866,NMS0955
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NRC9037_20161943,,"""188 Welford Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=434&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459288.26,302438.17,0.05,not owned by a public authority,Yes,permissioned,full planning permission,2017-02-22,,,13,Planning permission for 13 flats,,,,,,,,2017-12-31,2017-12-31,434,20161943,NRC9037
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MLW8504_20152315,,"""44 Abbey Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=425&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458784.82,305004.16,0.13,not owned by a public authority,Yes,permissioned,full planning permission,2019-01-29,,,11,Planning permission for 11 flats,,,,,,,,2017-12-31,2017-12-31,425,20152315,MLW8504
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LMR5420_20152055,,"""47 Vaughan Way - Kimberley House""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=369&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458252.48,304623.83,0.09,not owned by a public authority,Yes,permissioned,full planning permission,2015-12-23,,,54,Planning permission for 54 flats,,,,,,,,2017-12-31,2017-12-31,369,20152055,LMR5420
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,ORJ0995_20132156,,"""143-147 Queens Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=176&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459908.91,302394.86,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2014-12-31,,,41,Planning permission for 41 flats,,,,,,,,2017-12-31,2017-12-31,176,20132156,ORJ0995
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,OIH4966_20141915,,"""148 Melton Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=375&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459751.5,306862.65,0.12,not owned by a public authority,Yes,permissioned,full planning permission,2015-05-08,,,10,Planning permission for 10 flats,,,,,,,,2017-12-31,2017-12-31,375,20141915,OIH4966
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,JOB6819_20140575,,"""Westcotes Drive - Former Cherryleas Assessment Centre""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=381&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,457164.98,303918.19,0.67,not owned by a public authority,Yes,permissioned,outline planning permission,2015-05-29,,,23,Outline permission for 16 flats and 7 houses,,,,,,,,2017-12-31,2017-12-31,381,20140575,JOB6819
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MLN7820_20170050,,"""99 Burleys Way - Thames Tower""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=401&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458877.05,305219.03,0.16,not owned by a public authority,Yes,permissioned,full planning permission,2017-03-10,,,63,Planning permission for 63 flats,,,,,,,,2017-12-31,2017-12-31,401,20170050,MLN7820
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,RMJ1020_20162492,,"""Green Lane Road - Former Shield Engineering""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=429&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,461412.68,304810.93,2.7,not owned by a public authority,Yes,permissioned,full planning permission,2017-03-22,,,82,Planning permission for 82 dwellings,,,,,,,,2017-12-31,2017-12-31,429,20162492,RMJ1020
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NOM0916_20160758,,"""67-75 Princess Road East""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=437&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459206.8,303719.09,0.14,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-30,,,110,Planning permission for 110 flats,,,,,,,,2017-12-31,2017-12-31,437,20160758,NOM0916
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,OJB3239_20151804,,"""51 Melton Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=428&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459632.18,306438.1,0.07,not owned by a public authority,Yes,permissioned,full planning permission,2016-05-27,,,10,Planning permission for 10 flats,,,,,,,,2017-12-31,2017-12-31,428,20151804,OJB3239
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NNK0508_20160610,,"""Chatham Street & York Street (Rear of 91 Granby Street)""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=227&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459003.58,304207.63,0.09,not owned by a public authority,Yes,permissioned,full planning permission,2016-10-04,,,134,Planning permission for 134 flats,,,,,,,,2017-12-31,2017-12-31,227,20160610,NNK0508
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NOD1145_20140475,,"""2 Regent Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=358&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459311.87,303941.99,0.04,not owned by a public authority,Yes,permissioned,full planning permission,2015-01-20,,,12,Planning permission for 12 flats,,,,,,,,2017-12-31,2017-12-31,358,20140475,NOD1145
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MNR6473_20161647,,"""3 Welford Place""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=414&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458762.37,304171.34,0.02,not owned by a public authority,Yes,permissioned,full planning permission,2016-11-24,,,14,Planning permission for 14 flats,,,,,,,,2017-12-31,2017-12-31,414,20161647,MNR6473
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NGS5719_20131484,,"""241 Loughborough Road - Rear of Bestway""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=31&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459356.75,307619.1,2.7,not owned by a public authority,Yes,permissioned,full planning permission,2014-05-07,,,161,Planning permission for 161 dwellings,,,,,,,,2017-12-31,2017-12-31,31,20131484,NGS5719
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NNP0827_20161604,,"""38-44 York Street and 31-33 Dover Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=110&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459008.38,304126.87,0.08,not owned by a public authority,Yes,permissioned,full planning permission,2017-02-16,,,49,Planning permission for 49 flats,,,,,,,,2017-12-31,2017-12-31,110,20161604,NNP0827
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MKE9020,,"""Abbey Park Road Bus Depot (MHT)""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=68&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459057.37,305771.59,3.65,not owned by a public authority,Yes,not permissioned,,,,,400,,,,400,400,,,,2017-12-31,2017-12-31,68,,MKE9020
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MOC0876_20170098,,"""37 Welford Road 12 Norton Street""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=415&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458708.25,303976.48,0.15,not owned by a public authority,Yes,permissioned,full planning permission,2017-03-15,,,41,Planning permission for 41 flats,,,,,,,,2017-12-31,2017-12-31,415,20170098,MOC0876
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,KON3742_20171280,,"""52 Western Road""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=431&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,457838.9,303744.26,0.18,not owned by a public authority,Yes,permissioned,full planning permission,2016-11-28,,,279,Planning permission for 279 flats,,,,,,,,2017-12-31,2017-12-31,431,20171280,KON3742
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,LTG6915_20132190,,"""Milligan Road - LCCC""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=371&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458184.62,301331.53,0.13,not owned by a public authority,Yes,permissioned,full planning permission,2015-04-01,,,14,Planning permission for 14 flats,,,,,,,,2017-12-31,2017-12-31,371,20132190,LTG6915
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,NON9618_20161730,,"""14 West Walk""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=396&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,459397.16,303717.67,0.03,not owned by a public authority,Yes,permissioned,full planning permission,2016-04-11,,,12,Planning permission for 12 flats,,,,,,,,2017-12-31,2017-12-31,396,20161730,NON9618
http://opendatacommunities.org/id/unitary-authority/leicester,Leicester City Council,MJN5350,,"""Abbey Meadows - Bestway Holdings""",https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=370&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,OSGB36,458787.6,306328.2,1.97,not owned by a public authority,Yes,not permissioned,,,,,159,,,,159,159,,,,2017-12-31,2017-12-31,370,,MJN5350
