Organisation URL,Organisation Label,Site Reference,Alternative References,Previously Part Of,Site Name Address,Ward,Siteplan URL,Coordinate Reference System,GeoX,GeoY,Gross area (ha),Developable area (ha),Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Min Net Dwellings,Net Dwellings Range From,Net Dwellings Range To,Brownfield Coverage,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR34,HO252,"SHELAA 2017
Appendix 2b","Pitts car park, High Street",Westerham & Crockham Hill,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8454,OSGB36,544174.0,153665.0,0.13,N/A,Promoted,Unsuitable,Not Permissioned,,,,0,0,0,,"The site comprises a car park accessed via one of two bridges across the River Darent. Bounded by the A25 to the north, residential development to the west and fields and parkland to the south and east. Mature trees line the northern and southern boundaries of the site.","The site is located adjacent to Westerham urban confines. The two existing access points onto the A25 could be utilised. The site lies within the AONB but is considered to be well contained within the landscape. The site lies wholly within flood zones 2 and 3 and any development proposal would be subject to a flood risk assessment. The site also lies within the Conservation Area and is adjacent to a number of listed buildings, and concerns are raised over any impact a redevelopment would have. Overall the site is considered unsuitable for development given the flooding and heritage issues.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR35,HO96,"SHELAA 2017
Appendix 2c","Brasted Water Pumping Station, Coles Lane, Brasted","Brasted, Chevening & Sundridge",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8455,OSGB36,547038.0,155714.0,4.03,0.65,Promoted,Deliverable,Not Permissioned,,,,19,19,26,Partial*,"The site comprises a former water pumping station set in extensive grounds accessed down a long track. Bounded by Coles Lane to the south, Station Road and residential development to the west, residential development to the east and open countryside to the north.",The site is not connected to a settlement but is within walking distance of the facilities and services in Brasted. The existing access onto Coles Lane could be utilised for a small number of units. It is considered that development of the whole site would not conserve or enhance the AONB. Overall the previously developed portion of the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR36,HO116,"SHELAA 2017
Appendix 2c","Fonthill, Chevening Road, Chipstead","Brasted, Chevening & Sundridge",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8456,OSGB36,549731.0,156643.0,1.1,0.5,Promoted,Deliverable,Not Permissioned,,,,15,15,20,Partial*,"The site comprises a residential dwelling set in extensive grounds. Bounded by Chevening Road and residential development to the west, residential development to the south, and open countryside to the north and east. Mature trees line the boundary of the site.",The site is not connected to a settlement but is within walking distance of the facilities and services in Chipstead. The existing access onto Chevening Road could be utilised. The site lies within the AONB but is considered to be well contained. Overall the part of the site fronting Chevening Road is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR37,HO122,"SHELAA 2017
Appendix 2c","Heverswood Lodge, High Street, Brasted","Brasted, Chevening & Sundridge",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8457,OSGB36,546739.0,154901.0,0.68,0.68,Promoted,Deliverable,Not Permissioned,,,,20,20,27,Partial*,"The site comprises a residential dwelling fronting the road with a large rear garden. Bounded by the High Street to the north, residential development to the east and south, and open countryside to the west. The land slopes gently upwards from north to south and mature trees line the southern boundary.",The site is located adjacent to Brasted urban confines. The existing access onto the High Street could be utilised if improved. The site lies within the AONB but is considered to be well contained. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR38,HO253,"SHELAA 2017
Appendix 2c","Land opposite 209 Main Road, Sundridge","Brasted, Chevening & Sundridge",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8458,OSGB36,548034.0,155424.0,1.19,,Promoted,Unsuitable,Not Permissioned,,,,0,0,0,Partial*,"The site comprises two parcels of land either side of the River Darent. The southern parcel is mainly scrubland but contains a barn and hardstanding. The northern parcel is scrubland. Bounded by the A25 to the south, open countryside to the east and west, and the recreation ground to the north. Mature trees line the eastern and western boundaries of the site.","The site is located adjacent to Sundridge urban confines. The existing access onto the A25 could be utilised. The site lies within the AONB but is considered to be well contained within the landscape. The site lies wholly within flood zones 2 and 3 and any development proposal would be subject to a flood risk assessment. In addition the site lies within a conservation area and Coombe Bank registered park and garden.
Overall the site is considered unsuitable for this scale of development given the significant heritage constraints.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR39,MX7,"SHELAA 2017
Appendix 2c","Coblands Nursery, Dryhill Lane, Sundridge","Brasted, Chevening & Sundridge",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8459,OSGB36,549457.0,155515.0,8.29,1.8,Promoted,Deliverable,Not Permissioned,,,,TBC,TBC,,Partial*,"The site comprises a large horticultural nursery containing a number of glasshouses and polytunnels and a car park. Bounded by Dryhill Lane to the east, the A25 to the north, and open countryside to the west and south.","The site is isolated and not connected to a settlement. The existing access onto Dryhill Lane could be utilised. Given its rural location, proximity to the highway network and adjacent uses it is considered that the site is best suited to employment use, and redevelopment could contribute to improving the character of the AONB. Overall the previously developed part of the site is considered able to accommodate employment development however it is located within the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR40,HO39,"SHELAA 2017
Appendix 2c","Land at Green Court Sports Club, Green Court Road, Crockenhill",Crockenhill & Well Hill,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8460,OSGB36,550575.0,168010.0,2.29,,Promoted,Unsuitable,Not Permissioned,,,,0,0,0,Partial*,"The site comprises a sports club containing a club house, football pitch and area of hardstanding for car parking. Bounded by Green Court Road and residential development to the south, the A20 to the east, railway line to the north and open countryside to the west. Mature trees line the boundaries of the site.",The site is not connected to a settlement but is within walking distance of the facilities and services in Crockenhill. The site is identified in the Open Spaces Study as an outdoor sports facility which forms an important part of the green infrastructure network. The loss of this use is not supported and would need to be clearly demonstrated.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR41,HO97,"SHELAA 2017
Appendix 2c","Middle Farm Nursery, Cray Road, Crockenhill",Crockenhill & Well Hill,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8461,OSGB36,550095.0,167004.0,1.95,1,Promoted,Developable,Not Permissioned,,,,30,30,40,Partial*,"The site comprises a horticultural nursery containing a number of glasshouses and polytunnels, a brick barn in B2 use, and a listed barn used for B8 storage. Bounded by Cray Road to the north, residential development to the east and open countryside to the south and west. Trees and hedges line the south and west boundaries of the site.",The site is located adjacent to Crockenhill urban confines and benefits from two points of access onto Cray Road. The western access could be utilised if improved. Concerns are raised over any impact a redevelopment would have on the setting of the listed buildings. Overall the eastern half of the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR42,HO41,"SHELAA 2017
Appendix 2c","Land at Meadow View, London Road, Dunton Green",Dunton Green & Riverhead,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8462,OSGB36,550721.0,158059.0,0.41,0.41,Promoted,Deliverable,Not Permissioned,,,,12,12,16,Partial*,"The site comprises two residential dwellings, their gardens and an area of scrubland. Bounded by London Road to the west, Donnington Manor to the north, open countryside to the east and residential development to the south. Mature trees line the north and south boundaries of the site.","The site is not connected to a settlement but is within walking distance of the services and facilities in Dunton Green. The existing access onto London Road could be utilised. The site lies within the AONB but is considered to be well contained. Concerns are raised over any impact development of this site would have on the setting of the adjacent listed building. Overall the site is considered able to accommodate development, however it is located within the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR43,HO62,"SHELAA 2017
Appendix 2c","Gabriels Farmhouse, Mill Hill, Edenbridge",Edenbridge South & West,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8463,OSGB36,544582.0,145189.0,0.26,0.2,Promoted,Deliverable,Not Permissioned,,,,6,6,8,Partial*,"The site comprises a residential dwelling and garden. Bounded by Mill Hill to the east, Blossoms Park to the north, and open countryside to the east and south. Mature trees line the northern and western boundaries of the site.",The site is located adjacent to Edenbridge urban confines. The existing access onto Mill Hill could be utilised. A small part of the site lies within the flood zone therefore the developable area has been reduced to reflect this. Concerns are raised over any impact the development of this site may have on the setting of the adjacent conservation area. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR44,HO135,"SHELAA 2017
Appendix 2c","Land at Mote Cottages, High Street, Eynsford",Eynsford,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8464,OSGB36,554259.0,165881.0,0.48,0.35,Promoted,Deliverable,Not Permissioned,,,,10,10,14,Partial*,"The site comprises two residential dwellings, a B2 workshop to the north and area of grassland to the south. Bounded by the High Street to the south, residential development to the west, school to the east and open countryside to the north. Mature trees line the northern and eastern boundaries of the site.",Partially located within Eynsford urban confines the site is considered sustainable. The existing access onto the High Street could be utilised. A small part of the site lies within the flood zone therefore the developable area has been reduced to reflect this. The site also lies within the AONB but is considered to be well contained within the landscape. Concerns are raised over any impact the development of this site may have on the setting of the adjacent conservation area and listed building. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR45,HO85,"SHELAA 2017
Appendix 2c","Lincoln Kennels and Cattery, Gorse Hill, Farningham","Farningham, Horton Kirby & South Darenth",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8465,OSGB36,555964.0,165902.0,1.85,0.6,Promoted,Deliverable,Not Permissioned,,,,18,18,24,Partial*,"The site comprises a kennels and cattery business containing a residential dwelling, a number of kennel and cattery structures and an extensive area of grassland. Bounded by Gorse Hill and Donkey Lane to the north, east and south, and open countryside and a single residential dwelling to the west.",The site is isolated and not connected to a settlement. The existing access onto Gorse Hill could be utilised if improved. It is considered that development of the whole site would not conserve or enhance the AONB. Overall the previously developed portion of the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR46,HO281,"SHELAA 2017
Appendix 2c","Oak View Stud Farm, Lombard Street, Horton Kirby","Farningham, Horton Kirby & South Darenth",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8466,OSGB36,556512.0,168008.0,7.96,1.5,Promoted,Developable,Not Permissioned,,,,45,45,60,Partial*,"The site comprises a former stud farm containing a number of workshops in varying commercial uses and a large number of storage containers. To the rear is a large agricultural field used for grazing horses. Bounded by Lombard Street to the west, residential development to the north, and open countryside to the east and south.",The site is located adjacent to Horton Kirby urban confines. The existing access onto Lombard Street could be utilised. Redevelopment of this site could contribute to improving the character of the area. Overall the previously developed part of the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR47,HO50,"SHELAA 2017
Appendix 2c","Land north of Salts Farm, Fawkham Road, Fawkham",Fawkham & West Kingsdown,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8467,OSGB36,559800.0,168914.0,0.83,0.83,Promoted,Deliverable,Not Permissioned,,,,24,24,33,,"The site comprises a former oil/coach depot (now demolished). Bounded by Fawkham Road to the west, railway line to the north, woodland to the east and farm to the south. Hedges line the western boundary.",The site is not connected to a settlement but is within walking distance of the services and facilities in Longfield. The existing access onto Fawkham Road could be utilised. The presence of ancient woodland would require protection and a buffer between the woodland and any future development. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR48,HO51,"SHELAA 2017
Appendix 2c","Eureka Naturist Club, Manor Lane, Fawkham",Fawkham & West Kingsdown,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8468,OSGB36,559427.0,166666.0,5.97,0.2,Promoted,Deliverable,Not Permissioned,,,,6,6,8,Partial*,"The site comprises a naturist retreat containing a single storey permanent building, a number of log cabins and caravans, hardstanding and an open air swimming pool. The site is fully enclosed by woodland with access onto Manor Lane via a track to the west. Bounded by Fawkham golf course to the south and east, and open countryside to the north.","The site is isolated and not connected to a settlement. There is existing access onto Manor Lane however this is a narrow rural lane. The site is almost entirely designated as ancient woodland which would require protection and a buffer between the woodland and any future development. Overall the previously developed portion of the site is considered able to accommodate development, subject to the ancient woodland being protected, however it is located within the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR49,HO76,"SHELAA 2017
Appendix 2c","Land rear of The Copse, London Road, West Kingsdown",Fawkham & West Kingsdown,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8469,OSGB36,557856.0,162541.0,0.39,0.39,Promoted,Deliverable,Not Permissioned,,,,11,11,15,Partial*,"The site comprises a mix of uses including commercial, equestrian and grazing land. The western portion of the site contains a number of buildings and hardstanding. Bounded by residential development and the A20 to the north, and open countryside to the west, south and east. Mature trees line the southern boundary of the site.",The site is located adjacent to West Kingsdown urban confines. The existing access onto the A20 could be utilised. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR50,HO77,"SHELAA 2017
Appendix 2c","Millview Park and Foxlands, London Road, West Kingsdown",Fawkham & West Kingsdown,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8470,OSGB36,558359.0,162382.0,1.66,1.66,Promoted,Deliverable,Not Permissioned,,,,49,49,66,,"The site comprises a single residential dwelling and a mobile home park containing approximately 24 mobiles homes. Bounded by the A20 to the south, residential development to the east and west, and open countryside to the north. Mature trees line the northern boundary of the site.",The site is located adjacent to West Kingsdown urban confines. The existing access onto the A20 could be utilised. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR51,HO155,"SHELAA 2017
Appendix 2c","Oakland, London Road, West Kingsdown",Fawkham & West Kingsdown,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8471,OSGB36,558448.0,162315.0,0.53,0.53,Promoted,Deliverable,Not Permissioned,,,,15,15,21,Partial*,"The site comprises a parcel of land mainly used for grazing, and an area of hardstanding containing a stable block and workshop. Bounded by the A20 to the south, residential development to the east, the M20 motorway to the west and open countryside to the north. Mature trees line the eastern boundary of the site.",The site is located adjacent to West Kingsdown urban confines when considered alongside site HO77. The existing access onto the A20 could be utilised. Concerns are raised over potential noise and air quality issues from the M20 motorway. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR52,HO162,"SHELAA 2017
Appendix 2c","Land at Corinthians Sports Club, Valley Road, Fawkham",Fawkham & West Kingsdown / Hartley & Hodsoll Street,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8472,OSGB36,559887.0,167295.0,33.18,,Promoted,Unsuitable,Not Permissioned,,,,0,0,0,Partial*,"The site comprises the Corinthians Sports Club containing sports pitches, a golf course, and a number of associated buildings. The site also includes the Gay Dawn Farm complex containing a number of buildings in commercial and agricultural use. Bounded by Valley Road to the west, sporadic residential development to the north and east, and open countryside to the south.","The site is isolated and not connected to a settlement. Although it is located close to the urban confines of Hartley, the existing access is onto Valley Road to the west and it is not possible to see how the site could be integrated into Hartley. The site is identified in the Open Spaces Study as an outdoor sports facility which forms an important part of the green infrastructure network. The loss of this use is not supported and would need to be clearly demonstrated. Overall the site is considered unsuitable for this scale of development given its rural location, encroachment into the countryside, and loss of sports facilities.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR53,HO172,"SHELAA 2017
Appendix 2c","Stanwell House, Botsom Lane, West Kingsdown",Fawkham & West Kingsdown,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8473,OSGB36,556548.0,163654.0,0.8,0.15,Promoted,Deliverable,Not Permissioned,,,,4,4,6,Partial*,"The site comprises a large building (formerly a hotel and then flats) set in extensive grounds which are used for the storage of caravans. Bounded by Botsom Lane to the north, a residential dwelling to the west, caravan site to the east and open countryside to the south. Mature trees line the boundaries of the site.","The site is isolated and not connected to a settlement. There is existing access onto Botsom Lane however this is a narrow steep rural lane suitable to serve a limited number of units only. The site lies within the AONB but is considered to be well contained within the landscape. Overall the previously developed portion of the site (Stanwell House) is considered able to accommodate development, however it is located within the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR54,HO265,"SHELAA 2017
Appendix 2c","101 Brands Hatch Park, Scratchers Lane, Fawkham",Fawkham & West Kingsdown,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8474,OSGB36,557489.0,165184.0,0.17,0.17,Promoted,Deliverable,Not Permissioned,,,,5,5,6,Partial*,"The site comprises a semi-detached residential dwelling and garden. Bounded by Scratchers Lane to the north, residential development to the east and west, and a vehicle yard to the south. Mature trees line the western and southern boundaries of the site.",The site is isolated and not connected to a settlement. The existing access onto Scratchers Lane could be utilised. Located close to Brands Hatch race circuit concerns are raised regarding potential noise issues. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR55,HO1,"SHELAA 2017
Appendix 2c","New Pillinge, Main Road, Knockholt","Halstead, Knockholt & Badgers Mount",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8475,OSGB36,547853.0,159560.0,1.24,1.24,Promoted,Deliverable,Not Permissioned,,,,37,37,49,Partial*,"The site comprises a parcel of land containing a residential dwelling, garden and land to the rear. Bounded by Main Road to the south, residential development to the east and west, and Pound Lane to the north, beyond which is open countryside. Mature trees line the eastern and western boundaries of the site and the topography is very flat.",The site is located adjacent to Knockholt urban confines. The existing access onto Main Road could be utilised if improved. Given the close proximity of the site to existing residential units there are some concerns over amenity impacts which could be addressed through high quality design. Overall the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR56,HO138,"SHELAA 2017
Appendix 2c","Deer Leap Stud Farm, Knockholt Road, Halstead","Halstead, Knockholt & Badgers Mount",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8476,OSGB36,548512.0,160762.0,0.83,0.42,Promoted,Deliverable,Not Permissioned,,,,12,12,16,Partial*,"The site comprises two residential dwellings and their gardens, an indoor swimming pool and a stable block. Bounded by residential development to the east, an industrial site allocated for housing to the south, and open countryside to the north and west.",The site is located adjacent to Halstead urban confines. The existing access onto Knockholt Road could be utilised. Alternatively access could be made through the adjacent Warren Court Farm site which is already allocated for housing development. Overall the previously developed portion of the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR57,HO251,"SHELAA 2017
Appendix 2c","Warren Court Farm and adjoining land, Knockholt Road, Halstead","Halstead, Knockholt & Badgers Mount",http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8477,OSGB36,548456.0,160569.0,5.49,2,Promoted,Deliverable,Not Permissioned,,,,60,60,80,Partial*,"The site comprises a mix of uses including an existing industrial estate that is already allocated for 25 residential units, a residential dwelling and garden, and a large agricultural field. Bounded by Knockholt Road to the east, residential development to the north, and open countryside to the west and south. Mature trees line the southern and western boundaries of the site.","Partially located within Halstead urban confines the site is considered sustainable.
The existing access onto Knockholt Road could be utilised. Development in the southern part of the site would create an unnatural extension to the settlement. Overall the northern portion of the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR58,HO2,"SHELAA 2017
Appendix 2c","Grosvenor, Church Road, Hartley",Hartley & Hodsoll Street,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8478,OSGB36,561022.0,166076.0,0.63,0.63,Promoted,Deliverable,Not Permissioned,,,,18,18,25,Partial*,"The site comprises a parcel of land east of New Ash Green at the edge of the settlement containing a residential bungalow, garden and outbuilding. Bounded by Church Street to the south, woodland to the north, and residential development to the east and west. A row of mature trees line the western boundary.","The site is located adjacent to New Ash Green urban confines. The existing access onto Church Street could be utilised however this is a narrow rural lane and considered suitable for a limited number of units only. Overall the site is considered able to accommodate development, however it is located in the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR59,HO66 / HO168,"SHELAA 2017
Appendix 2c","Land rear of Olinda (wider), Ash Road, Hartley",Hartley & Hodsoll Street,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8479,OSGB36,560262.0,167105.0,2.53,0.93,Promoted,Deliverable,Not Permissioned,,,,27,27,37,Partial*,"The site comprises two parcels of land south of Hartley at the edge of the settlement. One contains a residential dwelling, outbuilding, garden and scrubland to the rear. The other comprises a rectangular parcel of overgrown scrubland. Bounded by Ash Road to the east, residential development to the north, and open countryside to the west and south.","The site is located adjacent to the urban confines of Hartley which has adequate facilities/services and transport links. The existing access onto Ash Road could be utilised for the eastern parcel but it is not possible to see how access could be achieved to the western parcel without third party involvement. Overall the eastern parcel is considered able to accommodate development, however it is located in the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR60,HO142,"SHELAA 2017
Appendix 2c","Heathwood, Castle Hill, Hartley",Hartley & Hodsoll Street,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8480,OSGB36,560171.0,167687.0,1.56,,Promoted,Unsuitable,Not Permissioned,,,,0,0,0,Partial*,"The site comprises a residential dwelling and garden, and woodland to the rear. Bounded by Castle Hill to the north, residential development to the east and west, and sports fields to the south.",The site is located adjacent to the urban confines of Hartley. The existing access onto Castle Hill could be utilised however Castle Hill is a narrow single track lane and not considered suitable for this scale of development. Overall the site is considered unsuitable for development given the inadequate access and encroachment into the countryside.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR61,HO271,"SHELAA 2017
Appendix 2c","Park House and land to the rear, Church Road, Hartley",Hartley & Hodsoll Street,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8481,OSGB36,561260.0,166912.0,1.02,0.25,Promoted,Deliverable,Not Permissioned,,,,7,7,10,Partial*,"The site comprises a residential dwelling and garden with stables and paddock to the rear. Bounded by Church Road to the south, residential development to the west, and open countryside to the north and east. Mature trees line the northern boundary of the site.",The site is not connected to a settlement but is within walking distance of the facilities and services in Hartley. The existing access onto Church Road could be utilised. Overall the part of the site fronting Church Road is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR62,HO20 / HO58 / HO123,"SHELAA 2017
Appendix 2c","Saunders Nursery, College Road, Hextable",Hextable,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8482,OSGB36,551261.0,170110.0,2.57,0.6,Promoted,Deliverable,Not Permissioned,,,,18,18,24,Partial*,"The site comprises a former horticultural college containing a number of horticultural buildings/workshops in a poor state of repair, three residential dwellings and their gardens, and an undeveloped field used for grazing horses. Bounded by Hextable
Gardens to the south, residential development to the east and west, and open countryside to the north. Mature trees and hedges line the western and northern boundaries of the site.","The site is located adjacent to Hextable urban confines. The existing access onto Crawfords could be utilised however it is narrow and may require improvement.
Overall the southeastern portion of the site containing permanent buildings is
considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR63,HO212 / HO232,"SHELAA 2017
Appendix 2c","Egerton Nursery, Egerton Avenue, Hextable",Hextable,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8483,OSGB36,551794.0,169803.0,1.22,0.54,Promoted,Deliverable,Not Permissioned,,,,16,16,21,Partial*,"The site comprises a former horticultural nursery containing a storage building/shed, polytunnel, residential dwelling and a number of containers. The site is also used for the parking of vehicles. Bounded by Egerton Avenue to the north, residential development to the east, and open countryside to the south and west.",The site is located adjacent to Hextable urban confines. The existing access onto Egerton Avenue is narrow but could be utilised if improved. It is important to retain the gap between Hextable and Swanley and to avoid encroachment here. Overall the northern portion of the site is considered able to accommodate development however it is located within the Green Belt so this designation would need to change in order for it to be developed.,2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR64,HO225,"SHELAA 2017
Appendix 2c","Oasis Academy, Egerton Avenue, Hextable",Hextable,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8484,OSGB36,551453.0,169834.0,15.42,2.3,Promoted,Developable,Not Permissioned,,,,69,69,92,Partial*,"The Oasis Academy School occupies this site, which comprises school buildings, car parking and scrubland in the east, and playing fields in the west. There is also a dance studio on the site. The site is dissected by the avenue of limes. Bounded by College Road to the north, Egerton Avenue to the east, and Swanley Park to the south and west.","The site is located adjacent to Hextable urban confines. The existing access onto Egerton Avenue could be utilised. A new access could also be made onto College
Road. The playing fields and avenue of limes provide important open space and are not suitable for development. It is important to retain the gap between Hextable and
Swanley and to avoid encroachment here. The dance studio is an important community facility and should be retained. Overall the north eastern part of the site
is considered able to accommodate development however it is located in the Green Belt so this designation would need to change in order for it to be developed.",2017-11-01,2017-12-01
http://opendatacommunities.org/id/district-council/sevenoaks,Sevenoaks District Council,BFR65,MX39,"SHELAA 2017
Appendix 2c","The Mount and land to the rear, Church Street, Shoreham",Otford & Shoreham,http://cds.sevenoaks.gov.uk/mgAi.aspx?ID=8485,OSGB36,552141.0,161911.0,10.96,,Promoted,Unsuitable,Not Permissioned,,,,0,0,0,Partial*,"The site comprises a large estate containing a residential dwelling, garden, tennis court, vineyards and agricultural fields. Bounded by Church Street to the south, residential development to the west, and open countryside to the north and east. Mature trees line the boundaries of the site.","The site is located adjacent to Shoreham urban confines. There is existing access onto Church Street however this is a narrow rural lane and not considered suitable for further development. It is difficult to see how an additional access could be achieved without third party involvement. The site forms part of an open landscape and sits within the AONB. It is considered that development of this site would not conserve or enhance the AONB. The site lies partly within flood zones 2 and 3 and any development proposal would be subject to a flood risk assessment. Further, concerns are raised over any impact development would have on the setting of the adjacent listed buildings and conservation area. Overall the site is considered unsuitable for development given the access issues, impact on the AONB and risk of flooding.",2017-11-01,2017-12-01
