OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable - mandatory if yes,PlanningStatus,PermissionType - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,PermissionDate -  - mandatory if ‘ PlanningStatus’ field contains the value ‘permissioned’.,PlanningHistory,ProposedForPIP - mandatory if yes,MinNetDwellings,DevelopmentDescription - mandatory where relevant,NonHousingDevelopment - mandatory where relevant,Part2 - mandatory where relevant,NetDwellingsRangeFrom - mandatory where relevant,NetDwellingsRangeTo - mandatory where relevant,Hazardous Substances - mandatory where relevant,SiteInformation - mandatory where relevant,Notes,FirstAddedDate,LastUpdatedDate,X,Y
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0524,,"Remainder of Leigh Street employment area, Desborough road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485602.575&StartNorthing=193231.825&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.764604,51.6313,1.23,not owned by a public authority,,not permissioned,,,,,228,,,,,,,,,,,485602.58,193231.83
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0526,,"Garages at Havenfield Road, High Wycombe, HP12 4ST",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=483798.375&StartNorthing=191770.125&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.791014,51.6185,0.03,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,,,,483798.38,191770.13
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0543,,"185 - 197 Gordon Road, High Wycombe, Bucks, HP13 6AP",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487653.55&StartNorthing=192647.925&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.735124,51.6258,0.08,not owned by a public authority,yes,permissioned,Full planning permission,2013-05-09,,,14,"Redevelopment of site for erection of 1 block comprising 2 x 1 bed and 12 x 2 bed apartments including bin and cycle stores, associated on site car parking and site works",,,,,,,12/07667/FUL,,,487653.55,192647.92
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0548,,"Victoria Pharmacy, 19 Desborough Avenue, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485804.73&StartNorthing=193395.551&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.761643,51.6328,0.06,not owned by a public authority,yes,permissioned,Full planning permission,2014-02-08,,,9,"Demolition of existing retail/office premises and erection of part three/part four storey building incorporating 3 x retail units, 1 x office suite and 2 x 1-bed & 6 x 2-bed self contained flats with associated bin & cycle stores.",280m2 A1 retail and 226m2 A2 Financial and Professional Services,,,,,,"16/08119/FUL, 14/06330/FUL, 13/07187/FUL",,,485804.73,193395.55
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0550,,"Sunnyside and St.Johns House, 16-18 St.Johns Road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489881.365&StartNorthing=193998.785&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.702602,51.6376,0.09,not owned by a public authority,,not permissioned,,,,,5,,,,,,,,13/07334/PAJ. Has a prior notification approval for part of the site.,,,489881.36,193998.79
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0561,,"Notcutts Garden Centre, Clay Lane, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=482944.9&StartNorthing=190444.89&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.803652,51.6067,0.91,not owned by a public authority,yes,not permissioned,,,,,15,,,,,,,,,,,482944.9,190444.89
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0564,,"Delafield Heights North, (Longland Way / Pettifer Way, also known as Castlefield Estate, High Wycombe)",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=484708.745&StartNorthing=192611.399&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.777665,51.6259,1.74,not owned by a public authority,yes,not permissioned,,,,,32,,,,,,,,,,,484708.75,192611.4
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0583,,"The Nag's Head and land to rear, 63 London Road, High Wycombe,",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487455.65&StartNorthing=192705.79&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.737968,51.6263,0.1,not owned by a public authority,yes,permissioned,Full planning permission,2015-07-30,,,8,"Change of use of former Public House, construction of 3-storey rear extension and associated landscaping works to create 13 x 1 bed flats. Erection of three storey block comprising 8 x 1 bed flats.",,,,,,,"14/06780/FUL, 14/06781/FUL",,,487455.65,192705.79
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0584,,"1-9 Shaftesbury Street, High Wycombe, HP11 2NA",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485595.625&StartNorthing=193509.475&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.764636,51.6338,0.03,not owned by a public authority,,not permissioned,,,,,9,,,,,,,,,,,485595.63,193509.48
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0589,,"7-8 High Street, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486606.285&StartNorthing=193021.105&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.750157,51.6293,0.06,not owned by a public authority,yes,not permissioned,,,,,14,,,,,,,,16/05538/FUL,,,486606.28,193021.11
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0596,,"17-19 Frogmoor, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486380.75&StartNorthing=193241.15&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.753361,51.6313,0.04,not owned by a public authority,yes,not permissioned,,,,,11,,,,,,,,15/07782/FUL,,,486380.75,193241.15
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0597,,"The Gordon Arms, Gordon Road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487616.66&StartNorthing=192830.375&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.735611,51.6274,0.11,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,14/07956/FUL,,,487616.66,192830.38
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0600,,"27 High Street, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=486690.065&StartNorthing=192914.475&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.748974,51.6283,0.01,not owned by a public authority,yes,not permissioned,,,,,5,,,,,,,,"15/07328/FUL, 16/06154/FUL",,,486690.07,192914.48
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0603,,"Rear of 154-156 West Wycombe Road, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485241.525&StartNorthing=193858.122&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.769667,51.637,0.1,not owned by a public authority,yes,permissioned,Full planning permission,2016-02-25,,,11,"Erection of single building comprising 2 x 1 bed and 8 x 2 bed apartments and one studio flat, alteration to existing access, new parking and landscaping.",,,,,,,15/05788/FUL,,,485241.53,193858.12
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHW0651,,"Wycombe Summit, High Wycombe",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487788.891&StartNorthing=191331.09&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.733499,51.6139,3.91,not owned by a public authority,yes,permissioned,Full planning permission,2016-11-29,,,30,"Erection of 30 dwellings of private and affordable tenure (6 x 2 bed houses, 5 x 3 bed houses, 4 x 4 bed houses, 6 x 5 bed houses, and 9 x 2 bed apartments) with associated vehicle and cycle parking.",,,,,,,16/06045/FUL,,,487788.89,191331.09
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SHZ0005,,"Highbury Works/Hazlemere Coach Works, Chestnut Lane, Hazlemere, High Wycombe, Bucks",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=489677.625&StartNorthing=196229.8&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.704974,51.6577,0.62,not owned by a public authority,,not permissioned,,,,,14,,,,,,,,,,,489677.63,196229.8
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SLW0031,,"Burleighfield House (Mayflower House), London road, Loudwater",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=490575.65&StartNorthing=190600.755&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.69345,51.6069,0.09,not owned by a public authority,yes,permissioned,Full planning permission,2016-04-26,,,11,"Prior notification application (Part 3, Class O) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 11 x apartments.",,,,,,,16/05582/PNP3O,,,490575.65,190600.76
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0044,,Foxes Piece Marlow Buckinghamshire,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485306.315&StartNorthing=187027.665&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.770391,51.5756,1.57,not owned by a public authority,,not permissioned,,,,,10,,,,,,,,,,,485306.32,187027.67
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SMA0100,,"Regal House, 4-6 Station Road, Marlow SL7 1NZ",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=485070.965&StartNorthing=186399.805&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.773938,51.57,0.21,not owned by a public authority,yes,permissioned,Full planning permission,2014-05-12,,,12,Prior notification application (Class J) for change of use of existing building falling within Class B1(a) (offices) to Class C3 (dwellinghouses) to create 12 x 2 bed apartments,,,,,,,14/05668/PAJ,,,485070.97,186399.8
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SPR0032,,Land at Princes Risborough Railway Station,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=480037.27&StartNorthing=202757.835&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.842814,51.7178,2.02,not owned by a public authority,yes,not permissioned,,,,,45,,,,,,,,,,,480037.27,202757.83
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0008,,Coal Yard Smalldean Lane Saunderton Buckinghamshire,https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=481509.122&StartNorthing=198086.345&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.822603,51.6756,0.67,not owned by a public authority,yes,not permissioned,,,,,6,,,,,,,,15/08368/OUT,,,481509.12,198086.35
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0126,,"Former Molins Factory, Haw Lane, Saunderton, HP14 4JE",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=480793.05&StartNorthing=198498.405&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.832861,51.6794,10.32,not owned by a public authority,,not permissioned,,,,,20,,,,,,,,,,,480793.05,198498.41
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SRD0148,,"Uplands House Hotel, Four Ashes Road, Cryers Hill, Bucks, HP15 6LB",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=487385.23&StartNorthing=196177.437&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.738119,51.6576,7.61,not owned by a public authority,yes,permissioned,Full planning permission,2016-08-26,,,59,"Demolition of former coach house block and erection of new two storey building providing 1 x 1-bed, 10 x 2-bed & 2 x 3-bed self-contained flats.",,,,,,,16/05053/FUL,,,487385.23,196177.44
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SWC0012,,"Westside Fruit / The Apple Orchard, Clay Lane, Booker",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=483332.452&StartNorthing=190605.505&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.798019,51.6081,0.63,not owned by a public authority,,not permissioned,,,,,11,,,,,,,,03/05990/OUT,,,483332.45,190605.51
http://opendatacommunities.org/id/district-council/wycombe,Wycombe District Council,SWC0068,,"Water Research Centre Laboratries, Medmenham",https://mywycombe.wycombe.gov.uk/mywycombe.aspx?MapSource=Wycombe/AllMaps&StartEasting=480445.826&StartNorthing=183798.555&StartZoom=300&o=1&Layers=brownfield&ZoomPin=1,ETRS89,-0.841252,51.5473,3.31,not owned by a public authority,yes,permissioned,reserved matters approval,2013-08-30,,,5,"Outline application ( including details of access, appearance, landscaping, layout and scale) for erection of three storey dwelling house and 4 staff dwellings.",,,,,,,"11/05434/OUT, 16/07321/REM",,,480445.83,183798.55
