LA SITE REF,NAME AND ADDRESS OF SITE,TOWNSHIP,PLAN OF SITE,GeoX,GeoY,COORDINATE REFERENCE SYSTEM,AREA (HA),LOCAL AUTHORITY,OPEN DATA WEBSITE,OWNERSHIP STATUS,LAND DELIVERABLE?,PLANNING STATUS,IF PERMISSIONED,,DESCRIPTION OF PROPOSED HOUSING DEVELOPMENT,MINIMUM NET DWELLINGS,MAXIMUM NET DWELLINGS,SCALE OF NON HOUSING DEVELOPMENT,DATE ENTERED ON REGISTER,DATE LAST UPDATED
SH 1062,"R/O Dicken Green Ph, Off Queensway, Roch",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.601321/-2.1574355,389679,411651,British Coordinate Systems,0.15,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 5 properties,5,5,Unknown,29/11/2017,05/12/2018
SH 1159,"23 & 25, Drake Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/20/53.61642/-2.15558,389429,412858,British Coordinate Systems,0.02,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 8 properties,8,8,,05/12/2018,05/12/2018
SH 1467,"Gowers Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.621475/-2.1413037,390751,413891,British Coordinate Systems,1.3,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 52 properties,52,52,Unknown,29/11/2017,05/12/2018
SH 1473,"Land At Newchurch Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.592986/-2.1724674,388682,410726,British Coordinate Systems,2.49,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 116 properties,116,116,Unknown,29/11/2017,05/12/2018
SH 1556,"Queensway Neighbourhood Centre, Well'I'Th Lane, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.604476/-2.1498911,390179,412001,British Coordinate Systems,1.46,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 58 properties,58,58,Unknown,29/11/2017,05/12/2018
SH 1635,"West Street Baptist Church, West Street,  Rochdale (Western Part)",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.620709/-2.1502964,390156,413807,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1715,"806-810 Manchester Road, Rochdale, Ol11 3Aw",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.592157/-2.1796856,388204,410635,British Coordinate Systems,0.03,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 8 properties,8,8,Unknown,05/12/2018,05/12/2018
SH 1717,"Conservative Club, Newchurch Street,  Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.589484/-2.176109,388440,410337,British Coordinate Systems,0.02,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1722,"Land At Bridgefold Road,  Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.620117/-2.1757982,388469,413745,British Coordinate Systems,0.7,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 24 properties,24,24,Unknown,29/11/2017,05/12/2018
SH 1739,"Burnedge Mill, Broad Lane, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.589891/-2.1239005,391896,410375,British Coordinate Systems,0.24,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1745,"Land Between Lincoln St And Hare St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.609401/-2.1508608,390116,412549,British Coordinate Systems,1.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 41 properties,41,41,Unknown,29/11/2017,05/12/2018
SH 1775,"Land At Greenbooth Road,  Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/17/53.628876/-2.2169186,385752,414727,British Coordinate Systems,5.3,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 60 properties,60,60,Unknown,29/11/2017,05/12/2018
SH 1779,"201 Shaw Road, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.585261/-2.1331164,391285,409861,British Coordinate Systems,0.12,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 6 properties,6,6,Unknown,29/11/2017,05/12/2018
SH 1780,"33-41 Maclure Road,  Rochdale, Ol11 1Dn",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.610799/-2.1537527,389925,412705,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 15 properties,15,15,Unknown,29/11/2017,05/12/2018
SH 1791,"Norton Grange Hotel, Manchester Road, Rochdale, Ol11 2Xz",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.58109/-2.175636,388469,409403,British Coordinate Systems,0.48,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 14 properties,14,14,Unknown,29/11/2017,05/12/2018
SH 1811,"Site Of Former Sunbank, Shawclough Road,  Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.629687/-2.1713924,388763,414809,British Coordinate Systems,0.4,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 14 properties,14,14,Unknown,29/11/2017,05/12/2018
SH 1840,"206-208 Drake Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.612165/-2.1612547,389429,412858,British Coordinate Systems,0.33,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 17 properties,17,17,Unknown,29/11/2017,05/12/2018
SH 1882,"Land At Milnrow Road, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.613369/-2.1397046,390855,412989,British Coordinate Systems,0.43,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 17 properties,17,17,Unknown,29/11/2017,05/12/2018
SH 2036,"3 Whitehall Street And 20 Eastgate Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.619813/-2.1548739,389853,413708,British Coordinate Systems,0.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 5 properties,5,5,,28/11/2017,05/12/2018
SH 2059,"Land Adjacent 167 Spotland Road, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.62017/-2.1701141,388845,413750,British Coordinate Systems,0.08,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 5 properties,5,5,,28/11/2017,05/12/2018
SH 2064,"Wr Anderton And Co, Maltings Lane, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.592845/-2.1767575,388398,410711,British Coordinate Systems,1.59,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 50 properties,50,50,,28/11/2017,05/12/2018
SH 2065,"Queens Drive Gateway (Including Site Of Temporary Health Centre), Kirkholt",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.59795/-2.1642678,389226,411277,British Coordinate Systems,0.64,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,No,Not Permissioned,,,Site could deliver approximately 20 properties,20,20,Unknown,29/11/2017,05/12/2018
SH 2071,"156-158 Drake Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.612648/-2.1562081,389763,412911,British Coordinate Systems,0.05,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 5 properties,5,5,Converion of offices to retail units,28/11/2017,05/12/2018
SH 2077,"New Street Works, New Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.629611/-2.1677025,389007,414800,British Coordinate Systems,0.11,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 9 properties,9,9,,28/11/2017,05/12/2018
SH 2080,"Lomax Transport Services, Trub Farm, Manchester Road, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.585789/-2.1767583,388396,409926,British Coordinate Systems,1.34,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",No,Not Permissioned,,,Site could deliver approximately 29 properties,29,29,,28/11/2017,05/12/2018
SH 2131,"Former Dexine Rubber Co. Ltd,Spotland Road,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.619458/-2.171623,388745,413671,British Coordinate Systems,1.62,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,08/12/2015,Other,Full application for 22 apartments and outline application fo 80 dwellings,102,102,,28/11/2017,05/12/2018
SH 2140,"Land Between 395 & 421 Edenfield Road,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.622607/-2.1929533,387335,414025,British Coordinate Systems,0.24,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",Yes,Permissioned,02/09/2015,Full Planning Permission,Erection of 10 dwellings,10,10,,28/11/2017,05/12/2018
SH 2147,"Norden Urc Church,Forsyth Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.627028/-2.2095757,386237,414520,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,15/07/2015,Full Planning Permission,Conversion to 5 apartments,5,5,,28/11/2017,05/12/2018
SH 2198,"Land At Rudyard Grove, Friars Crescent, Lilac Road, Kildare Crescent And Balderstone Road,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.592365/-2.1532475,389954,410654,British Coordinate Systems,2.19,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,"Local Authority, Unknown",Yes,Permissioned,06/03/2017,Full Planning Permission,Erection of 76 dwellings,76,76,,28/11/2017,05/12/2018
SH 2199,"Land Between 9A And 23,Milkstone Road,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.61155/-2.156733,389728,412789,British Coordinate Systems,0.19,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,15/07/2016,Full Planning Permission,Erection of 12 apartments,12,12,,28/11/2017,05/12/2018
SH 2216,"Site Of 25 Homes St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.616953/-2.1697686,388867,413392,British Coordinate Systems,1.45,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,05/04/2016,Full Planning Permission,Erection of 5 dwellings,5,5,,28/11/2017,05/12/2018
SH 2218,"Spread Eagle ,10 Cheetham Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.619515/-2.1562788,389760,413675,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,03/02/2017,Full Planning Permission,Conversion of public house to 6 apartments,6,6,3 commercial units,28/11/2017,05/12/2018
SH 2219,"Townhead Offices,Yorkshire Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.619347/-2.1539803,389912,413656,British Coordinate Systems,0.27,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Permissioned,07/09/2016,Full Planning Permission,Conversion to 14 aparments,14,14,,28/11/2017,05/12/2018
SH 2230,"Nixon Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/17/53.595239/-2.1864071,387760,410979,British Coordinate Systems,5.84,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,13/10/2016,Outline Planning Permission,Outline application for 250 dwellings,250,250,,28/11/2017,05/12/2018
SH 2234,"82-84 Drake Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.614915/-2.1543118,389889,413163,British Coordinate Systems,0.04,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,08/08/2016,Other,Change of use to 28 apartments,28,28,,28/11/2017,05/12/2018
SH 2238,"Dunlop, Royle Road, Castleton, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/17/53.600241/-2.1713334,388759,411533,British Coordinate Systems,7.15,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Ssite could deliver approximately 200 properties,200,200,Unknown,29/11/2017,05/12/2018
SH 2239,"Riverside Phase 2, John St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.618745/-2.1534944,389944,413589,British Coordinate Systems,1.01,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 100 properties,100,100,Unknown,29/11/2017,05/12/2018
SH 2240,"Central Retail Park, Drake St, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.613263/-2.1532024,389962,412979,British Coordinate Systems,2.15,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 120 properties,120,120,Unknown,29/11/2017,05/12/2018
SH 2242,"Lower Falinge Masterplan Area, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/17/53.620588/-2.1602286,389499,413795,British Coordinate Systems,11.94,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Regeneneration area delivering 541 new dwellings,541,541,Unknown,05/12/2018,05/12/2018
SH 2251,"Former Kyp, Hamer Lane / Belfield Road, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.622822/-2.1418828,390713,414041,British Coordinate Systems,0.41,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Local Authority,Yes,Not Permissioned,,,Site could deliver approximately 16 properties,16,16,Unknown,29/11/2017,05/12/2018
SH 2298,"1 Drake Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.61689/-2.156133,389769,413383,British Coordinate Systems,0.09,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,07/08/2017,Full Planning Permission,Coverversion to 9 dwellings,9,9,Unknown,05/12/2018,05/12/2018
SH 2302,"148 Drake Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.613044/-2.1555293,389808,412955,British Coordinate Systems,0.03,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,24/10/2017,Full Planning Permission,Conversion to 8 dwellings,8,8,Unknown,05/12/2018,05/12/2018
SH 2304,"3-11 Grandidge Street,Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.607032/-2.1618396,389389,412287,British Coordinate Systems,0.06,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Permissioned,26/10/2017,Full Planning Permission,Conversion to 5 dwellings,5,5,Unknown,05/12/2018,05/12/2018
SH 2327,"Gowers Street / Weedon Street, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/19/53.620682/-2.1427222,390657,413803,British Coordinate Systems,0.27,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,Yes,Not Permissioned,,,Site could deliver approximately 10 properties,10,10,,05/12/2018,05/12/2018
SH 2332,"College Bank Masterplan Area, Rochdale",Rochdale,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.618204/-2.1620034,389381,413530,British Coordinate Systems,2.35,Rochdale,http://opendatacommunities.org/id/metropolitan-district-council/rochdale,Unknown,No,Not Permissioned,,,Site could deliver approximately 120 properties,120,120,,05/12/2018,05/12/2018
